update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,-0.0133681,18,10,24,19,26,24,16,27,26,21,20,26,8,13,21,27,22,18,21,13
10,-0.0277401,0,0,4,10,20,30,34,35,47,35,25,79,22,9,17,11,6,9,4,3
20,-0.0509681,0,0,1,7,1,21,67,34,55,47,32,59,32,23,17,2,2,0,0,0
30,-0.0729633,0,0,0,0,0,31,66,29,89,55,12,47,32,18,21,0,0,0,0,0
40,-0.037625,0,0,0,0,0,17,59,46,72,46,18,56,40,16,29,1,0,0,0,0
50,-0.0662092,0,0,0,0,0,16,69,48,81,60,15,41,23,24,22,1,0,0,0,0
60,-0.0874986,0,0,0,0,1,24,45,58,82,83,12,46,27,9,13,0,0,0,0,0
70,-0.104127,0,0,0,0,2,30,42,59,71,119,8,25,17,14,13,0,0,0,0,0
80,-0.125216,0,0,0,0,1,45,62,42,53,123,11,27,7,13,16,0,0,0,0,0
90,-0.160597,0,0,0,0,1,44,58,66,71,102,23,23,5,3,4,0,0,0,0,0
100,-0.185088,0,0,0,0,2,45,56,74,104,78,25,10,2,0,4,0,0,0,0,0
110,-0.20397,0,0,0,0,5,34,75,79,103,79,24,0,0,1,0,0,0,0,0,0
120,-0.17706,0,0,0,0,0,22,57,84,122,79,36,0,0,0,0,0,0,0,0,0
130,-0.146102,0,0,0,0,0,9,37,58,147,113,36,0,0,0,0,0,0,0,0,0
140,-0.141451,0,0,0,0,0,10,33,67,154,81,52,3,0,0,0,0,0,0,0,0
150,-0.141915,0,0,0,0,0,5,35,66,173,55,54,12,0,0,0,0,0,0,0,0
160,-0.154744,0,0,0,0,0,11,47,63,158,68,48,5,0,0,0,0,0,0,0,0
170,-0.159024,0,0,0,0,0,6,51,84,164,43,36,16,0,0,0,0,0,0,0,0
180,-0.189684,0,0,0,0,0,18,64,120,112,50,24,12,0,0,0,0,0,0,0,0
190,-0.169737,0,0,0,0,0,10,48,125,117,47,29,24,0,0,0,0,0,0,0,0
200,-0.181507,0,0,0,0,0,17,32,134,139,48,19,11,0,0,0,0,0,0,0,0
210,-0.167895,0,0,0,0,0,9,32,135,147,37,11,26,3,0,0,0,0,0,0,0
220,-0.180332,0,0,0,0,0,19,51,116,129,44,24,13,4,0,0,0,0,0,0,0
230,-0.166682,0,0,0,0,0,14,64,74,149,49,31,14,5,0,0,0,0,0,0,0
240,-0.15847,0,0,0,0,0,7,64,99,130,38,37,18,7,0,0,0,0,0,0,0
250,-0.153531,0,0,0,0,0,13,44,91,162,34,21,21,14,0,0,0,0,0,0,0
260,-0.125196,0,0,0,0,0,13,32,71,141,65,37,23,18,0,0,0,0,0,0,0
270,-0.125704,0,0,0,0,0,11,19,92,131,70,43,22,12,0,0,0,0,0,0,0
280,-0.16283,0,0,0,0,1,13,40,116,123,60,25,14,8,0,0,0,0,0,0,0
290,-0.181956,0,0,0,0,3,16,47,129,115,53,23,9,5,0,0,0,0,0,0,0
300,-0.197162,0,0,0,0,1,21,49,147,104,45,23,4,6,0,0,0,0,0,0,0
310,-0.188794,0,0,0,0,0,20,38,142,110,63,26,0,1,0,0,0,0,0,0,0
320,-0.188784,0,0,0,0,0,18,44,124,127,63,21,0,3,0,0,0,0,0,0,0
330,-0.19216,0,0,0,0,0,8,41,144,139,46,22,0,0,0,0,0,0,0,0,0
340,-0.167928,0,0,0,0,0,8,33,123,143,55,38,0,0,0,0,0,0,0,0,0
350,-0.172241,0,0,0,0,0,0,48,122,142,56,32,0,0,0,0,0,0,0,0,0
360,-0.192137,0,0,0,0,0,0,63,131,131,58,16,1,0,0,0,0,0,0,0,0
370,-0.186285,0,0,0,0,0,0,48,148,125,63,13,3,0,0,0,0,0,0,0,0
380,-0.174168,0,0,0,0,0,1,54,124,106,97,15,3,0,0,0,0,0,0,0,0
390,-0.184967,0,0,0,0,0,1,63,132,114,72,16,2,0,0,0,0,0,0,0,0
400,-0.192489,0,0,0,0,0,2,65,114,152,55,9,3,0,0,0,0,0,0,0,0
410,-0.174492,0,0,0,0,0,2,48,82,191,71,2,4,0,0,0,0,0,0,0,0
420,-0.173837,0,0,0,0,0,0,46,91,201,50,8,4,0,0,0,0,0,0,0,0
430,-0.176621,0,0,0,0,0,0,35,109,186,59,7,4,0,0,0,0,0,0,0,0
440,-0.189232,0,0,0,0,0,0,28,146,185,35,6,0,0,0,0,0,0,0,0,0
450,-0.202809,0,0,0,0,0,0,32,180,150,35,3,0,0,0,0,0,0,0,0,0
460,-0.196742,0,0,0,0,0,0,38,156,157,44,5,0,0,0,0,0,0,0,0,0
470,-0.187725,0,0,0,0,0,5,34,150,137,70,4,0,0,0,0,0,0,0,0,0
480,-0.187727,0,0,0,0,0,12,29,143,139,68,9,0,0,0,0,0,0,0,0,0
490,-0.182683,0,0,0,0,0,5,26,159,129,66,15,0,0,0,0,0,0,0,0,0
500,-0.177442,0,0,0,0,0,4,29,133,150,66,18,0,0,0,0,0,0,0,0,0
510,-0.159561,0,0,0,0,0,3,15,113,160,99,10,0,0,0,0,0,0,0,0,0
520,-0.155615,0,0,0,0,0,1,14,118,160,86,17,4,0,0,0,0,0,0,0,0
530,-0.1695,0,0,0,0,0,2,24,121,166,77,10,0,0,0,0,0,0,0,0,0
540,-0.174615,0,0,0,0,0,4,22,150,128,82,14,0,0,0,0,0,0,0,0,0
550,-0.173232,0,0,0,0,0,9,29,131,125,87,19,0,0,0,0,0,0,0,0,0
560,-0.153896,0,0,0,0,0,0,31,114,131,100,24,0,0,0,0,0,0,0,0,0
570,-0.142069,0,0,0,0,0,0,23,92,149,98,38,0,0,0,0,0,0,0,0,0
580,-0.152547,0,0,0,0,0,0,40,82,148,97,33,0,0,0,0,0,0,0,0,0
590,-0.164981,0,0,0,0,0,0,29,110,158,98,5,0,0,0,0,0,0,0,0,0
600,-0.167954,0,0,0,0,0,0,41,110,140,99,10,0,0,0,0,0,0,0,0,0
610,-0.169375,0,0,0,0,0,0,41,129,110,106,14,0,0,0,0,0,0,0,0,0
620,-0.169273,0,0,0,0,0,0,42,127,113,109,9,0,0,0,0,0,0,0,0,0
630,-0.163261,0,0,0,0,0,4,28,122,133,90,23,0,0,0,0,0,0,0,0,0
640,-0.146152,0,0,0,0,0,0,41,94,141,73,39,12,0,0,0,0,0,0,0,0
650,-0.157611,0,0,0,0,0,2,43,96,144,72,38,5,0,0,0,0,0,0,0,0
660,-0.163541,0,0,0,0,0,3,50,97,146,67,35,2,0,0,0,0,0,0,0,0
670,-0.147218,0,0,0,0,0,1,25,121,110,92,45,6,0,0,0,0,0,0,0,0
680,-0.145586,0,0,0,0,0,2,34,111,109,99,38,7,0,0,0,0,0,0,0,0
690,-0.130006,0,0,0,0,0,1,18,98,114,130,33,6,0,0,0,0,0,0,0,0
700,-0.140967,0,0,0,0,0,0,49,75,111,125,36,4,0,0,0,0,0,0,0,0
710,-0.14081,0,0,0,0,0,0,57,74,106,117,32,14,0,0,0,0,0,0,0,0
720,-0.138206,0,0,0,0,0,1,58,49,120,129,30,13,0,0,0,0,0,0,0,0
730,-0.139875,0,0,0,0,0,0,51,55,134,117,38,5,0,0,0,0,0,0,0,0
740,-0.134514,0,0,0,0,0,3,34,70,124,128,37,4,0,0,0,0,0,0,0,0
750,-0.112908,0,0,0,0,0,4,19,57,125,140,53,2,0,0,0,0,0,0,0,0
