update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,-0.00885911,17,19,19,18,15,20,27,24,27,23,21,22,18,21,10,27,28,9,18,17
10,-0.0329196,0,1,6,0,0,4,2,1,3,164,17,1,1,0,0,0,1,1,0,0
20,-0.00559346,0,0,0,0,0,2,0,0,0,155,13,0,0,0,0,0,0,0,0,0
30,-0.00039563,0,0,0,0,0,0,0,0,0,118,10,0,0,0,0,0,0,0,0,0
40,0.0002377,0,0,0,0,0,0,0,0,0,137,15,0,0,0,0,0,0,0,0,0
50,-9.50551e-05,0,0,0,0,0,0,0,0,0,121,8,0,0,0,0,0,0,0,0,0
60,0.000292801,0,0,0,0,0,0,0,0,0,98,13,0,0,0,0,0,0,0,0,0
70,-3.38874e-05,0,0,0,0,0,0,0,0,0,72,6,0,0,0,0,0,0,0,0,0
80,-0.000677821,0,0,0,0,0,0,0,0,0,75,7,0,0,0,0,0,0,0,0,0
90,0.000336634,0,0,0,0,0,0,0,0,0,45,5,0,0,0,0,0,0,0,0,0
100,0.000630218,0,0,0,0,0,0,0,0,0,34,3,0,0,0,0,0,0,0,0,0
110,-0.00116951,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0
170,0.000300359,0,0,0,0,0,0,0,0,0,42,1,0,0,0,0,0,0,0,0,0
180,-0.000497705,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
210,0.000158915,0,0,0,0,0,0,0,0,0,30,2,0,0,0,0,0,0,0,0,0
220,-0.00011132,0,0,0,0,0,0,0,0,0,35,1,0,0,0,0,0,0,0,0,0
230,0.000743093,0,0,0,0,0,0,0,0,0,40,2,0,0,0,0,0,0,0,0,0
240,2.05619e-05,0,0,0,0,0,0,0,0,0,55,2,0,0,0,0,0,0,0,0,0
250,-0.000168263,0,0,0,0,0,0,0,0,0,52,1,0,0,0,0,0,0,0,0,0
260,-0.000328032,0,0,0,0,0,0,0,0,0,69,2,0,0,0,0,0,0,0,0,0
270,-0.000186393,0,0,0,0,0,0,0,0,0,65,1,0,0,0,0,0,0,0,0,0
280,0.00102274,0,0,0,0,0,0,0,0,0,36,5,0,0,0,0,0,0,0,0,0
290,-0.00017515,0,0,0,0,0,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0
300,0.000700264,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0
310,4.02192e-05,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0
320,-0.000425177,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
390,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
410,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
420,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
430,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
440,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
450,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
460,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
470,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
480,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
490,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
510,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
520,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
530,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
540,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
550,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
560,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
580,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
590,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
600,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
610,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
620,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
