update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.0148562,18,26,19,11,17,21,20,20,20,18,27,22,19,19,22,18,23,23,16,21
10,0.0700178,1,3,6,2,2,38,22,20,13,41,45,60,42,32,46,13,3,6,5,0
20,0.0984964,0,0,0,1,0,22,17,28,24,15,40,108,70,25,38,12,0,0,0,0
30,0.0763201,0,0,0,0,0,26,26,22,25,8,45,113,79,25,30,1,0,0,0,0
40,0.0862004,0,0,0,0,0,30,19,22,17,14,50,120,68,11,49,0,0,0,0,0
50,0.0787685,0,0,0,0,0,24,14,36,21,9,71,100,66,21,37,1,0,0,0,0
60,0.0806806,0,0,0,0,0,16,20,48,11,4,62,94,91,29,24,1,0,0,0,0
70,0.079193,0,0,0,0,0,4,33,34,21,2,82,99,71,30,24,0,0,0,0,0
80,0.0919356,0,0,0,0,1,8,43,16,13,2,71,118,73,33,22,0,0,0,0,0
90,0.0870439,0,0,0,0,0,13,54,12,7,5,71,104,74,35,20,5,0,0,0,0
100,0.0980476,0,0,0,0,0,4,45,26,12,10,51,88,95,57,11,1,0,0,0,0
110,0.114525,0,0,0,0,0,3,39,12,6,16,73,88,92,58,13,0,0,0,0,0
120,0.112249,0,0,0,0,0,6,51,4,8,12,56,83,111,65,4,0,0,0,0,0
130,0.0883425,0,0,0,0,0,12,53,9,5,26,61,61,98,65,10,0,0,0,0,0
140,0.0735612,0,0,0,0,0,17,54,15,9,39,43,41,99,72,11,0,0,0,0,0
150,0.0507996,0,0,0,0,0,17,48,28,7,45,53,54,91,52,5,0,0,0,0,0
160,0.0267725,0,0,0,0,0,8,68,35,15,50,40,43,73,60,8,0,0,0,0,0
170,0.0103398,0,0,0,0,0,16,52,45,10,65,44,56,52,36,24,0,0,0,0,0
180,0.0444133,0,0,0,0,0,6,36,20,35,86,43,55,59,41,19,0,0,0,0,0
190,0.0223293,0,0,0,0,0,15,36,39,52,56,23,54,54,62,9,0,0,0,0,0
200,0.0408341,0,0,0,0,0,15,34,41,38,44,32,65,65,53,13,0,0,0,0,0
210,0.0532784,0,0,0,0,0,9,28,64,24,34,48,42,67,69,15,0,0,0,0,0
220,0.0955735,0,0,0,0,0,3,22,51,19,52,44,26,48,123,12,0,0,0,0,0
230,0.0795913,0,0,0,0,0,9,17,62,12,63,48,14,57,94,22,2,0,0,0,0
240,0.0926253,0,0,0,0,0,4,20,51,21,62,44,11,68,95,24,0,0,0,0,0
250,0.104244,0,0,0,0,0,3,17,41,30,46,60,17,69,89,27,1,0,0,0,0
260,0.101061,0,0,0,0,0,2,19,36,24,65,61,19,58,89,26,1,0,0,0,0
270,0.114012,0,0,0,0,0,2,12,27,22,86,63,8,58,92,30,0,0,0,0,0
280,0.116503,0,0,0,0,0,0,17,32,13,55,78,20,73,99,13,0,0,0,0,0
290,0.137712,0,0,0,0,0,0,8,25,11,80,62,18,73,98,25,0,0,0,0,0
300,0.151707,0,0,0,0,0,0,7,32,14,64,39,22,94,95,33,0,0,0,0,0
310,0.109455,0,0,0,0,0,0,18,48,23,30,63,28,71,103,16,0,0,0,0,0
320,0.129086,0,0,0,0,0,0,27,53,11,26,25,30,107,99,22,0,0,0,0,0
330,0.107793,0,0,0,0,0,0,37,47,16,32,26,33,99,83,27,0,0,0,0,0
340,0.0994726,0,0,0,0,0,0,35,52,25,23,25,29,102,100,9,0,0,0,0,0
350,0.0730613,0,0,0,0,0,0,51,56,12,38,7,33,99,103,1,0,0,0,0,0
360,0.143593,0,0,0,0,0,2,21,53,6,21,10,45,112,121,9,0,0,0,0,0
370,0.12956,0,0,0,0,0,0,27,42,22,35,15,36,96,102,25,0,0,0,0,0
380,0.121091,0,0,0,0,0,0,25,40,22,51,7,42,100,88,25,0,0,0,0,0
390,0.142537,0,0,0,0,0,0,17,52,13,48,12,26,91,113,28,0,0,0,0,0
400,0.102726,0,0,0,0,0,1,30,65,11,38,31,25,68,95,36,0,0,0,0,0
410,0.115321,0,0,0,0,0,3,32,47,7,53,44,6,52,122,34,0,0,0,0,0
420,0.158394,0,0,0,0,0,5,18,25,9,48,57,8,53,143,32,2,0,0,0,0
430,0.144966,0,0,0,0,0,0,14,13,23,75,54,15,62,114,29,1,0,0,0,0
440,0.175427,0,0,0,0,0,0,2,5,17,84,60,20,59,107,45,1,0,0,0,0
450,0.22373,0,0,0,0,0,0,3,1,20,40,56,16,88,108,64,4,0,0,0,0
460,0.212504,0,0,0,0,0,0,0,0,20,52,45,36,91,104,52,0,0,0,0,0
470,0.219454,0,0,0,0,0,0,0,0,12,54,48,35,92,105,51,3,0,0,0,0
480,0.211047,0,0,0,0,0,0,0,0,11,52,51,44,96,104,37,5,0,0,0,0
490,0.197756,0,0,0,0,0,0,0,9,14,46,45,69,82,86,46,3,0,0,0,0
500,0.195378,0,0,0,0,0,0,0,10,20,54,26,74,74,88,45,9,0,0,0,0
510,0.186959,0,0,0,0,0,0,0,13,32,35,16,92,77,106,24,5,0,0,0,0
520,0.225647,0,0,0,0,0,0,2,11,17,32,6,78,98,99,50,7,0,0,0,0
530,0.206718,0,0,0,0,0,0,2,5,13,50,17,71,112,101,28,1,0,0,0,0
540,0.218104,0,0,0,0,0,0,4,6,12,32,20,85,104,79,58,0,0,0,0,0
550,0.212198,0,0,0,0,0,0,11,13,16,28,25,51,108,83,62,3,0,0,0,0
560,0.203042,0,0,0,0,0,0,18,10,13,27,27,42,114,105,41,3,0,0,0,0
570,0.216617,0,0,0,0,0,0,24,13,5,17,31,45,83,124,57,1,0,0,0,0
580,0.242995,0,0,0,0,0,1,20,8,8,13,9,32,107,145,56,1,0,0,0,0
