update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.0278572,48,47,48,59,43,35,54,47,51,50,56,36,52,51,54,40,56,56,57,60
10,0.117928,0,3,1,3,2,2,5,2,5,646,103,2,39,30,48,9,30,17,23,30
20,0.0633447,0,0,0,1,0,0,1,0,0,742,121,0,43,22,28,0,8,16,8,10
30,0.0452698,0,0,0,0,0,0,0,0,0,754,154,2,14,27,15,0,12,13,9,0
40,0.037282,0,0,0,0,0,0,0,0,0,731,185,0,12,37,18,0,8,4,5,0
50,0.0241243,0,0,0,0,0,0,0,0,0,771,169,0,3,44,7,0,3,2,1,0
60,0.0152921,0,0,0,0,0,0,0,0,0,764,191,0,14,27,4,0,0,0,0,0
70,0.0214013,0,0,0,0,0,0,0,0,0,761,173,0,26,28,12,0,0,0,0,0
80,0.0167755,0,0,0,0,0,0,0,0,0,759,189,0,23,24,5,0,0,0,0,0
90,0.0172791,0,0,0,0,0,0,0,0,0,768,177,0,28,21,6,0,0,0,0,0
100,0.0115314,0,0,0,0,0,0,0,0,0,792,171,0,17,10,10,0,0,0,0,0
110,0.0126583,0,0,0,0,0,0,0,0,0,780,183,0,12,12,13,0,0,0,0,0
120,0.0154592,0,0,0,0,0,0,0,0,0,789,162,0,26,13,10,0,0,0,0,0
130,0.017388,0,0,0,0,0,0,0,0,0,784,161,0,30,11,14,0,0,0,0,0
140,0.0157995,0,0,0,0,0,0,0,0,0,808,148,0,13,6,25,0,0,0,0,0
150,0.0120665,0,0,0,0,0,0,0,0,0,774,194,0,8,7,17,0,0,0,0,0
160,0.00869976,0,0,0,0,0,0,0,0,0,797,176,2,7,10,8,0,0,0,0,0
170,0.0115006,0,0,0,0,0,0,0,0,0,796,174,0,2,21,7,0,0,0,0,0
180,0.00902934,0,0,0,0,0,0,0,0,0,809,166,0,0,15,10,0,0,0,0,0
190,0.00645381,0,0,0,0,0,0,0,0,0,773,210,0,2,7,8,0,0,0,0,0
200,0.00695218,0,0,0,0,0,0,0,0,0,810,173,0,0,2,15,0,0,0,0,0
210,0.00673069,0,0,0,0,0,0,0,0,0,791,194,0,0,0,15,0,0,0,0,0
220,0.00259496,0,0,0,0,0,0,0,0,0,797,198,0,0,0,5,0,0,0,0,0
230,0.000419996,0,0,0,0,0,0,0,0,0,814,185,0,0,0,1,0,0,0,0,0
240,-0.00039121,0,0,0,0,0,0,0,0,0,835,165,0,0,0,0,0,0,0,0,0
250,-0.000226085,0,0,0,0,0,0,0,0,0,829,171,0,0,0,0,0,0,0,0,0
260,0.000281111,0,0,0,0,0,0,0,0,0,796,204,0,0,0,0,0,0,0,0,0
270,0.000689689,0,0,0,0,0,0,0,0,0,803,197,0,0,0,0,0,0,0,0,0
280,-0.000474631,0,0,0,0,0,0,0,0,0,820,180,0,0,0,0,0,0,0,0,0
290,0.000368634,0,0,0,0,0,0,0,0,0,809,191,0,0,0,0,0,0,0,0,0
300,0.000380169,0,0,0,0,0,0,0,0,0,795,205,0,0,0,0,0,0,0,0,0
310,0.000161684,0,0,0,0,0,0,0,0,0,800,200,0,0,0,0,0,0,0,0,0
320,-0.000316349,0,0,0,0,0,0,0,0,0,817,183,0,0,0,0,0,0,0,0,0
330,-0.00047191,0,0,0,0,0,0,0,0,0,841,159,0,0,0,0,0,0,0,0,0
340,0.000348246,0,0,0,0,0,0,0,0,0,801,199,0,0,0,0,0,0,0,0,0
350,-0.00059384,0,0,0,0,0,0,0,0,0,817,183,0,0,0,0,0,0,0,0,0
360,-0.000175597,0,0,0,0,0,0,0,0,0,806,194,0,0,0,0,0,0,0,0,0
370,0.000389399,0,0,0,0,0,0,0,0,0,795,205,0,0,0,0,0,0,0,0,0
380,0.000255734,0,0,0,0,0,0,0,0,0,796,204,0,0,0,0,0,0,0,0,0
390,0.000506871,0,0,0,0,0,0,0,0,0,803,197,0,0,0,0,0,0,0,0,0
400,0.000574743,0,0,0,0,0,0,0,0,0,798,202,0,0,0,0,0,0,0,0,0
410,-1.85455e-05,0,0,0,0,0,0,0,0,0,820,180,0,0,0,0,0,0,0,0,0
420,0.000545569,0,0,0,0,0,0,0,0,0,810,190,0,0,0,0,0,0,0,0,0
430,6.74645e-05,0,0,0,0,0,0,0,0,0,812,188,0,0,0,0,0,0,0,0,0
440,0.000199594,0,0,0,0,0,0,0,0,0,832,168,0,0,0,0,0,0,0,0,0
450,-7.25669e-05,0,0,0,0,0,0,0,0,0,831,169,0,0,0,0,0,0,0,0,0
460,-0.000156868,0,0,0,0,0,0,0,0,0,813,187,0,0,0,0,0,0,0,0,0
470,2.59523e-05,0,0,0,0,0,0,0,0,0,806,194,0,0,0,0,0,0,0,0,0
480,0.000320854,0,0,0,0,0,0,0,0,0,802,198,0,0,0,0,0,0,0,0,0
490,-0.000306772,0,0,0,0,0,0,0,0,0,831,169,0,0,0,0,0,0,0,0,0
500,0.000172099,0,0,0,0,0,0,0,0,0,811,189,0,0,0,0,0,0,0,0,0
510,-0.000869336,0,0,0,0,0,0,0,0,0,841,159,0,0,0,0,0,0,0,0,0
520,-0.000121558,0,0,0,0,0,0,0,0,0,816,184,0,0,0,0,0,0,0,0,0
530,-2.7166e-05,0,0,0,0,0,0,0,0,0,816,184,0,0,0,0,0,0,0,0,0
540,-2.06815e-05,0,0,0,0,0,0,0,0,0,830,170,0,0,0,0,0,0,0,0,0
550,5.36378e-05,0,0,0,0,0,0,0,0,0,829,171,0,0,0,0,0,0,0,0,0
560,0.000252106,0,0,0,0,0,0,0,0,0,819,181,0,0,0,0,0,0,0,0,0
570,0.000551934,0,0,0,0,0,0,0,0,0,807,193,0,0,0,0,0,0,0,0,0
580,0.000505021,0,0,0,0,0,0,0,0,0,818,182,0,0,0,0,0,0,0,0,0
590,-7.52053e-05,0,0,0,0,0,0,0,0,0,837,163,0,0,0,0,0,0,0,0,0
600,-0.000123602,0,0,0,0,0,0,0,0,0,832,168,0,0,0,0,0,0,0,0,0
610,-7.62045e-05,0,0,0,0,0,0,0,0,0,836,164,0,0,0,0,0,0,0,0,0
620,-0.000268939,0,0,0,0,0,0,0,0,0,855,145,0,0,0,0,0,0,0,0,0
630,9.81201e-05,0,0,0,0,0,0,0,0,0,824,176,0,0,0,0,0,0,0,0,0
640,-0.000114939,0,0,0,0,0,0,0,0,0,843,157,0,0,0,0,0,0,0,0,0
650,-3.65422e-05,0,0,0,0,0,0,0,0,0,849,151,0,0,0,0,0,0,0,0,0
660,-0.000132827,0,0,0,0,0,0,0,0,0,861,139,0,0,0,0,0,0,0,0,0
670,0.000146987,0,0,0,0,0,0,0,0,0,869,131,0,0,0,0,0,0,0,0,0
680,0.000182139,0,0,0,0,0,0,0,0,0,856,144,0,0,0,0,0,0,0,0,0
690,-0.000141634,0,0,0,0,0,0,0,0,0,853,147,0,0,0,0,0,0,0,0,0
700,-8.19413e-05,0,0,0,0,0,0,0,0,0,850,150,0,0,0,0,0,0,0,0,0
710,-3.27339e-05,0,0,0,0,0,0,0,0,0,854,146,0,0,0,0,0,0,0,0,0
720,6.64133e-05,0,0,0,0,0,0,0,0,0,853,147,0,0,0,0,0,0,0,0,0
730,3.59117e-05,0,0,0,0,0,0,0,0,0,827,173,0,0,0,0,0,0,0,0,0
740,-0.000510184,0,0,0,0,0,0,0,0,0,856,144,0,0,0,0,0,0,0,0,0
750,0.000321788,0,0,0,0,0,0,0,0,0,828,172,0,0,0,0,0,0,0,0,0
760,0.000733113,0,0,0,0,0,0,0,0,0,820,180,0,0,0,0,0,0,0,0,0
770,-0.000133918,0,0,0,0,0,0,0,0,0,824,176,0,0,0,0,0,0,0,0,0
780,8.79092e-05,0,0,0,0,0,0,0,0,0,839,161,0,0,0,0,0,0,0,0,0
790,-9.07752e-05,0,0,0,0,0,0,0,0,0,828,172,0,0,0,0,0,0,0,0,0
800,0.000166759,0,0,0,0,0,0,0,0,0,808,192,0,0,0,0,0,0,0,0,0
810,-7.56274e-06,0,0,0,0,0,0,0,0,0,835,165,0,0,0,0,0,0,0,0,0
820,3.27288e-05,0,0,0,0,0,0,0,0,0,863,137,0,0,0,0,0,0,0,0,0
830,-0.000156877,0,0,0,0,0,0,0,0,0,847,153,0,0,0,0,0,0,0,0,0
840,5.74186e-05,0,0,0,0,0,0,0,0,0,843,157,0,0,0,0,0,0,0,0,0
850,0.000330897,0,0,0,0,0,0,0,0,0,829,171,0,0,0,0,0,0,0,0,0
860,-0.000121134,0,0,0,0,0,0,0,0,0,831,169,0,0,0,0,0,0,0,0,0
870,-0.000222358,0,0,0,0,0,0,0,0,0,870,130,0,0,0,0,0,0,0,0,0
