update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.0265953,15,14,23,21,17,19,24,21,19,24,18,18,22,21,22,17,21,23,22,19
10,0.145202,1,0,0,2,0,1,2,5,1,236,39,1,18,16,15,8,24,12,16,3
20,0.187384,0,0,0,0,0,0,0,0,0,224,49,1,18,27,5,1,20,26,29,0
30,0.182665,0,0,0,0,0,0,0,0,0,229,36,0,15,46,13,0,3,31,26,1
40,0.157562,0,0,0,0,0,0,0,0,0,229,36,2,22,59,9,0,7,27,9,0
50,0.127493,0,0,0,0,0,0,0,0,0,239,44,0,15,59,18,0,0,17,8,0
60,0.156603,0,0,0,0,0,0,0,0,0,215,43,0,24,76,10,0,0,15,17,0
70,0.115435,0,0,0,0,0,0,0,0,0,233,58,0,17,66,6,0,0,11,9,0
80,0.0889575,0,0,0,0,0,0,0,0,0,255,44,1,16,71,10,0,0,2,1,0
90,0.0926874,0,0,0,0,0,0,0,0,0,247,63,0,19,40,18,0,4,7,2,0
100,0.120309,0,0,0,0,0,0,0,0,0,227,48,0,51,32,25,0,4,12,1,0
110,0.103399,0,0,0,0,0,0,0,0,0,246,53,0,45,20,16,0,0,10,10,0
120,0.115597,0,0,0,0,0,0,0,0,0,215,46,0,88,32,6,0,0,2,11,0
130,0.103867,0,0,0,0,0,0,0,0,0,221,35,1,114,23,0,0,0,0,6,0
140,0.0928582,0,0,0,0,0,0,0,0,0,226,44,3,107,13,0,0,0,3,4,0
150,0.111734,0,0,0,0,0,0,0,0,0,229,35,0,104,15,0,0,0,1,16,0
160,0.158389,0,0,0,0,0,0,0,0,0,218,41,3,88,1,0,0,0,11,38,0
170,0.156863,0,0,0,0,0,0,0,0,0,221,37,1,90,4,0,0,0,3,44,0
180,0.115142,0,0,0,0,0,0,0,0,0,234,53,3,78,2,0,0,0,12,18,0
190,0.124512,0,0,0,0,0,0,0,0,0,225,60,2,70,9,0,0,0,1,31,2
200,0.0918332,0,0,0,0,0,0,0,0,0,244,39,7,82,16,0,0,0,0,10,2
210,0.099569,0,0,0,0,0,0,0,0,0,238,43,5,79,21,0,0,0,0,8,6
220,0.114827,0,0,0,0,0,0,0,0,0,245,33,1,67,35,0,0,0,0,9,10
