update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,-0.0305109,9,9,17,12,15,23,8,15,13,13,19,16,10,13,8,7,16,12,11,11
10,0.520648,0,0,0,2,0,1,0,2,0,2,59,44,13,27,23,24,63,28,37,75
20,0.551476,0,0,0,0,0,0,0,0,0,1,40,45,6,17,41,41,92,30,21,66
30,0.543954,0,0,0,0,0,0,0,0,0,4,49,34,2,24,52,57,47,41,18,72
40,0.564832,0,0,0,0,0,0,0,0,0,0,29,23,9,46,44,51,78,48,8,64
50,0.523979,0,0,0,0,0,0,0,0,0,3,31,14,21,33,71,89,50,39,9,40
60,0.41132,0,0,0,0,0,0,0,0,0,2,67,42,25,33,54,72,65,32,4,4
70,0.476263,0,0,0,0,0,0,0,0,0,0,58,36,20,19,41,74,54,79,12,7
80,0.549877,0,0,0,0,0,0,0,0,0,1,41,19,6,25,20,63,110,82,25,8
90,0.558121,0,0,0,0,0,0,0,0,0,2,29,9,5,44,17,102,67,96,29,0
100,0.548245,0,0,0,0,0,0,0,0,0,0,38,12,8,37,35,90,52,71,54,3
110,0.551186,0,0,0,0,0,0,0,0,0,4,24,25,4,53,41,58,47,83,59,2
120,0.600787,0,0,0,0,0,0,0,0,0,1,13,16,11,22,35,73,77,84,65,3
130,0.586818,0,0,0,0,0,0,0,0,0,0,15,17,2,21,80,67,52,93,41,12
140,0.619215,0,0,0,0,0,0,0,0,0,0,23,6,2,36,63,50,39,60,74,47
150,0.620165,0,0,0,0,0,0,0,0,0,0,23,6,7,17,76,44,47,78,60,42
160,0.664476,0,0,0,0,0,0,0,0,0,2,14,7,5,20,61,24,39,87,86,55
170,0.657284,0,0,0,0,0,0,0,0,0,2,20,5,1,21,81,17,35,84,70,64
180,0.665246,0,0,0,0,0,0,0,0,0,0,17,10,0,39,50,39,21,70,68,86
190,0.633788,0,0,0,0,0,0,0,0,0,3,14,1,0,29,89,41,42,62,70,49
200,0.609951,0,0,0,0,0,0,0,0,0,0,10,0,2,42,76,85,44,48,64,29
210,0.60558,0,0,0,0,0,0,0,0,0,0,0,0,1,36,72,108,79,50,29,25
220,0.548346,0,0,0,0,0,0,0,0,0,0,0,0,26,63,66,104,80,18,29,14
230,0.532891,0,0,0,0,0,0,0,0,0,0,0,0,9,75,78,105,80,40,13,0
240,0.532203,0,0,0,0,0,0,0,0,0,0,0,2,15,65,91,86,95,19,23,4
250,0.559801,0,0,0,0,0,0,0,0,0,0,0,3,14,41,55,145,97,9,31,5
260,0.576092,0,0,0,0,0,0,0,0,0,0,0,0,16,31,54,144,95,25,20,15
270,0.590959,0,0,0,0,0,0,0,0,0,0,0,0,7,14,84,130,98,26,20,21
280,0.639026,0,0,0,0,0,0,0,0,0,0,0,0,5,33,48,72,116,66,20,40
290,0.649955,0,0,0,0,0,0,0,0,0,0,0,0,3,36,18,58,154,75,25,31
300,0.650551,0,0,0,0,0,0,0,0,0,0,0,0,1,17,27,83,150,77,23,22
310,0.65103,0,0,0,0,0,0,0,0,0,0,0,0,0,7,38,138,86,59,53,19
320,0.652117,0,0,0,0,0,0,0,0,0,0,0,0,0,2,54,123,87,64,47,23
330,0.646638,0,0,0,0,0,0,0,0,0,0,0,0,0,6,38,130,77,95,33,21
340,0.638616,0,0,0,0,0,0,0,0,0,0,0,0,0,20,58,100,75,89,34,24
350,0.649454,0,0,0,0,0,0,0,0,0,0,0,0,0,9,55,93,110,67,43,23
360,0.638485,0,0,0,0,0,0,0,0,0,0,0,0,6,10,52,116,82,62,56,16
370,0.630138,0,0,0,0,0,0,0,0,0,0,0,0,4,17,34,110,127,49,53,6
380,0.601621,0,0,0,0,0,0,0,0,0,0,0,0,15,21,60,107,92,68,37,0
390,0.583249,0,0,0,0,0,0,0,0,0,0,0,0,11,45,71,96,60,70,38,9
400,0.57192,0,0,0,0,0,0,0,0,0,0,0,0,22,61,80,72,59,50,37,19
410,0.620843,0,0,0,0,0,0,0,0,0,0,0,0,16,40,61,77,59,67,43,37
420,0.643185,0,0,0,0,0,0,0,0,0,0,0,0,27,19,67,50,73,60,54,50
430,0.62233,0,0,0,0,0,0,0,0,0,0,0,1,17,29,50,74,96,59,58,16
440,0.601265,0,0,0,0,0,0,0,0,0,0,0,1,36,25,51,73,91,63,42,18
450,0.618966,0,0,0,0,0,0,0,0,0,0,0,0,19,6,69,90,100,56,45,15
460,0.646132,0,0,0,0,0,0,0,0,0,0,0,3,8,25,40,74,116,53,39,42
470,0.602968,0,0,0,0,0,0,0,0,0,0,1,16,37,19,26,54,130,60,35,22
480,0.579716,0,0,0,0,0,0,0,0,0,0,9,24,35,31,21,29,147,43,36,25
490,0.53521,0,0,0,0,0,0,0,0,0,0,18,42,41,29,13,37,114,58,33,15
500,0.571856,0,0,0,0,0,0,0,0,0,0,4,29,51,7,10,81,115,49,34,20
510,0.560662,0,0,0,0,0,0,0,0,0,1,21,21,32,16,16,90,107,40,31,25
520,0.607812,0,0,0,0,0,0,0,0,0,2,11,7,37,9,19,82,101,65,24,43
530,0.620991,0,0,0,0,0,0,0,0,0,0,16,5,36,15,10,80,90,68,20,60
540,0.629679,0,0,0,0,0,0,0,0,0,1,12,24,13,11,22,77,83,65,33,59
550,0.643786,0,0,0,0,0,0,0,0,0,0,10,30,22,5,11,64,88,53,41,76
560,0.600419,0,0,0,0,0,0,0,0,0,0,17,53,22,22,5,32,97,41,28,83
570,0.585061,0,0,0,0,0,0,0,0,0,0,8,50,24,23,14,37,121,53,23,47
580,0.609027,0,0,0,0,0,0,0,0,0,0,14,42,39,10,5,41,78,66,36,69
590,0.602871,0,0,0,0,0,0,0,0,0,1,11,33,41,8,5,39,85,112,31,34
600,0.653479,0,0,0,0,0,0,0,0,0,0,7,26,28,5,0,19,107,123,42,43
610,0.655732,0,0,0,0,0,0,0,0,0,1,15,31,11,4,0,26,111,111,35,55
620,0.665632,0,0,0,0,0,0,0,0,0,1,18,28,9,1,0,12,94,145,49,43
630,0.641805,0,0,0,0,0,0,0,0,0,4,26,33,0,0,0,10,97,160,42,28
640,0.650607,0,0,0,0,0,0,0,0,0,0,28,23,2,0,0,6,147,121,36,37
650,0.616745,0,0,0,0,0,0,0,0,0,0,43,28,2,0,0,23,138,85,37,44
660,0.690076,0,0,0,0,0,0,0,0,0,0,16,27,0,0,0,32,109,73,87,56
670,0.668841,0,0,0,0,0,0,0,0,0,0,20,22,4,0,2,40,92,126,52,42
680,0.665992,0,0,0,0,0,0,0,0,0,3,20,19,4,0,1,20,109,129,65,30
690,0.62775,0,0,0,0,0,0,0,0,0,3,37,27,1,0,0,24,114,122,26,46
700,0.632673,0,0,0,0,0,0,0,0,0,0,18,60,5,0,0,27,78,105,52,55
710,0.611067,0,0,0,0,0,0,0,0,0,0,53,35,0,1,7,25,86,89,41,63
720,0.578559,0,0,0,0,0,0,0,0,0,0,57,50,1,0,22,12,83,51,61,63
730,0.600394,0,0,0,0,0,0,0,0,0,4,48,47,6,7,15,6,72,50,70,75
740,0.56589,0,0,0,0,0,0,0,0,0,4,81,36,0,0,6,12,92,48,38,83
750,0.531033,0,0,0,0,0,0,0,0,0,4,89,39,2,0,9,28,79,34,48,68
760,0.495278,0,0,0,0,0,0,0,0,0,9,88,41,9,3,5,36,70,65,25,49
770,0.480551,0,0,0,0,0,0,0,0,0,2,87,65,4,1,7,29,71,67,34,33
780,0.486384,0,0,0,0,0,0,0,0,0,2,99,56,5,4,2,43,49,40,30,70
790,0.583447,0,0,0,0,0,0,0,0,0,5,59,47,7,0,18,31,47,32,60,94
800,0.511436,0,0,0,0,0,0,0,0,0,1,63,72,11,0,21,39,46,33,66,48
810,0.511424,0,0,0,0,0,0,0,0,0,4,50,91,18,0,17,32,26,32,50,80
820,0.389692,0,0,0,0,0,0,0,0,0,0,52,122,53,10,13,32,31,25,33,29
830,0.440122,0,0,0,0,0,0,0,0,0,1,63,65,48,12,20,35,57,43,42,14
840,0.439311,0,0,0,0,0,0,0,0,0,1,33,75,55,30,39,15,50,68,26,8
850,0.47108,0,0,0,0,0,0,0,0,0,0,15,49,79,22,55,32,39,76,23,10
860,0.435739,0,0,0,0,0,0,0,0,0,0,27,49,104,40,13,52,26,39,30,20
870,0.431693,0,0,0,0,0,0,0,0,0,0,21,46,102,42,38,57,16,27,35,16
880,0.454493,0,0,0,0,0,0,0,0,0,0,6,33,134,47,31,32,26,15,50,26
890,0.490217,0,0,0,0,0,0,0,0,0,0,9,47,91,43,30,22,48,38,35,37
900,0.528313,0,0,0,0,0,0,0,0,0,0,21,36,57,52,30,13,66,29,47,49
910,0.55267,0,0,0,0,0,0,0,0,0,2,40,40,47,24,11,33,39,35,53,76
920,0.546365,0,0,0,0,0,0,0,0,0,2,28,37,75,15,12,13,58,36,71,53
930,0.550729,0,0,0,0,0,0,0,0,0,3,29,35,73,8,5,32,66,57,19,73
940,0.61761,0,0,0,0,0,0,0,0,0,0,2,50,37,15,0,15,121,70,14,76
950,0.599893,0,0,0,0,0,0,0,0,0,0,6,53,55,17,0,17,103,29,8,112
960,0.606328,0,0,0,0,0,0,0,0,0,0,12,58,40,15,0,32,72,42,27,102
970,0.589757,0,0,0,0,0,0,0,0,0,1,21,78,27,18,0,13,67,30,24,121
980,0.564148,0,0,0,0,0,0,0,0,0,0,21,59,77,12,0,15,47,29,30,110
990,0.565428,0,0,0,0,0,0,0,0,0,0,14,68,79,8,8,12,36,32,35,108
1000,0.527762,0,0,0,0,0,0,0,0,0,0,3,89,92,9,4,9,43,20,43,88
1010,0.597107,0,0,0,0,0,0,0,0,0,0,3,61,79,27,0,17,21,7,53,132
1020,0.611921,0,0,0,0,0,0,0,0,0,0,6,78,38,25,4,19,30,14,62,124
1030,0.639074,0,0,0,0,0,0,0,0,0,0,4,71,32,19,9,16,30,19,76,124
1040,0.685081,0,0,0,0,0,0,0,0,0,0,6,56,25,7,14,22,7,23,120,120
1050,0.644941,0,0,0,0,0,0,0,0,0,0,14,62,40,0,14,16,12,40,96,106
1060,0.688174,0,0,0,0,0,0,0,0,0,0,15,35,39,11,1,10,20,48,108,113
1070,0.63506,0,0,0,0,0,0,0,0,0,0,3,63,55,14,0,10,13,33,125,84
1080,0.677425,0,0,0,0,0,0,0,0,0,0,5,56,39,11,0,8,16,40,115,110
1090,0.647996,0,0,0,0,0,0,0,0,0,0,16,53,65,1,0,6,7,33,77,142
1100,0.678787,0,0,0,0,0,0,0,0,0,0,17,56,30,10,1,17,7,46,52,164
1110,0.698795,0,0,0,0,0,0,0,0,0,0,27,32,42,6,2,9,3,36,77,166
1120,0.650242,0,0,0,0,0,0,0,0,0,0,28,27,45,15,13,17,11,47,73,124
1130,0.546573,0,0,0,0,0,0,0,0,0,1,45,30,45,40,34,8,23,39,58,77
