update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.00917118,19,19,18,19,17,21,20,25,17,15,23,19,23,30,18,32,12,17,23,13
10,0.413851,0,0,0,0,0,0,0,0,0,98,11,3,43,30,33,61,46,18,31,26
20,0.439161,0,0,0,0,0,0,0,0,0,79,8,0,65,53,34,38,18,18,39,48
30,0.40209,0,0,0,0,0,0,0,0,0,81,17,2,56,61,44,38,21,17,16,47
40,0.384643,0,0,0,0,0,0,0,0,0,91,9,0,73,19,71,47,41,4,6,39
50,0.334117,0,0,0,0,0,0,0,0,0,84,17,2,78,65,90,19,6,1,4,34
60,0.324673,0,0,0,0,0,0,0,0,0,93,11,1,45,102,89,31,1,0,1,26
70,0.351626,0,0,0,0,0,0,0,0,0,102,10,0,42,80,63,61,0,0,1,41
80,0.333204,0,0,0,0,0,0,0,0,0,90,16,0,59,39,119,51,0,0,10,16
90,0.329631,0,0,0,0,0,0,0,0,0,93,10,0,57,57,110,51,2,0,3,17
100,0.347991,0,0,0,0,0,0,0,0,0,74,10,0,51,82,116,41,4,0,2,20
110,0.319847,0,0,0,0,0,0,0,0,0,78,13,0,37,102,137,24,2,0,0,7
120,0.303515,0,0,0,0,0,0,0,0,0,87,17,0,48,135,54,45,0,0,0,14
130,0.328439,0,0,0,0,0,0,0,0,0,93,15,0,32,58,103,89,7,0,0,3
140,0.302932,0,0,0,0,0,0,0,0,0,98,14,3,38,83,80,69,15,0,0,0
150,0.311041,0,0,0,0,0,0,0,0,0,93,15,1,24,100,95,56,16,0,0,0
160,0.284159,0,0,0,0,0,0,0,0,0,106,10,0,28,127,95,23,7,4,0,0
170,0.297533,0,0,0,0,0,0,0,0,0,92,17,0,11,140,104,23,13,0,0,0
180,0.265297,0,0,0,0,0,0,0,0,0,116,14,0,13,154,77,24,2,0,0,0
190,0.284267,0,0,0,0,0,0,0,0,0,103,13,0,43,81,127,25,8,0,0,0
200,0.271165,0,0,0,0,0,0,0,0,0,105,16,2,37,107,111,21,1,0,0,0
210,0.268871,0,0,0,0,0,0,0,0,0,105,14,1,77,69,99,31,4,0,0,0
220,0.30292,0,0,0,0,0,0,0,0,0,87,15,1,68,46,116,65,2,0,0,0
230,0.301507,0,0,0,0,0,0,0,0,0,91,19,1,68,58,64,99,0,0,0,0
240,0.286667,0,0,0,0,0,0,0,0,0,95,26,0,63,57,77,76,6,0,0,0
250,0.278472,0,0,0,0,0,0,0,0,0,99,21,0,67,87,63,49,14,0,0,0
260,0.298574,0,0,0,0,0,0,0,0,0,100,18,0,53,83,53,67,26,0,0,0
270,0.287643,0,0,0,0,0,0,0,0,0,103,13,1,58,77,91,38,19,0,0,0
280,0.297739,0,0,0,0,0,0,0,0,0,87,16,1,64,90,92,39,11,0,0,0
290,0.284288,0,0,0,0,0,0,0,0,0,101,13,0,71,81,80,41,11,2,0,0
300,0.260176,0,0,0,0,0,0,0,0,0,100,20,1,103,47,88,39,2,0,0,0
310,0.294465,0,0,0,0,0,0,0,0,0,83,15,0,79,55,131,32,5,0,0,0
320,0.24863,0,0,0,0,0,0,0,0,0,107,11,1,92,113,52,21,3,0,0,0
330,0.256441,0,0,0,0,0,0,0,0,0,104,14,0,76,119,60,22,5,0,0,0
340,0.268568,0,0,0,0,0,0,0,0,0,96,16,4,65,116,63,40,0,0,0,0
350,0.264498,0,0,0,0,0,0,0,0,0,101,13,0,89,101,52,35,9,0,0,0
360,0.272444,0,0,0,0,0,0,0,0,0,94,15,0,80,120,52,23,16,0,0,0
370,0.275281,0,0,0,0,0,0,0,0,0,99,14,0,58,117,75,33,4,0,0,0
380,0.258139,0,0,0,0,0,0,0,0,0,104,23,0,50,108,100,15,0,0,0,0
390,0.283581,0,0,0,0,0,0,0,0,0,96,17,0,24,118,132,13,0,0,0,0
400,0.26967,0,0,0,0,0,0,0,0,0,98,27,0,32,114,113,16,0,0,0,0
410,0.274672,0,0,0,0,0,0,0,0,0,94,16,0,46,120,113,11,0,0,0,0
420,0.264395,0,0,0,0,0,0,0,0,0,94,16,1,55,138,80,16,0,0,0,0
430,0.258901,0,0,0,0,0,0,0,0,0,95,20,0,52,144,85,4,0,0,0,0
440,0.257608,0,0,0,0,0,0,0,0,0,92,21,1,64,143,67,12,0,0,0,0
450,0.265085,0,0,0,0,0,0,0,0,0,98,12,0,62,147,69,12,0,0,0,0
460,0.261529,0,0,0,0,0,0,0,0,0,102,16,0,36,156,77,13,0,0,0,0
470,0.250328,0,0,0,0,0,0,0,0,0,115,26,0,44,112,74,29,0,0,0,0
480,0.268079,0,0,0,0,0,0,0,0,0,108,20,0,56,88,85,41,2,0,0,0
490,0.290396,0,0,0,0,0,0,0,0,0,103,18,0,33,101,79,57,9,0,0,0
500,0.250733,0,0,0,0,0,0,0,0,0,101,25,0,63,151,30,29,1,0,0,0
510,0.250843,0,0,0,0,0,0,0,0,0,102,21,0,73,122,52,30,0,0,0,0
520,0.224302,0,0,0,0,0,0,0,0,0,112,15,3,97,121,38,14,0,0,0,0
530,0.222914,0,0,0,0,0,0,0,0,0,104,32,2,85,136,16,25,0,0,0,0
540,0.237468,0,0,0,0,0,0,0,0,0,112,19,0,76,132,28,33,0,0,0,0
550,0.240789,0,0,0,0,0,0,0,0,0,104,19,0,92,131,22,28,4,0,0,0
560,0.242921,0,0,0,0,0,0,0,0,0,110,16,0,79,127,43,19,6,0,0,0
570,0.248379,0,0,0,0,0,0,0,0,0,96,20,1,79,132,59,7,6,0,0,0
580,0.221924,0,0,0,0,0,0,0,0,0,121,16,2,102,87,63,3,6,0,0,0
590,0.248924,0,0,0,0,0,0,0,0,0,80,14,1,147,89,69,0,0,0,0,0
600,0.239293,0,0,0,0,0,0,0,0,0,94,18,2,132,66,88,0,0,0,0,0
610,0.227213,0,0,0,0,0,0,0,0,0,102,23,0,107,106,62,0,0,0,0,0
620,0.219681,0,0,0,0,0,0,0,0,0,111,33,3,68,116,68,1,0,0,0,0
630,0.257778,0,0,0,0,0,0,0,0,0,91,16,4,81,108,99,1,0,0,0,0
640,0.279313,0,0,0,0,0,0,0,0,0,81,13,3,86,69,147,1,0,0,0,0
650,0.280826,0,0,0,0,0,0,0,0,0,89,14,0,74,67,146,10,0,0,0,0
660,0.256865,0,0,0,0,0,0,0,0,0,111,19,1,47,95,121,6,0,0,0,0
670,0.274336,0,0,0,0,0,0,0,0,0,108,11,0,22,132,118,9,0,0,0,0
680,0.258231,0,0,0,0,0,0,0,0,0,123,18,0,27,109,110,13,0,0,0,0
690,0.276621,0,0,0,0,0,0,0,0,0,97,20,0,22,160,78,23,0,0,0,0
700,0.26264,0,0,0,0,0,0,0,0,0,114,16,1,16,140,93,20,0,0,0,0
710,0.270456,0,0,0,0,0,0,0,0,0,112,20,1,20,93,125,27,2,0,0,0
720,0.267044,0,0,0,0,0,0,0,0,0,100,25,1,41,103,111,17,2,0,0,0
730,0.260924,0,0,0,0,0,0,0,0,0,115,23,0,29,100,106,25,2,0,0,0
740,0.278533,0,0,0,0,0,0,0,0,0,96,26,0,39,87,129,20,3,0,0,0
750,0.325948,0,0,0,0,0,0,0,0,0,76,16,0,26,63,182,32,5,0,0,0
760,0.256338,0,0,0,0,0,0,0,0,0,102,26,1,63,87,105,14,2,0,0,0
770,0.266068,0,0,0,0,0,0,0,0,0,98,21,0,72,88,89,28,4,0,0,0
780,0.294313,0,0,0,0,0,0,0,0,0,91,11,0,62,94,105,28,9,0,0,0
790,0.280241,0,0,0,0,0,0,0,0,0,109,18,0,53,71,101,30,18,0,0,0
800,0.277386,0,0,0,0,0,0,0,0,0,98,16,1,58,107,80,33,7,0,0,0
810,0.273457,0,0,0,0,0,0,0,0,0,109,15,0,39,130,56,50,1,0,0,0
820,0.284143,0,0,0,0,0,0,0,0,0,110,19,0,32,76,111,45,7,0,0,0
830,0.317489,0,0,0,0,0,0,0,0,0,90,18,0,15,84,120,62,11,0,0,0
840,0.30346,0,0,0,0,0,0,0,0,0,88,28,0,51,70,68,71,24,0,0,0
850,0.282039,0,0,0,0,0,0,0,0,0,95,27,1,68,87,35,87,0,0,0,0
860,0.278061,0,0,0,0,0,0,0,0,0,108,18,0,79,62,49,74,10,0,0,0
870,0.302666,0,0,0,0,0,0,0,0,0,83,14,1,79,96,42,65,20,0,0,0
880,0.288008,0,0,0,0,0,0,0,0,0,114,12,2,55,69,53,90,5,0,0,0
890,0.316013,0,0,0,0,0,0,0,0,0,94,16,2,29,83,76,86,14,0,0,0
900,0.309958,0,0,0,0,0,0,0,0,0,107,21,3,25,48,83,88,25,0,0,0
910,0.316812,0,0,0,0,0,0,0,0,0,108,18,3,19,57,79,81,35,0,0,0
920,0.329783,0,0,0,0,0,0,0,0,0,97,27,2,8,55,92,75,44,0,0,0
930,0.338216,0,0,0,0,0,0,0,0,0,98,26,1,12,53,74,83,53,0,0,0
940,0.32831,0,0,0,0,0,0,0,0,0,101,15,4,48,25,73,92,42,0,0,0
950,0.317481,0,0,0,0,0,0,0,0,0,102,20,3,61,19,54,107,34,0,0,0
960,0.353549,0,0,0,0,0,0,0,0,0,92,16,1,49,18,50,141,33,0,0,0
970,0.33411,0,0,0,0,0,0,0,0,0,105,10,3,61,22,26,144,29,0,0,0
980,0.329152,0,0,0,0,0,0,0,0,0,97,17,4,61,31,54,91,45,0,0,0
990,0.31391,0,0,0,0,0,0,0,0,0,91,16,4,92,27,55,73,36,6,0,0
1000,0.301461,0,0,0,0,0,0,0,0,0,98,17,1,105,7,64,69,39,0,0,0
1010,0.326418,0,0,0,0,0,0,0,0,0,89,12,3,74,26,76,96,20,4,0,0
1020,0.339571,0,0,0,0,0,0,0,0,0,91,19,0,53,21,102,60,53,1,0,0
1030,0.29695,0,0,0,0,0,0,0,0,0,98,29,0,64,31,83,69,26,0,0,0
1040,0.310011,0,0,0,0,0,0,0,0,0,99,20,1,61,47,45,98,29,0,0,0
1050,0.266318,0,0,0,0,0,0,0,0,0,113,31,0,60,41,90,64,1,0,0,0
1060,0.290437,0,0,0,0,0,0,0,0,0,106,18,0,52,27,133,63,1,0,0,0
1070,0.297025,0,0,0,0,0,0,0,0,0,106,14,0,42,38,140,60,0,0,0,0
1080,0.297511,0,0,0,0,0,0,0,0,0,98,23,3,33,49,126,67,1,0,0,0
1090,0.29455,0,0,0,0,0,0,0,0,0,109,19,0,5,90,127,49,1,0,0,0
1100,0.305074,0,0,0,0,0,0,0,0,0,98,15,0,7,102,126,49,3,0,0,0
1110,0.290402,0,0,0,0,0,0,0,0,0,114,20,0,11,100,73,73,9,0,0,0
1120,0.26715,0,0,0,0,0,0,0,0,0,112,21,0,34,106,91,35,1,0,0,0
1130,0.269332,0,0,0,0,0,0,0,0,0,107,14,0,82,74,76,39,8,0,0,0
1140,0.282819,0,0,0,0,0,0,0,0,0,107,11,0,71,58,113,32,7,1,0,0
1150,0.316154,0,0,0,0,0,0,0,0,0,97,19,0,11,70,138,48,17,0,0,0
1160,0.304226,0,0,0,0,0,0,0,0,0,92,17,0,34,80,117,56,4,0,0,0
1170,0.310626,0,0,0,0,0,0,0,0,0,89,19,0,45,71,112,45,19,0,0,0
1180,0.298917,0,0,0,0,0,0,0,0,0,105,14,0,52,62,110,26,31,0,0,0
1190,0.346037,0,0,0,0,0,0,0,0,0,99,17,0,25,43,79,80,36,21,0,0
1200,0.316572,0,0,0,0,0,0,0,0,0,108,21,0,42,52,71,48,40,18,0,0
1210,0.352159,0,0,0,0,0,0,0,0,0,93,13,0,40,31,97,62,53,11,0,0
1220,0.271424,0,0,0,0,0,0,0,0,0,106,29,2,69,74,33,50,37,0,0,0
1230,0.25566,0,0,0,0,0,0,0,0,0,97,28,0,75,139,14,22,21,4,0,0
