update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,-0.00256205,16,26,16,24,23,18,15,22,22,22,13,22,19,25,18,18,16,24,21,20
10,0.142412,0,2,0,6,5,25,9,19,25,33,46,50,68,45,15,4,7,29,4,8
20,0.0862827,0,0,0,2,1,24,14,16,16,43,66,66,102,20,22,1,1,6,0,0
30,0.0715767,0,0,0,0,0,34,8,14,8,65,70,50,114,18,15,2,0,2,0,0
40,0.0629025,0,0,0,0,2,30,6,10,6,73,74,77,103,11,8,0,0,0,0,0
50,0.0881774,0,0,0,0,4,27,6,9,10,52,59,83,118,22,6,4,0,0,0,0
60,0.100864,0,0,0,0,1,30,9,4,11,60,34,95,113,26,12,5,0,0,0,0
70,0.110024,0,0,0,0,5,27,5,0,8,64,30,88,114,52,5,2,0,0,0,0
80,0.0982048,0,0,0,0,4,26,4,0,11,70,23,100,119,43,0,0,0,0,0,0
90,0.0706827,0,0,0,0,5,24,12,0,31,58,47,93,101,29,0,0,0,0,0,0
100,0.0940444,0,0,0,0,2,13,12,0,32,53,42,106,117,20,3,0,0,0,0,0
110,0.0892006,0,0,0,0,0,15,3,0,59,41,37,130,87,21,7,0,0,0,0,0
120,0.130907,0,0,0,0,0,10,2,2,29,44,34,122,113,32,12,0,0,0,0,0
130,0.1546,0,0,0,0,0,4,7,0,13,49,32,115,123,42,15,0,0,0,0,0
140,0.158793,0,0,0,0,0,2,2,2,7,51,51,94,136,45,10,0,0,0,0,0
150,0.173138,0,0,0,0,0,4,1,2,20,36,35,102,123,68,9,0,0,0,0,0
160,0.176773,0,0,0,0,0,4,0,1,10,45,47,104,98,80,10,1,0,0,0,0
170,0.16909,0,0,0,0,0,0,0,0,22,46,57,92,97,69,15,2,0,0,0,0
180,0.177818,0,0,0,0,0,0,0,0,26,42,41,77,125,69,20,0,0,0,0,0
190,0.165842,0,0,0,0,0,0,0,0,24,50,35,95,120,71,5,0,0,0,0,0
200,0.168006,0,0,0,0,0,0,0,0,21,33,63,103,110,66,4,0,0,0,0,0
210,0.169156,0,0,0,0,0,0,0,0,8,49,67,86,128,60,2,0,0,0,0,0
220,0.189728,0,0,0,0,0,0,0,0,1,35,72,83,136,60,13,0,0,0,0,0
230,0.189988,0,0,0,0,0,0,0,1,4,37,61,89,123,72,13,0,0,0,0,0
240,0.186487,0,0,0,0,0,0,0,0,8,28,86,65,133,67,13,0,0,0,0,0
250,0.164383,0,0,0,0,0,0,0,0,13,33,98,76,108,63,9,0,0,0,0,0
260,0.157342,0,0,0,0,0,0,0,0,15,36,83,93,122,40,11,0,0,0,0,0
270,0.166092,0,0,0,0,0,0,0,1,15,34,73,72,149,33,23,0,0,0,0,0
280,0.146846,0,0,0,0,0,0,0,6,17,47,81,65,137,30,17,0,0,0,0,0
290,0.142039,0,0,0,0,0,0,0,10,28,24,73,93,134,26,10,2,0,0,0,0
300,0.125489,0,0,0,0,0,0,0,1,28,46,90,94,119,19,3,0,0,0,0,0
310,0.115669,0,0,0,0,0,0,0,8,32,65,75,80,105,26,9,0,0,0,0,0
320,0.0897667,0,0,0,0,0,0,0,6,45,80,78,79,76,26,10,0,0,0,0,0
330,0.0749934,0,0,0,0,0,0,0,4,54,85,100,57,63,32,5,0,0,0,0,0
340,0.0683911,0,0,0,0,0,0,0,12,27,113,96,59,71,17,5,0,0,0,0,0
350,0.0588659,0,0,0,0,0,0,0,10,33,105,99,83,60,10,0,0,0,0,0,0
360,0.0516158,0,0,0,0,0,0,0,8,19,114,136,68,44,11,0,0,0,0,0,0
370,0.0520877,0,0,0,0,0,0,0,5,31,94,154,72,28,16,0,0,0,0,0,0
380,0.0673906,0,0,0,0,0,0,0,1,11,120,144,74,18,29,3,0,0,0,0,0
390,0.0781745,0,0,0,0,0,0,0,0,7,112,141,87,21,28,4,0,0,0,0,0
400,0.0787074,0,0,0,0,0,0,0,3,21,84,144,97,15,33,3,0,0,0,0,0
410,0.0706679,0,0,0,0,0,0,0,3,24,97,126,93,28,19,10,0,0,0,0,0
420,0.0774229,0,0,0,0,0,0,0,0,30,68,130,124,29,17,2,0,0,0,0,0
430,0.0809243,0,0,0,0,0,0,0,2,37,61,114,120,40,25,1,0,0,0,0,0
440,0.0861433,0,0,0,0,0,0,0,2,26,39,159,127,27,18,2,0,0,0,0,0
450,0.0988778,0,0,0,0,0,0,0,2,25,23,157,141,31,20,1,0,0,0,0,0
460,0.118223,0,0,0,0,0,0,0,0,16,28,140,137,44,30,5,0,0,0,0,0
470,0.10259,0,0,0,0,0,0,0,0,23,58,127,113,39,38,2,0,0,0,0,0
480,0.127262,0,0,0,0,0,0,0,0,14,73,124,74,27,76,12,0,0,0,0,0
490,0.127918,0,0,0,0,0,0,0,0,8,76,121,86,19,69,21,0,0,0,0,0
500,0.138946,0,0,0,0,0,0,0,0,14,55,126,84,19,72,30,0,0,0,0,0
510,0.127356,0,0,0,0,0,0,0,0,17,71,102,105,25,49,31,0,0,0,0,0
520,0.129995,0,0,0,0,0,0,0,1,17,59,99,122,29,43,30,0,0,0,0,0
530,0.148296,0,0,0,0,0,0,0,0,13,44,100,118,57,40,28,0,0,0,0,0
540,0.129954,0,0,0,0,0,0,0,3,11,65,104,98,61,32,26,0,0,0,0,0
550,0.134875,0,0,0,0,0,0,0,3,10,43,131,99,51,48,15,0,0,0,0,0
560,0.147465,0,0,0,0,0,0,0,2,17,40,93,113,65,52,18,0,0,0,0,0
570,0.137985,0,0,0,0,0,0,0,0,12,71,78,107,67,52,13,0,0,0,0,0
580,0.177729,0,0,0,0,0,0,0,0,14,43,74,97,63,87,21,1,0,0,0,0
590,0.202378,0,0,0,0,0,0,0,0,19,47,45,70,61,127,31,0,0,0,0,0
600,0.205183,0,0,0,0,0,0,0,0,26,45,48,57,55,126,43,0,0,0,0,0
610,0.194538,0,0,0,0,0,0,0,0,14,61,46,72,58,118,29,2,0,0,0,0
620,0.220741,0,0,0,0,0,0,0,0,6,47,41,83,63,113,42,5,0,0,0,0
630,0.242393,0,0,0,0,0,0,0,0,13,42,28,71,42,135,68,1,0,0,0,0
640,0.260325,0,0,0,0,0,0,0,0,13,40,26,42,51,148,77,3,0,0,0,0
650,0.312711,0,0,0,0,0,0,0,0,13,17,7,26,50,182,103,2,0,0,0,0
660,0.292054,0,0,0,0,0,0,0,0,31,15,4,31,55,163,95,6,0,0,0,0
670,0.270918,0,0,0,0,0,0,0,3,35,11,12,38,55,169,71,6,0,0,0,0
680,0.262685,0,0,0,0,0,0,0,3,40,18,5,33,66,159,74,2,0,0,0,0
690,0.27314,0,0,0,0,0,0,0,3,34,15,14,23,64,166,75,6,0,0,0,0
700,0.268678,0,0,0,0,0,0,0,11,23,14,6,34,76,168,68,0,0,0,0,0
710,0.29156,0,0,0,0,0,0,0,14,7,5,5,41,75,179,74,0,0,0,0,0
720,0.293137,0,0,0,0,0,0,0,17,5,5,1,31,91,180,68,2,0,0,0,0
730,0.274907,0,0,0,0,0,0,0,20,9,8,0,20,124,163,54,2,0,0,0,0
740,0.292316,0,0,0,0,0,0,0,8,8,8,2,15,130,167,62,0,0,0,0,0
750,0.292969,0,0,0,0,0,0,2,8,12,2,5,16,112,178,65,0,0,0,0,0
760,0.284859,0,0,0,0,0,0,0,11,11,5,11,6,121,201,34,0,0,0,0,0
770,0.300623,0,0,0,0,0,0,0,8,6,2,7,1,144,175,57,0,0,0,0,0
780,0.289452,0,0,0,0,0,0,0,15,2,1,0,2,172,177,28,3,0,0,0,0
790,0.269653,0,0,0,0,0,0,0,23,2,0,0,12,169,167,23,4,0,0,0,0
800,0.280159,0,0,0,0,0,0,0,15,0,0,0,19,183,155,28,0,0,0,0,0
810,0.280352,0,0,0,0,0,0,0,5,4,0,0,40,171,157,23,0,0,0,0,0
820,0.278202,0,0,0,0,0,0,0,7,0,0,0,48,183,127,35,0,0,0,0,0
830,0.266086,0,0,0,0,0,0,0,15,0,0,0,45,161,167,12,0,0,0,0,0
840,0.263148,0,0,0,0,0,0,4,13,2,0,0,35,168,167,11,0,0,0,0,0
850,0.246654,0,0,0,0,0,0,10,12,2,0,0,56,163,151,6,0,0,0,0,0
860,0.261135,0,0,0,0,0,0,8,8,0,1,0,55,162,148,18,0,0,0,0,0
870,0.258725,0,0,0,0,0,0,7,7,0,0,0,49,190,130,17,0,0,0,0,0
880,0.237686,0,0,0,0,0,0,11,16,0,0,3,51,170,139,10,0,0,0,0,0
890,0.238807,0,0,0,0,0,0,8,18,0,0,13,41,164,140,16,0,0,0,0,0
900,0.229084,0,0,0,0,0,1,4,17,1,0,26,59,142,137,13,0,0,0,0,0
910,0.233191,0,0,0,0,0,4,5,10,0,0,21,74,138,137,11,0,0,0,0,0
920,0.224281,0,0,0,0,0,6,7,11,0,1,19,81,130,142,3,0,0,0,0,0
930,0.200929,0,0,0,0,0,7,17,23,1,0,9,55,149,133,6,0,0,0,0,0
940,0.233814,0,0,0,0,0,3,11,12,2,0,1,64,162,132,13,0,0,0,0,0
950,0.252741,0,0,0,0,0,2,3,8,4,0,3,61,176,135,8,0,0,0,0,0
960,0.26292,0,0,0,0,0,0,5,0,0,0,4,52,190,144,5,0,0,0,0,0
970,0.254857,0,0,0,0,0,0,4,0,0,0,5,80,187,112,12,0,0,0,0,0
980,0.258251,0,0,0,0,0,0,6,0,0,0,2,55,232,94,11,0,0,0,0,0
990,0.250021,0,0,0,0,0,0,2,0,0,0,7,74,227,84,6,0,0,0,0,0
1000,0.264532,0,0,0,0,0,0,0,0,0,0,4,65,210,104,17,0,0,0,0,0
1010,0.261004,0,0,0,0,0,0,0,0,0,0,1,73,226,87,13,0,0,0,0,0
1020,0.259114,0,0,0,0,0,0,0,0,0,0,6,79,212,86,17,0,0,0,0,0
1030,0.253658,0,0,0,0,0,0,0,0,0,0,3,102,175,115,5,0,0,0,0,0
1040,0.245261,0,0,0,0,0,0,0,0,0,0,7,114,181,94,4,0,0,0,0,0
1050,0.260768,0,0,0,0,0,0,0,0,0,0,10,77,188,112,13,0,0,0,0,0
1060,0.267357,0,0,0,0,0,0,0,0,0,0,2,78,189,106,25,0,0,0,0,0
1070,0.263526,0,0,0,0,0,0,0,0,0,0,5,79,189,107,17,3,0,0,0,0
1080,0.263777,0,0,0,0,0,0,0,0,0,0,15,73,181,110,21,0,0,0,0,0
1090,0.277086,0,0,0,0,0,0,0,0,0,0,16,60,157,140,27,0,0,0,0,0
1100,0.271961,0,0,0,0,0,0,0,0,0,0,23,40,177,147,13,0,0,0,0,0
1110,0.274833,0,0,0,0,0,0,0,0,0,0,24,46,145,166,19,0,0,0,0,0
1120,0.261486,0,0,0,0,0,0,0,0,0,0,43,51,151,140,15,0,0,0,0,0
1130,0.252417,0,0,0,0,0,0,0,0,0,3,36,71,160,102,28,0,0,0,0,0
1140,0.254815,0,0,0,0,0,0,0,0,0,4,30,69,173,95,28,1,0,0,0,0
1150,0.257999,0,0,0,0,0,0,0,0,0,1,30,70,161,105,33,0,0,0,0,0
1160,0.256138,0,0,0,0,0,0,0,0,0,0,20,97,149,112,22,0,0,0,0,0
1170,0.272682,0,0,0,0,0,0,0,0,0,0,20,75,120,158,26,1,0,0,0,0
1180,0.264458,0,0,0,0,0,0,0,0,0,0,29,83,123,131,34,0,0,0,0,0
1190,0.259026,0,0,0,0,0,0,0,0,0,1,45,77,117,123,35,2,0,0,0,0
1200,0.27743,0,0,0,0,0,0,0,0,0,2,25,69,123,133,42,6,0,0,0,0
1210,0.273481,0,0,0,0,0,0,0,0,1,0,26,67,141,123,40,2,0,0,0,0
1220,0.253533,0,0,0,0,0,0,0,0,0,1,39,83,126,122,26,3,0,0,0,0
1230,0.24786,0,0,0,0,0,0,0,0,0,3,39,116,99,100,39,4,0,0,0,0
1240,0.228582,0,0,0,0,0,0,0,0,0,7,44,132,105,84,22,6,0,0,0,0
1250,0.205497,0,0,0,0,0,0,0,0,0,23,61,117,111,65,23,0,0,0,0,0
1260,0.212253,0,0,0,0,0,0,0,0,0,23,60,105,101,84,22,5,0,0,0,0
1270,0.207596,0,0,0,0,0,0,0,0,0,16,71,106,109,70,23,5,0,0,0,0
1280,0.212173,0,0,0,0,0,0,0,0,0,18,73,93,103,93,20,0,0,0,0,0
1290,0.20099,0,0,0,0,0,0,0,0,0,12,103,101,66,97,21,0,0,0,0,0
1300,0.197811,0,0,0,0,0,0,0,0,0,21,87,100,92,72,26,2,0,0,0,0
1310,0.205135,0,0,0,0,0,0,0,0,0,20,75,92,106,84,22,1,0,0,0,0
1320,0.208783,0,0,0,0,0,0,0,0,0,32,72,75,101,86,34,0,0,0,0,0
1330,0.214045,0,0,0,0,0,0,0,0,0,27,64,92,105,81,31,0,0,0,0,0
1340,0.218689,0,0,0,0,0,0,0,0,0,37,46,86,110,88,33,0,0,0,0,0
