update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,-0.0374014,16,18,23,24,31,20,20,20,19,14,28,22,16,21,21,20,17,15,15,20
10,0.435692,0,0,0,1,5,5,2,1,8,2,34,16,4,22,143,76,11,39,28,3
20,0.498197,0,0,0,0,0,0,0,0,0,0,12,2,4,49,188,84,2,22,31,6
30,0.529817,0,0,0,0,0,0,0,0,0,1,4,0,7,59,152,75,14,42,43,3
40,0.529884,0,0,0,0,0,0,0,0,0,0,7,0,11,66,134,55,36,54,37,0
50,0.465965,0,0,0,0,0,0,0,0,0,0,54,15,14,38,95,43,101,29,10,1
60,0.48747,0,0,0,0,0,0,0,0,0,1,40,5,10,55,96,77,51,29,34,2
70,0.502551,0,0,0,0,0,0,0,0,0,4,31,4,1,64,122,45,33,62,31,3
80,0.519315,0,0,0,0,0,0,0,0,0,0,21,1,4,63,110,74,49,46,24,8
90,0.545803,0,0,0,0,0,0,0,0,0,0,4,0,4,48,130,56,81,70,5,2
100,0.520908,0,0,0,0,0,0,0,0,0,0,2,0,3,86,112,85,47,48,16,1
110,0.510823,0,0,0,0,0,0,0,0,0,0,0,0,10,76,118,126,37,12,13,8
120,0.462453,0,0,0,0,0,0,0,0,0,0,0,0,10,94,153,130,9,1,3,0
130,0.430386,0,0,0,0,0,0,0,0,0,0,0,0,28,146,113,102,11,0,0,0
140,0.402324,0,0,0,0,0,0,0,0,0,0,0,0,58,182,69,80,11,0,0,0
150,0.400085,0,0,0,0,0,0,0,0,0,0,0,8,81,135,71,79,26,0,0,0
160,0.442714,0,0,0,0,0,0,0,0,0,0,0,19,49,87,66,140,38,1,0,0
170,0.452692,0,0,0,0,0,0,0,0,0,0,0,18,22,78,103,164,15,0,0,0
180,0.466986,0,0,0,0,0,0,0,0,0,0,1,21,12,63,115,146,42,0,0,0
190,0.484412,0,0,0,0,0,0,0,0,0,0,0,0,38,37,118,158,49,0,0,0
200,0.476934,0,0,0,0,0,0,0,0,0,0,0,1,48,40,107,165,37,2,0,0
