update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,-0.0393138,26,25,16,22,18,23,26,11,24,25,17,16,14,26,15,24,16,22,13,21
10,0.181551,0,0,0,0,0,0,1,0,0,192,36,2,46,48,5,42,12,10,6,0
20,0.202772,0,0,0,0,0,0,0,0,0,180,25,1,54,58,23,36,2,19,1,1
30,0.154898,0,0,0,0,0,0,0,0,0,179,42,2,84,53,15,10,0,15,0,0
40,0.154633,0,0,0,0,0,0,0,0,0,189,29,7,86,37,35,8,0,7,2,0
50,0.145129,0,0,0,0,0,0,0,0,0,202,45,6,71,33,14,1,0,24,4,0
60,0.201229,0,0,0,0,0,0,0,0,0,188,34,2,63,52,5,0,0,30,25,1
70,0.25162,0,0,0,0,0,0,0,0,0,174,25,4,47,49,25,0,8,32,31,5
80,0.23893,0,0,0,0,0,0,0,0,0,180,19,1,49,75,8,3,1,37,23,4
90,0.210354,0,0,0,0,0,0,0,0,0,197,21,0,47,66,17,0,1,21,28,2
100,0.202172,0,0,0,0,0,0,0,0,0,187,23,0,36,100,22,0,0,13,19,0
110,0.222201,0,0,0,0,0,0,0,0,0,168,29,3,32,105,24,0,0,13,26,0
120,0.219734,0,0,0,0,0,0,0,0,0,178,33,0,31,84,24,0,3,24,23,0
130,0.229267,0,0,0,0,0,0,0,0,0,179,30,1,31,83,24,0,2,23,21,6
140,0.201666,0,0,0,0,0,0,0,0,0,167,30,1,49,89,38,1,0,14,8,3
150,0.178563,0,0,0,0,0,0,0,0,0,180,23,0,67,78,44,0,0,2,2,4
160,0.178885,0,0,0,0,0,0,0,0,0,180,27,0,54,97,32,2,0,0,0,8
170,0.189284,0,0,0,0,0,0,0,0,0,186,22,0,61,79,28,7,0,0,0,17
180,0.227955,0,0,0,0,0,0,0,0,0,166,32,0,31,86,52,3,0,0,0,30
190,0.228898,0,0,0,0,0,0,0,0,0,161,23,2,77,87,13,0,0,0,0,37
200,0.203089,0,0,0,0,0,0,0,0,0,174,45,2,66,62,15,0,0,0,0,36
210,0.178407,0,0,0,0,0,0,0,0,0,195,37,0,79,41,20,0,0,0,0,28
220,0.214189,0,0,0,0,0,0,0,0,0,174,26,1,90,54,19,0,0,0,0,36
230,0.24561,0,0,0,0,0,0,0,0,0,178,25,1,56,61,26,0,0,0,0,53
240,0.191383,0,0,0,0,0,0,0,0,0,195,32,1,61,39,33,12,0,0,0,27
250,0.260254,0,0,0,0,0,0,0,0,0,162,22,1,35,47,62,43,0,0,0,28
260,0.205573,0,0,0,0,0,0,0,0,0,189,17,0,44,56,43,41,0,0,0,10
270,0.194923,0,0,0,0,0,0,0,0,0,173,27,0,45,56,60,39,0,0,0,0
280,0.199411,0,0,0,0,0,0,0,0,0,167,30,1,46,63,51,37,5,0,0,0
290,0.184286,0,0,0,0,0,0,0,0,0,172,33,0,50,87,26,23,9,0,0,0
300,0.203731,0,0,0,0,0,0,0,0,0,159,22,0,46,131,5,25,12,0,0,0
310,0.194431,0,0,0,0,0,0,0,0,0,171,26,0,28,121,21,24,9,0,0,0
320,0.183557,0,0,0,0,0,0,0,0,0,169,16,0,83,104,6,7,15,0,0,0
330,0.183384,0,0,0,0,0,0,0,0,0,169,25,0,69,94,24,4,11,4,0,0
340,0.137523,0,0,0,0,0,0,0,0,0,195,34,0,60,107,0,1,3,0,0,0
350,0.146899,0,0,0,0,0,0,0,0,0,185,33,0,42,140,0,0,0,0,0,0
360,0.142176,0,0,0,0,0,0,0,0,0,185,47,0,31,131,6,0,0,0,0,0
370,0.130973,0,0,0,0,0,0,0,0,0,186,61,0,30,107,16,0,0,0,0,0
