update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,-0.0133681,18,10,24,19,26,24,16,27,26,21,20,26,8,13,21,27,22,18,21,13
10,0.114502,17,7,18,16,23,21,11,22,19,12,18,28,10,7,31,34,30,23,31,22
20,0.400614,5,1,7,8,12,14,4,11,12,10,21,13,9,5,48,47,46,27,42,58
30,0.670043,2,0,1,1,4,2,1,4,8,3,2,3,6,1,57,38,25,47,81,114
40,0.780161,1,0,1,0,0,0,0,1,0,0,0,1,3,1,45,22,16,53,109,147
50,0.820192,0,0,0,0,0,0,0,0,0,0,0,0,4,0,33,18,2,55,111,177
60,0.845843,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,13,0,77,94,198
70,0.850421,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,7,0,80,86,206
80,0.861092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,91,95,200
90,0.880028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,83,73,238
100,0.872152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,95,50,243
110,0.862124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,116,47,224
120,0.871407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,109,50,234
130,0.856078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,138,49,204
140,0.847065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,173,40,182
150,0.863724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,146,36,216
160,0.862614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,37,213
170,0.855878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,45,196
180,0.852072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,49,181
190,0.845779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,45,171
200,0.835993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,46,152
210,0.830224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,47,138
220,0.838906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,34,161
230,0.844445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,34,171
240,0.836646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,20,160
250,0.848083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,17,187
260,0.83887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,19,162
270,0.845877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,25,178
280,0.856514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,18,202
290,0.855777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,32,195
300,0.858975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,35,198
310,0.860345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,45,199
320,0.866004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,59,207
330,0.862126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,77,195
340,0.873632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,65,227
350,0.883424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,36,266
360,0.891312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,32,285
370,0.897645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,31,301
380,0.899185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,24,304
390,0.905926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,25,324
400,0.904422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,39,310
410,0.909111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,32,326
420,0.912405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,35,329
430,0.901537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,41,300
440,0.906398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,35,312
450,0.906173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,24,316
460,0.902871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,18,311
470,0.904132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,11,315
480,0.905354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,13,317
490,0.905721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,7,319
500,0.915755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,7,339
510,0.915025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,12,338
520,0.907227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,16,320
530,0.918571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,13,347
540,0.920179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,12,345
550,0.919393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,11,345
560,0.921731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,4,348
570,0.915879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,11,337
580,0.916777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,11,334
590,0.915929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,6,339
600,0.920378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,356
610,0.916943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,2,350
620,0.915829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,4,350
630,0.918493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3,353
640,0.91709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,351
650,0.916254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,7,345
660,0.918239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,7,350
670,0.91757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,4,354
680,0.906967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,10,324
690,0.903276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,9,315
700,0.905457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,5,315
710,0.903035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,1,310
720,0.900444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,306
730,0.900888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,304
740,0.899275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,300
750,0.907174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,316
760,0.900248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,299
770,0.891116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,279
780,0.881745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,262
790,0.878207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,3,251
800,0.877913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,1,250
810,0.878919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,254
820,0.886149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,277
830,0.880794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,2,262
840,0.885242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,1,274
850,0.880127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,2,259
860,0.882267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,3,263
870,0.875624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,6,244
880,0.881824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,1,264
890,0.888464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,6,278
900,0.879114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,4,261
910,0.889715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,5,285
920,0.885723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,14,276
930,0.871496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,13,244
940,0.877512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,10,259
950,0.882647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,8,276
960,0.879841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,3,272
970,0.8798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,274
980,0.879952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,275
990,0.875669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,263
1000,0.873364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,255
1010,0.8768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,3,267
1020,0.877041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,4,270
1030,0.867559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,7,248
1040,0.859676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,2,233
1050,0.862656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,5,241
1060,0.861197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,10,235
1070,0.862432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,11,238
1080,0.868228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,10,248
1090,0.871162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,1,262
1100,0.874265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,269
1110,0.872208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,1,266
1120,0.873129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,269
1130,0.874935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,1,277
