update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.0265953,15,14,23,21,17,19,24,21,19,24,18,18,22,21,22,17,21,23,22,19
10,-0.190897,6,3,16,12,14,4,19,6,5,13,5,4,3,6,9,8,4,3,4,0
20,-0.444846,20,4,22,36,32,6,29,12,5,8,3,3,2,3,5,4,2,3,0,0
30,-0.616119,30,3,46,47,37,4,24,2,0,1,2,2,0,1,1,3,0,0,0,0
40,-0.686249,45,6,57,55,37,3,17,1,0,1,0,2,0,0,1,0,0,0,0,0
50,-0.759729,79,15,50,51,23,2,12,0,0,0,0,1,0,0,0,0,0,0,0,0
60,-0.81043,110,12,35,40,11,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0
70,-0.851557,131,19,33,31,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
80,-0.879118,149,24,19,26,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90,-0.902407,165,21,21,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,-0.922371,177,20,14,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,-0.940407,198,13,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,-0.951161,209,10,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,-0.961174,236,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,-0.961483,221,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,-0.960284,217,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,-0.965327,232,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,-0.963139,240,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,-0.96424,229,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,-0.96336,212,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,-0.962542,212,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,-0.967722,225,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,-0.970695,236,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,-0.970753,211,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,-0.975777,220,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,-0.97636,216,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,-0.975747,222,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,-0.97831,223,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,-0.979299,229,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,-0.978723,216,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,-0.977718,204,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,-0.978389,219,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,-0.979484,210,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,-0.976719,201,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,-0.977177,209,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,-0.981011,229,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,-0.98113,207,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,-0.97742,205,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,-0.975961,219,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,-0.974384,217,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,-0.97655,215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,-0.977341,202,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,-0.977085,203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,-0.976994,207,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,-0.980732,210,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,-0.97863,203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,-0.979202,197,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,-0.980483,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,-0.981195,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,-0.980186,209,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,-0.979131,199,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,-0.977369,199,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,-0.980054,190,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,-0.981365,208,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,-0.982972,211,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,-0.982251,201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,-0.980245,206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570,-0.98018,206,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,-0.979598,201,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,-0.980566,194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,-0.979127,213,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,-0.977407,207,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,-0.97844,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,-0.976491,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640,-0.974259,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,-0.972625,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,-0.973325,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670,-0.971887,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,-0.973632,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690,-0.975211,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,-0.97185,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710,-0.972604,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,-0.971631,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
730,-0.969811,203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,-0.969743,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
