Role,Seed,VTR,mean_IntVal,Hist_-1_-0.9,Hist_-0.9_-0.8,Hist_-0.8_-0.7,Hist_-0.7_-0.6,Hist_-0.6_-0.5,Hist_-0.5_-0.4,Hist_-0.4_-0.3,Hist_-0.3_-0.2,Hist_-0.2_-0.1,Hist_-0.1_0,Hist_0_0.1,Hist_0.1_0.2,Hist_0.2_0.3,Hist_0.3_0.4,Hist_0.4_0.5,Hist_0.5_0.6,Hist_0.6_0.7,Hist_0.7_0.8,Hist_0.8_0.9,Hist_0.9_1
S,14.0,0.4,0.289971,0,0,0,0,0,0,0,0,0,0,0,9,85,83,1,0,0,0,0,0
S,11.0,0.4,0.273514,0,0,0,0,0,0,0,0,0,0,0,7,127,54,0,0,0,0,0,0
S,8.0,0.4,0.271258,0,0,0,0,0,0,0,0,0,0,0,3,136,64,0,0,0,0,0,0
S,15.0,0.4,0.249812,0,0,0,0,0,0,0,0,0,0,0,10,189,20,0,0,0,0,0,0
S,17.0,0.4,0.247551,0,0,0,0,0,0,0,0,0,0,0,11,168,17,0,0,0,0,0,0
H,5.0,0.4,0.583661,0,0,0,0,0,0,0,0,0,0,0,0,2,55,88,90,68,47,35,15
H,4.0,0.4,0.782702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,102,74,77,106
S,16.0,0.4,0.286615,0,0,0,0,0,0,0,0,0,0,0,7,92,62,11,0,0,0,0,0
H,10.0,0.4,0.677444,0,0,0,0,0,0,0,0,0,0,0,0,0,9,68,11,129,91,84,8
H,2.0,0.4,0.451842,0,0,0,0,0,0,0,0,0,0,0,16,46,82,105,86,44,21,0,0
H,13.0,0.4,0.33615,0,0,0,0,0,0,0,0,0,0,6,17,128,179,28,31,11,0,0,0
S,5.0,0.4,0.255371,0,0,0,0,0,0,0,0,0,0,0,3,190,10,0,0,0,0,0,0
H,11.0,0.4,0.600394,0,0,0,0,0,0,0,0,0,0,0,0,5,1,119,99,78,41,41,16
H,6.0,0.4,0.701746,0,0,0,0,0,0,0,0,0,0,0,0,0,23,28,34,81,106,107,21
H,1.0,0.4,0.396629,0,0,0,0,0,0,0,0,0,0,0,0,53,154,144,49,0,0,0,0
S,9.0,0.4,0.34415,0,0,0,0,0,0,0,0,0,0,0,0,39,114,22,0,0,0,0,0
H,18.0,0.4,0.223735,0,0,0,0,0,0,0,0,0,2,52,88,156,95,7,0,0,0,0,0
S,1.0,0.4,0.285806,0,0,0,0,0,0,0,0,0,0,0,7,96,84,1,0,0,0,0,0
H,7.0,0.4,0.786101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,58,148,135,45
H,14.0,0.4,0.360079,0,0,0,0,0,0,0,0,0,4,52,67,37,86,17,55,66,16,0,0
H,16.0,0.4,0.33743,0,0,0,0,0,0,0,0,0,0,3,32,128,125,83,23,6,0,0,0
S,6.0,0.4,0.278512,0,0,0,0,0,0,0,0,0,0,0,9,138,76,0,0,0,0,0,0
S,12.0,0.4,0.296352,0,0,0,0,0,0,0,0,0,0,0,5,104,105,6,0,0,0,0,0
S,4.0,0.4,0.260583,0,0,0,0,0,0,0,0,0,0,0,4,196,23,0,0,0,0,0,0
H,20.0,0.4,0.85911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,61,52,101,182
H,12.0,0.4,0.90027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,122,223
H,17.0,0.4,0.366486,0,0,0,0,0,0,0,0,0,0,20,44,76,57,117,84,2,0,0,0
S,2.0,0.4,0.273459,0,0,0,0,0,0,0,0,0,0,0,1,132,41,0,0,0,0,0,0
S,20.0,0.4,0.31383,0,0,0,0,0,0,0,0,0,0,0,4,92,101,25,0,0,0,0,0
H,3.0,0.4,0.752911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,57,86,85,75,87
S,18.0,0.4,0.313632,0,0,0,0,0,0,0,0,0,0,0,2,62,92,9,1,0,0,0,0
H,19.0,0.4,0.677514,0,0,0,0,0,0,0,0,0,0,0,8,0,6,70,85,20,49,133,29
S,10.0,0.4,0.270104,0,0,0,0,0,0,0,0,0,0,0,10,151,52,0,0,0,0,0,0
H,9.0,0.4,0.16503,0,0,0,0,0,0,0,0,0,3,79,179,124,15,0,0,0,0,0,0
H,15.0,0.4,0.808753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,54,105,159,74
H,8.0,0.4,0.534533,0,0,0,0,0,0,0,0,0,0,0,0,37,89,75,62,39,31,61,6
S,13.0,0.4,0.278064,0,0,0,0,0,0,0,0,0,0,0,10,114,67,2,0,0,0,0,0
S,3.0,0.4,0.301841,0,0,0,0,0,0,0,0,0,0,0,1,121,71,14,0,0,0,0,0
S,19.0,0.4,0.299328,0,0,0,0,0,0,0,0,0,0,0,1,99,106,0,0,0,0,0,0
S,7.0,0.4,0.300881,0,0,0,0,0,0,0,0,0,0,0,0,107,95,1,0,0,0,0,0
