update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.00311107,24,14,18,31,17,20,13,18,21,24,18,24,17,20,22,13,22,23,22,19
10,0.109272,0,3,4,15,2,20,5,21,36,36,64,48,13,39,52,10,12,3,4,13
20,0.106471,0,1,0,0,3,14,5,35,36,36,68,55,36,44,48,11,6,2,0,0
30,0.127689,0,0,0,0,0,5,3,20,32,61,68,49,53,56,46,7,0,0,0,0
40,0.100866,0,0,0,0,0,2,3,26,43,65,70,69,28,52,42,0,0,0,0,0
50,0.0958699,0,0,0,0,0,4,1,25,49,64,77,71,18,30,60,1,0,0,0,0
60,0.0497471,0,0,0,0,0,4,2,32,72,74,51,82,22,17,44,0,0,0,0,0
70,0.0659342,0,0,0,0,0,0,1,35,64,73,60,92,9,11,50,5,0,0,0,0
80,0.0476983,0,0,0,0,0,0,3,37,89,68,55,69,16,12,51,0,0,0,0,0
90,0.0599985,0,0,0,0,0,0,4,30,79,66,55,88,13,14,49,2,0,0,0,0
100,0.0732471,0,0,0,0,0,0,3,31,67,62,66,81,22,16,50,2,0,0,0,0
110,0.0808691,0,0,0,0,0,0,4,27,52,74,80,63,22,35,36,7,0,0,0,0
120,0.0418583,0,0,0,0,0,0,8,42,48,92,69,52,39,24,25,1,0,0,0,0
130,0.0821036,0,0,0,0,0,0,3,34,50,81,51,50,58,42,28,3,0,0,0,0
140,0.0945652,0,0,0,0,0,0,7,17,49,84,60,44,64,45,29,1,0,0,0,0
150,0.10021,0,0,0,0,0,0,3,26,43,85,70,26,57,50,40,0,0,0,0,0
160,0.106543,0,0,0,0,0,0,3,26,49,92,48,19,54,73,34,2,0,0,0,0
170,0.0700723,0,0,0,0,0,0,6,31,70,108,29,14,40,64,36,2,0,0,0,0
180,0.0506202,0,0,0,0,0,0,4,35,91,86,45,5,45,63,24,2,0,0,0,0
190,0.0590185,0,0,0,0,0,0,1,31,76,115,26,6,56,67,18,4,0,0,0,0
200,0.0417695,0,0,0,0,0,0,3,9,102,133,28,8,43,51,21,2,0,0,0,0
210,0.0109494,0,0,0,0,0,0,9,15,98,128,37,20,45,40,6,2,0,0,0,0
220,-0.00366582,0,0,0,0,0,0,3,29,102,130,38,22,36,39,1,0,0,0,0,0
230,0.0059423,0,0,0,0,0,0,1,24,117,110,36,25,54,28,5,0,0,0,0,0
240,0.0141868,0,0,0,0,0,0,0,31,89,117,41,22,63,34,3,0,0,0,0,0
