update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.0156872,22,15,27,16,20,18,10,28,17,24,16,20,21,15,28,25,17,18,15,28
10,0.0227536,2,0,1,2,1,2,0,1,0,324,41,2,1,3,5,2,5,3,0,5
20,0.00655887,0,0,0,0,0,0,0,0,0,348,49,0,0,0,0,0,1,0,0,2
30,-0.000220709,0,0,0,0,0,0,0,0,0,351,49,0,0,0,0,0,0,0,0,0
40,0.000545158,0,0,0,0,0,0,0,0,0,337,63,0,0,0,0,0,0,0,0,0
50,-0.000225751,0,0,0,0,0,0,0,0,0,351,49,0,0,0,0,0,0,0,0,0
60,-8.52102e-05,0,0,0,0,0,0,0,0,0,356,44,0,0,0,0,0,0,0,0,0
70,0.000552324,0,0,0,0,0,0,0,0,0,342,58,0,0,0,0,0,0,0,0,0
80,-0.000444059,0,0,0,0,0,0,0,0,0,352,48,0,0,0,0,0,0,0,0,0
90,-2.76547e-05,0,0,0,0,0,0,0,0,0,359,41,0,0,0,0,0,0,0,0,0
100,-5.11825e-05,0,0,0,0,0,0,0,0,0,363,37,0,0,0,0,0,0,0,0,0
110,-0.000115322,0,0,0,0,0,0,0,0,0,354,46,0,0,0,0,0,0,0,0,0
120,0.000208856,0,0,0,0,0,0,0,0,0,359,41,0,0,0,0,0,0,0,0,0
130,7.40427e-05,0,0,0,0,0,0,0,0,0,366,34,0,0,0,0,0,0,0,0,0
140,0.000169496,0,0,0,0,0,0,0,0,0,352,48,0,0,0,0,0,0,0,0,0
150,0.00044218,0,0,0,0,0,0,0,0,0,342,58,0,0,0,0,0,0,0,0,0
160,-0.000492007,0,0,0,0,0,0,0,0,0,354,46,0,0,0,0,0,0,0,0,0
170,0.000684746,0,0,0,0,0,0,0,0,0,339,61,0,0,0,0,0,0,0,0,0
180,5.22917e-05,0,0,0,0,0,0,0,0,0,346,54,0,0,0,0,0,0,0,0,0
190,0.00021292,0,0,0,0,0,0,0,0,0,358,42,0,0,0,0,0,0,0,0,0
200,-0.000235036,0,0,0,0,0,0,0,0,0,355,45,0,0,0,0,0,0,0,0,0
210,-6.11611e-05,0,0,0,0,0,0,0,0,0,363,37,0,0,0,0,0,0,0,0,0
220,0.000293486,0,0,0,0,0,0,0,0,0,344,56,0,0,0,0,0,0,0,0,0
230,-3.56596e-05,0,0,0,0,0,0,0,0,0,361,39,0,0,0,0,0,0,0,0,0
240,-0.000235772,0,0,0,0,0,0,0,0,0,353,47,0,0,0,0,0,0,0,0,0
250,-0.000278602,0,0,0,0,0,0,0,0,0,352,48,0,0,0,0,0,0,0,0,0
260,-3.0819e-05,0,0,0,0,0,0,0,0,0,364,36,0,0,0,0,0,0,0,0,0
270,0.000409711,0,0,0,0,0,0,0,0,0,355,45,0,0,0,0,0,0,0,0,0
280,0.000680457,0,0,0,0,0,0,0,0,0,350,50,0,0,0,0,0,0,0,0,0
290,-0.000335518,0,0,0,0,0,0,0,0,0,366,34,0,0,0,0,0,0,0,0,0
300,0.000313513,0,0,0,0,0,0,0,0,0,354,46,0,0,0,0,0,0,0,0,0
310,0.000172526,0,0,0,0,0,0,0,0,0,355,45,0,0,0,0,0,0,0,0,0
320,-0.000632998,0,0,0,0,0,0,0,0,0,362,38,0,0,0,0,0,0,0,0,0
330,-0.000553494,0,0,0,0,0,0,0,0,0,366,34,0,0,0,0,0,0,0,0,0
340,0.000166143,0,0,0,0,0,0,0,0,0,346,54,0,0,0,0,0,0,0,0,0
350,0.000180104,0,0,0,0,0,0,0,0,0,359,41,0,0,0,0,0,0,0,0,0
360,0.000202567,0,0,0,0,0,0,0,0,0,349,51,0,0,0,0,0,0,0,0,0
370,0.000379751,0,0,0,0,0,0,0,0,0,353,47,0,0,0,0,0,0,0,0,0
380,0.000170176,0,0,0,0,0,0,0,0,0,348,52,0,0,0,0,0,0,0,0,0
390,0.000383954,0,0,0,0,0,0,0,0,0,361,39,0,0,0,0,0,0,0,0,0
400,-2.98537e-05,0,0,0,0,0,0,0,0,0,359,41,0,0,0,0,0,0,0,0,0
410,-0.000195145,0,0,0,0,0,0,0,0,0,366,34,0,0,0,0,0,0,0,0,0
420,-1.61023e-05,0,0,0,0,0,0,0,0,0,369,31,0,0,0,0,0,0,0,0,0
430,0.000232683,0,0,0,0,0,0,0,0,0,368,32,0,0,0,0,0,0,0,0,0
440,0.000147673,0,0,0,0,0,0,0,0,0,363,37,0,0,0,0,0,0,0,0,0
450,-0.000430395,0,0,0,0,0,0,0,0,0,375,25,0,0,0,0,0,0,0,0,0
460,-0.000235621,0,0,0,0,0,0,0,0,0,371,29,0,0,0,0,0,0,0,0,0
470,-0.000144598,0,0,0,0,0,0,0,0,0,380,20,0,0,0,0,0,0,0,0,0
