update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,-0.0204568,21,19,23,25,18,17,17,19,22,21,25,17,34,11,19,15,25,21,13,18
10,0.118071,1,3,2,2,4,18,25,18,28,27,72,39,47,13,55,17,13,3,3,10
20,0.0786689,0,0,0,0,1,23,22,32,27,21,85,45,63,17,56,7,0,1,0,0
30,0.0666858,0,0,0,0,0,25,28,41,30,10,69,41,76,20,45,15,0,0,0,0
40,0.048593,0,0,0,0,1,13,15,71,34,20,59,45,76,23,39,4,0,0,0,0
50,0.0743356,0,0,0,0,0,12,16,52,30,20,52,74,80,29,34,1,0,0,0,0
60,0.0402694,0,0,0,0,0,22,30,51,22,17,58,73,66,40,21,0,0,0,0,0
70,0.00441706,0,0,0,0,0,36,43,58,12,8,57,69,72,29,16,0,0,0,0,0
80,-0.00676405,0,0,0,0,0,34,45,62,20,9,46,62,86,27,9,0,0,0,0,0
90,0.0304412,0,0,0,0,0,19,46,42,29,5,49,66,105,29,10,0,0,0,0,0
100,0.0628975,0,0,0,0,0,16,29,46,25,9,39,75,120,36,5,0,0,0,0,0
110,0.123535,0,0,0,0,0,3,13,27,29,10,34,91,168,23,2,0,0,0,0,0
120,0.127583,0,0,0,0,0,3,16,14,38,9,33,99,156,31,1,0,0,0,0,0
130,0.126174,0,0,0,0,0,6,13,19,21,19,42,97,146,37,0,0,0,0,0,0
140,0.121312,0,0,0,0,0,5,5,21,24,27,57,97,122,40,2,0,0,0,0,0
150,0.109425,0,0,0,0,0,15,16,26,19,12,45,76,134,55,2,0,0,0,0,0
160,0.14845,0,0,0,0,0,13,16,24,4,9,29,86,134,85,0,0,0,0,0,0
170,0.143281,0,0,0,0,0,18,19,14,1,8,31,112,124,73,0,0,0,0,0,0
180,0.129616,0,0,0,0,0,25,29,18,0,3,22,82,125,90,6,0,0,0,0,0
