update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.0196266,24,12,21,13,25,14,22,21,21,16,22,25,20,18,28,18,25,22,15,18
10,-0.00996308,5,0,0,1,0,0,3,1,1,368,14,2,1,1,0,0,2,1,0,0
20,-7.48285e-05,0,0,0,0,0,0,0,0,0,386,14,0,0,0,0,0,0,0,0,0
30,-0.00012467,0,0,0,0,0,0,0,0,0,387,13,0,0,0,0,0,0,0,0,0
40,3.95338e-05,0,0,0,0,0,0,0,0,0,389,11,0,0,0,0,0,0,0,0,0
50,-0.000293526,0,0,0,0,0,0,0,0,0,392,8,0,0,0,0,0,0,0,0,0
60,-0.000105626,0,0,0,0,0,0,0,0,0,389,11,0,0,0,0,0,0,0,0,0
70,3.44626e-06,0,0,0,0,0,0,0,0,0,389,11,0,0,0,0,0,0,0,0,0
80,-5.39277e-05,0,0,0,0,0,0,0,0,0,395,5,0,0,0,0,0,0,0,0,0
90,-0.000244411,0,0,0,0,0,0,0,0,0,392,8,0,0,0,0,0,0,0,0,0
100,-0.000124118,0,0,0,0,0,0,0,0,0,389,11,0,0,0,0,0,0,0,0,0
110,-9.22701e-05,0,0,0,0,0,0,0,0,0,394,6,0,0,0,0,0,0,0,0,0
120,-3.51738e-05,0,0,0,0,0,0,0,0,0,389,11,0,0,0,0,0,0,0,0,0
130,1.1308e-06,0,0,0,0,0,0,0,0,0,391,9,0,0,0,0,0,0,0,0,0
140,9.75526e-05,0,0,0,0,0,0,0,0,0,387,13,0,0,0,0,0,0,0,0,0
150,-0.000150163,0,0,0,0,0,0,0,0,0,397,3,0,0,0,0,0,0,0,0,0
160,-1.5855e-05,0,0,0,0,0,0,0,0,0,394,6,0,0,0,0,0,0,0,0,0
170,3.33186e-05,0,0,0,0,0,0,0,0,0,392,8,0,0,0,0,0,0,0,0,0
180,0.000171742,0,0,0,0,0,0,0,0,0,390,10,0,0,0,0,0,0,0,0,0
190,4.93441e-05,0,0,0,0,0,0,0,0,0,393,7,0,0,0,0,0,0,0,0,0
200,5.09132e-05,0,0,0,0,0,0,0,0,0,386,14,0,0,0,0,0,0,0,0,0
210,-0.000127047,0,0,0,0,0,0,0,0,0,388,12,0,0,0,0,0,0,0,0,0
220,-0.000170239,0,0,0,0,0,0,0,0,0,389,11,0,0,0,0,0,0,0,0,0
230,-2.73749e-05,0,0,0,0,0,0,0,0,0,387,13,0,0,0,0,0,0,0,0,0
240,1.16364e-05,0,0,0,0,0,0,0,0,0,390,10,0,0,0,0,0,0,0,0,0
250,-9.20181e-05,0,0,0,0,0,0,0,0,0,390,10,0,0,0,0,0,0,0,0,0
260,-4.25578e-05,0,0,0,0,0,0,0,0,0,387,13,0,0,0,0,0,0,0,0,0
270,-4.75342e-05,0,0,0,0,0,0,0,0,0,391,9,0,0,0,0,0,0,0,0,0
280,0.000113535,0,0,0,0,0,0,0,0,0,386,14,0,0,0,0,0,0,0,0,0
290,-9.27762e-05,0,0,0,0,0,0,0,0,0,388,12,0,0,0,0,0,0,0,0,0
300,8.68637e-05,0,0,0,0,0,0,0,0,0,389,11,0,0,0,0,0,0,0,0,0
310,7.94877e-05,0,0,0,0,0,0,0,0,0,386,14,0,0,0,0,0,0,0,0,0
320,-3.72065e-05,0,0,0,0,0,0,0,0,0,383,17,0,0,0,0,0,0,0,0,0
330,0.000117033,0,0,0,0,0,0,0,0,0,375,25,0,0,0,0,0,0,0,0,0
340,-0.000179703,0,0,0,0,0,0,0,0,0,380,20,0,0,0,0,0,0,0,0,0
350,5.5647e-05,0,0,0,0,0,0,0,0,0,377,23,0,0,0,0,0,0,0,0,0
360,0.000148145,0,0,0,0,0,0,0,0,0,382,18,0,0,0,0,0,0,0,0,0
370,8.27935e-05,0,0,0,0,0,0,0,0,0,381,19,0,0,0,0,0,0,0,0,0
380,4.05553e-05,0,0,0,0,0,0,0,0,0,384,16,0,0,0,0,0,0,0,0,0
390,-0.00011619,0,0,0,0,0,0,0,0,0,385,15,0,0,0,0,0,0,0,0,0
400,-0.000189876,0,0,0,0,0,0,0,0,0,384,16,0,0,0,0,0,0,0,0,0
410,0.000101506,0,0,0,0,0,0,0,0,0,383,17,0,0,0,0,0,0,0,0,0
420,0.000164414,0,0,0,0,0,0,0,0,0,388,12,0,0,0,0,0,0,0,0,0
430,7.41779e-05,0,0,0,0,0,0,0,0,0,382,18,0,0,0,0,0,0,0,0,0
440,-0.000133026,0,0,0,0,0,0,0,0,0,389,11,0,0,0,0,0,0,0,0,0
450,-1.08078e-05,0,0,0,0,0,0,0,0,0,388,12,0,0,0,0,0,0,0,0,0
460,9.97893e-05,0,0,0,0,0,0,0,0,0,386,14,0,0,0,0,0,0,0,0,0
470,-1.42336e-05,0,0,0,0,0,0,0,0,0,385,15,0,0,0,0,0,0,0,0,0
480,0.000104551,0,0,0,0,0,0,0,0,0,381,19,0,0,0,0,0,0,0,0,0
490,-9.12519e-05,0,0,0,0,0,0,0,0,0,389,11,0,0,0,0,0,0,0,0,0
500,3.34694e-05,0,0,0,0,0,0,0,0,0,389,11,0,0,0,0,0,0,0,0,0
510,3.04881e-05,0,0,0,0,0,0,0,0,0,389,11,0,0,0,0,0,0,0,0,0
520,-0.000142211,0,0,0,0,0,0,0,0,0,388,12,0,0,0,0,0,0,0,0,0
530,-3.55802e-05,0,0,0,0,0,0,0,0,0,385,15,0,0,0,0,0,0,0,0,0
540,-3.16482e-05,0,0,0,0,0,0,0,0,0,390,10,0,0,0,0,0,0,0,0,0
550,-0.000197885,0,0,0,0,0,0,0,0,0,387,13,0,0,0,0,0,0,0,0,0
560,0.000251276,0,0,0,0,0,0,0,0,0,375,25,0,0,0,0,0,0,0,0,0
570,-0.000165889,0,0,0,0,0,0,0,0,0,388,12,0,0,0,0,0,0,0,0,0
580,0.000169633,0,0,0,0,0,0,0,0,0,384,16,0,0,0,0,0,0,0,0,0
590,4.89689e-05,0,0,0,0,0,0,0,0,0,386,14,0,0,0,0,0,0,0,0,0
600,2.86792e-05,0,0,0,0,0,0,0,0,0,384,16,0,0,0,0,0,0,0,0,0
610,0.000153653,0,0,0,0,0,0,0,0,0,385,15,0,0,0,0,0,0,0,0,0
620,0.000140936,0,0,0,0,0,0,0,0,0,381,19,0,0,0,0,0,0,0,0,0
630,0.000222585,0,0,0,0,0,0,0,0,0,386,14,0,0,0,0,0,0,0,0,0
640,-9.47231e-05,0,0,0,0,0,0,0,0,0,390,10,0,0,0,0,0,0,0,0,0
650,-0.000124078,0,0,0,0,0,0,0,0,0,391,9,0,0,0,0,0,0,0,0,0
660,-5.58721e-05,0,0,0,0,0,0,0,0,0,385,15,0,0,0,0,0,0,0,0,0
670,3.98644e-05,0,0,0,0,0,0,0,0,0,385,15,0,0,0,0,0,0,0,0,0
