Role,Seed,VTR,mean_IntVal,Hist_-1_-0.9,Hist_-0.9_-0.8,Hist_-0.8_-0.7,Hist_-0.7_-0.6,Hist_-0.6_-0.5,Hist_-0.5_-0.4,Hist_-0.4_-0.3,Hist_-0.3_-0.2,Hist_-0.2_-0.1,Hist_-0.1_0,Hist_0_0.1,Hist_0.1_0.2,Hist_0.2_0.3,Hist_0.3_0.4,Hist_0.4_0.5,Hist_0.5_0.6,Hist_0.6_0.7,Hist_0.7_0.8,Hist_0.8_0.9,Hist_0.9_1
H,50.0,0.9,0.504516,0,0,0,0,0,0,0,0,0,0,2,38,107,32,31,6,55,52,73,4
S,46.0,0.9,0.54899,0,0,0,0,0,0,0,0,0,34,0,0,16,18,82,60,83,64,29,14
S,104.0,1.0,0.732367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,115,69,42,27,128
H,309.0,0.3,-0.0523329,0,0,0,0,0,16,16,55,79,88,65,23,34,22,2,0,0,0,0,0
H,77.0,0.7,0.234854,0,0,0,0,0,0,0,0,0,0,105,140,64,6,11,55,19,0,0,0
S,332.0,0.1,0.00020627,0,0,0,0,0,0,0,0,0,369,31,0,0,0,0,0,0,0,0,0
H,336.0,0.1,-0.133628,0,0,0,0,0,3,14,66,192,89,23,13,0,0,0,0,0,0,0,0
S,103.0,0.4,-0.00119682,0,0,0,0,0,0,0,0,0,312,88,0,0,0,0,0,0,0,0,0
H,44.0,0.9,0.783421,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,13,51,171,128,34
S,110.0,0.0,9.28838e-06,0,0,0,0,0,0,0,0,0,398,2,0,0,0,0,0,0,0,0,0
S,103.0,0.0,2.16122e-05,0,0,0,0,0,0,0,0,0,392,8,0,0,0,0,0,0,0,0,0
H,108.0,1.0,0.620554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,165,70,72,11,22
H,76.0,0.5,0.4552,0,0,0,0,0,0,0,0,0,0,0,0,4,57,251,80,8,0,0,0
S,44.0,0.9,0.349536,0,0,0,0,0,0,0,0,0,30,0,1,125,107,84,35,9,9,0,0
S,107.0,0.6,0.10819,0,0,0,0,0,0,0,0,0,201,44,1,112,42,0,0,0,0,0,0
H,46.0,0.9,0.816022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,37,80,210,57
S,78.0,0.7,0.283065,0,0,0,0,0,0,0,0,0,109,5,0,19,155,99,13,0,0,0,0
H,110.0,0.6,0.294778,0,0,0,0,0,0,0,0,0,1,14,45,136,168,23,9,4,0,0,0
S,337.0,0.1,-0.000127558,0,0,0,0,0,0,0,0,0,387,13,0,0,0,0,0,0,0,0,0
S,114.0,0.0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0
H,326.0,0.1,0.104873,0,0,0,0,0,0,0,6,5,51,174,88,34,42,0,0,0,0,0,0
H,111.0,0.0,0.029258,0,0,0,0,0,0,5,54,27,51,129,79,38,17,0,0,0,0,0,0
S,48.0,0.9,0.320562,0,0,0,0,0,0,0,0,0,44,9,1,123,118,24,68,13,0,0,0
H,78.0,0.7,0.820874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,37,21,93,98,139
S,115.0,0.8,0.411891,0,0,0,0,0,0,0,0,0,85,4,0,0,52,98,103,26,10,11,11
H,107.0,0.0,-0.0471734,0,0,0,0,0,0,2,59,91,111,86,15,25,11,0,0,0,0,0,0
H,45.0,0.9,0.903152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,32,92,259
S,89.0,0.5,0.126844,0,0,0,0,0,0,0,0,0,240,40,0,0,44,59,16,1,0,0,0
H,112.0,0.8,0.518106,0,0,0,0,0,0,0,0,0,0,0,0,23,109,52,93,57,52,14,0
H,86.0,0.7,0.382515,0,0,0,0,0,0,0,0,0,0,12,25,122,78,52,46,57,5,3,0
S,103.0,0.2,4.9136e-05,0,0,0,0,0,0,0,0,0,352,48,0,0,0,0,0,0,0,0,0
S,116.0,0.6,0.184537,0,0,0,0,0,0,0,0,0,207,45,0,3,38,6,81,20,0,0,0
S,36.0,0.9,0.388535,0,0,0,0,0,0,0,0,0,32,0,1,103,81,71,36,76,0,0,0
S,108.0,0.8,0.274363,0,0,0,0,0,0,0,0,0,82,20,0,77,101,95,25,0,0,0,0
S,324.0,0.1,0.000250984,0,0,0,0,0,0,0,0,0,373,27,0,0,0,0,0,0,0,0,0
S,71.0,0.6,0.177149,0,0,0,0,0,0,0,0,0,167,25,2,86,76,32,12,0,0,0,0
S,111.0,0.8,0.427342,0,0,0,0,0,0,0,0,0,82,16,1,15,21,17,101,133,14,0,0
H,85.0,0.5,-0.135798,0,0,0,0,0,26,76,45,64,88,66,35,0,0,0,0,0,0,0,0
H,105.0,0.6,0.265703,0,0,0,0,0,0,0,0,0,0,3,81,198,84,34,0,0,0,0,0
S,320.0,0.3,3.29241e-05,0,0,0,0,0,0,0,0,0,399,1,0,0,0,0,0,0,0,0,0
S,102.0,0.2,-3.90885e-05,0,0,0,0,0,0,0,0,0,394,6,0,0,0,0,0,0,0,0,0
H,82.0,0.5,0.520209,0,0,0,0,0,0,0,0,0,0,0,0,4,103,110,47,71,58,7,0
H,120.0,0.6,0.434376,0,0,0,0,0,0,0,0,0,0,7,23,53,60,103,105,47,2,0,0
H,340.0,0.1,0.0158995,0,0,0,0,0,0,0,8,76,115,113,49,11,23,5,0,0,0,0,0
S,86.0,0.5,0.102891,0,0,0,0,0,0,0,0,0,245,71,0,0,3,49,23,9,0,0,0
H,38.0,0.9,0.512045,0,0,0,0,0,0,0,0,0,0,0,0,36,32,104,125,83,17,3,0
S,77.0,0.5,-0.000423078,0,0,0,0,0,0,0,0,0,362,38,0,0,0,0,0,0,0,0,0
S,81.0,0.5,0.125034,0,0,0,0,0,0,0,0,0,246,54,0,0,0,43,57,0,0,0,0
S,306.0,0.3,-0.000207745,0,0,0,0,0,0,0,0,0,383,17,0,0,0,0,0,0,0,0,0
H,109.0,0.6,0.413797,0,0,0,0,0,0,0,0,0,0,0,0,30,221,54,67,28,0,0,0
H,82.0,0.7,0.448489,0,0,0,0,0,0,0,0,0,0,0,0,2,105,228,37,14,14,0,0
H,119.0,0.2,0.0744645,0,0,0,0,0,11,21,27,12,28,80,123,62,30,6,0,0,0,0,0
H,333.0,0.1,-0.226424,0,0,0,0,0,51,77,114,54,89,15,0,0,0,0,0,0,0,0,0
H,114.0,0.4,0.13172,0,0,0,0,0,0,2,15,5,79,112,63,20,56,47,1,0,0,0,0
H,119.0,1.0,0.807199,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,28,42,79,121,117
H,110.0,0.0,-0.0354031,0,0,0,0,0,0,1,37,93,108,104,43,14,0,0,0,0,0,0,0
H,107.0,0.6,0.206966,0,0,0,0,0,0,0,0,0,5,60,157,80,78,20,0,0,0,0,0
S,106.0,0.2,0.000199266,0,0,0,0,0,0,0,0,0,371,29,0,0,0,0,0,0,0,0,0
S,90.0,0.7,0.272889,0,0,0,0,0,0,0,0,0,117,13,2,38,120,53,17,40,0,0,0
S,114.0,0.6,0.156935,0,0,0,0,0,0,0,0,0,207,37,0,28,17,106,5,0,0,0,0
S,115.0,0.0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0
S,108.0,0.2,0.000915426,0,0,0,0,0,0,0,0,0,353,47,0,0,0,0,0,0,0,0,0
H,112.0,0.6,0.703871,0,0,0,0,0,0,0,0,0,0,1,8,4,2,23,57,45,140,114,6
S,322.0,0.1,3.4536e-05,0,0,0,0,0,0,0,0,0,370,30,0,0,0,0,0,0,0,0,0
H,37.0,0.9,0.452993,0,0,0,0,0,0,0,0,0,0,2,38,33,28,111,147,39,2,0,0
S,41.0,0.9,0.616481,0,0,0,0,0,0,0,0,0,46,7,0,0,0,11,37,93,162,44,0
S,104.0,0.8,0.456522,0,0,0,0,0,0,0,0,0,92,18,0,0,0,8,103,122,53,4,0
S,103.0,1.0,0.356998,0,0,0,0,0,0,0,0,0,0,0,2,105,165,120,8,0,0,0,0
H,117.0,0.0,0.0687303,0,0,0,0,0,0,10,0,10,86,138,100,56,0,0,0,0,0,0,0
H,118.0,0.8,0.869714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,128,83,181
S,326.0,0.1,-0.000291845,0,0,0,0,0,0,0,0,0,380,20,0,0,0,0,0,0,0,0,0
H,72.0,0.7,0.689045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,121,115,44,22
S,90.0,0.5,-0.000867568,0,0,0,0,0,0,0,0,0,328,72,0,0,0,0,0,0,0,0,0
H,324.0,0.1,0.279955,0,0,0,0,0,0,0,0,0,28,68,30,53,84,131,6,0,0,0,0
S,106.0,0.4,-0.000468892,0,0,0,0,0,0,0,0,0,383,17,0,0,0,0,0,0,0,0,0
H,105.0,0.8,0.565988,0,0,0,0,0,0,0,0,0,0,0,7,23,24,78,105,73,61,21,8
H,109.0,0.2,0.320322,0,0,0,0,0,0,0,0,2,18,1,25,95,149,110,0,0,0,0,0
S,334.0,0.1,-0.000142967,0,0,0,0,0,0,0,0,0,390,10,0,0,0,0,0,0,0,0,0
H,118.0,1.0,0.582013,0,0,0,0,0,0,0,0,0,0,37,69,28,14,19,27,3,29,64,110
H,111.0,0.8,0.404559,0,0,0,0,0,0,0,0,0,0,26,105,59,39,73,14,0,0,33,51
H,111.0,0.4,0.113171,0,0,0,0,0,0,0,2,23,82,101,78,44,60,10,0,0,0,0,0
H,116.0,0.4,-0.0161817,0,0,0,0,0,13,47,81,14,49,48,30,74,44,0,0,0,0,0,0
S,102.0,0.8,0.294121,0,0,0,0,0,0,0,0,0,81,16,0,36,109,148,10,0,0,0,0
S,303.0,0.3,0.000110253,0,0,0,0,0,0,0,0,0,337,63,0,0,0,0,0,0,0,0,0
S,113.0,0.6,0.176202,0,0,0,0,0,0,0,0,0,207,50,0,0,31,33,72,7,0,0,0
H,118.0,0.2,0.0342756,0,0,0,0,0,0,0,31,57,65,96,112,11,28,0,0,0,0,0,0
S,109.0,0.6,0.161082,0,0,0,0,0,0,0,0,0,197,34,0,10,105,54,0,0,0,0,0
S,86.0,0.7,0.256158,0,0,0,0,0,0,0,0,0,154,22,4,32,32,70,61,25,0,0,0
H,84.0,0.7,0.439643,0,0,0,0,0,0,0,0,0,3,17,13,37,45,124,121,29,11,0,0
H,302.0,0.3,-0.0470575,0,0,0,0,0,3,14,48,99,106,53,32,37,8,0,0,0,0,0,0
H,103.0,0.8,0.252688,0,0,0,0,0,0,0,0,0,1,47,133,124,48,19,0,0,6,21,1
