update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,-0.0262836,20,24,24,16,22,13,22,22,22,20,27,19,21,16,25,14,13,24,16,20
10,-0.0178745,3,0,3,0,3,5,0,1,0,356,24,0,1,1,1,1,1,0,0,0
20,-1.21571e-05,0,0,0,0,0,0,0,0,0,383,17,0,0,0,0,0,0,0,0,0
30,-4.54777e-05,0,0,0,0,0,0,0,0,0,382,18,0,0,0,0,0,0,0,0,0
40,8.11493e-05,0,0,0,0,0,0,0,0,0,385,15,0,0,0,0,0,0,0,0,0
50,-5.98236e-06,0,0,0,0,0,0,0,0,0,391,9,0,0,0,0,0,0,0,0,0
60,-8.99027e-05,0,0,0,0,0,0,0,0,0,393,7,0,0,0,0,0,0,0,0,0
70,-8.51699e-05,0,0,0,0,0,0,0,0,0,386,14,0,0,0,0,0,0,0,0,0
80,7.66734e-05,0,0,0,0,0,0,0,0,0,390,10,0,0,0,0,0,0,0,0,0
90,8.62142e-05,0,0,0,0,0,0,0,0,0,385,15,0,0,0,0,0,0,0,0,0
100,-9.09172e-05,0,0,0,0,0,0,0,0,0,393,7,0,0,0,0,0,0,0,0,0
110,2.39515e-05,0,0,0,0,0,0,0,0,0,393,7,0,0,0,0,0,0,0,0,0
120,0.00019517,0,0,0,0,0,0,0,0,0,387,13,0,0,0,0,0,0,0,0,0
130,-3.49519e-05,0,0,0,0,0,0,0,0,0,391,9,0,0,0,0,0,0,0,0,0
140,-0.000213108,0,0,0,0,0,0,0,0,0,396,4,0,0,0,0,0,0,0,0,0
150,1.27416e-05,0,0,0,0,0,0,0,0,0,396,4,0,0,0,0,0,0,0,0,0
160,-6.0609e-05,0,0,0,0,0,0,0,0,0,396,4,0,0,0,0,0,0,0,0,0
170,-2.07993e-05,0,0,0,0,0,0,0,0,0,396,4,0,0,0,0,0,0,0,0,0
180,0.000156648,0,0,0,0,0,0,0,0,0,392,8,0,0,0,0,0,0,0,0,0
190,-7.69255e-05,0,0,0,0,0,0,0,0,0,394,6,0,0,0,0,0,0,0,0,0
200,5.87881e-05,0,0,0,0,0,0,0,0,0,391,9,0,0,0,0,0,0,0,0,0
210,7.1633e-06,0,0,0,0,0,0,0,0,0,390,10,0,0,0,0,0,0,0,0,0
220,0.000131096,0,0,0,0,0,0,0,0,0,387,13,0,0,0,0,0,0,0,0,0
230,-8.72747e-05,0,0,0,0,0,0,0,0,0,393,7,0,0,0,0,0,0,0,0,0
240,-2.40415e-06,0,0,0,0,0,0,0,0,0,392,8,0,0,0,0,0,0,0,0,0
250,9.832e-05,0,0,0,0,0,0,0,0,0,391,9,0,0,0,0,0,0,0,0,0
260,0.000126562,0,0,0,0,0,0,0,0,0,392,8,0,0,0,0,0,0,0,0,0
270,-9.22041e-05,0,0,0,0,0,0,0,0,0,391,9,0,0,0,0,0,0,0,0,0
280,-6.73697e-05,0,0,0,0,0,0,0,0,0,391,9,0,0,0,0,0,0,0,0,0
290,0.000228564,0,0,0,0,0,0,0,0,0,386,14,0,0,0,0,0,0,0,0,0
300,6.6137e-05,0,0,0,0,0,0,0,0,0,391,9,0,0,0,0,0,0,0,0,0
310,3.21779e-05,0,0,0,0,0,0,0,0,0,386,14,0,0,0,0,0,0,0,0,0
320,6.70143e-05,0,0,0,0,0,0,0,0,0,391,9,0,0,0,0,0,0,0,0,0
330,7.65181e-05,0,0,0,0,0,0,0,0,0,389,11,0,0,0,0,0,0,0,0,0
340,4.37636e-05,0,0,0,0,0,0,0,0,0,391,9,0,0,0,0,0,0,0,0,0
350,9.34273e-05,0,0,0,0,0,0,0,0,0,388,12,0,0,0,0,0,0,0,0,0
360,-0.000200949,0,0,0,0,0,0,0,0,0,390,10,0,0,0,0,0,0,0,0,0
370,-2.35434e-05,0,0,0,0,0,0,0,0,0,390,10,0,0,0,0,0,0,0,0,0
380,-5.82691e-05,0,0,0,0,0,0,0,0,0,393,7,0,0,0,0,0,0,0,0,0
390,0.000165207,0,0,0,0,0,0,0,0,0,391,9,0,0,0,0,0,0,0,0,0
400,-2.00762e-05,0,0,0,0,0,0,0,0,0,396,4,0,0,0,0,0,0,0,0,0
410,-0.000310822,0,0,0,0,0,0,0,0,0,397,3,0,0,0,0,0,0,0,0,0
420,-0.000190555,0,0,0,0,0,0,0,0,0,390,10,0,0,0,0,0,0,0,0,0
430,3.08598e-05,0,0,0,0,0,0,0,0,0,391,9,0,0,0,0,0,0,0,0,0
440,0.000268522,0,0,0,0,0,0,0,0,0,383,17,0,0,0,0,0,0,0,0,0
450,9.45237e-05,0,0,0,0,0,0,0,0,0,386,14,0,0,0,0,0,0,0,0,0
460,4.12181e-05,0,0,0,0,0,0,0,0,0,386,14,0,0,0,0,0,0,0,0,0
470,-8.73835e-05,0,0,0,0,0,0,0,0,0,390,10,0,0,0,0,0,0,0,0,0
480,0.000287756,0,0,0,0,0,0,0,0,0,379,21,0,0,0,0,0,0,0,0,0
490,6.91893e-05,0,0,0,0,0,0,0,0,0,390,10,0,0,0,0,0,0,0,0,0
500,-0.000150693,0,0,0,0,0,0,0,0,0,390,10,0,0,0,0,0,0,0,0,0
510,2.76807e-05,0,0,0,0,0,0,0,0,0,385,15,0,0,0,0,0,0,0,0,0
520,0.00010159,0,0,0,0,0,0,0,0,0,385,15,0,0,0,0,0,0,0,0,0
530,-8.64563e-05,0,0,0,0,0,0,0,0,0,385,15,0,0,0,0,0,0,0,0,0
540,-0.000138421,0,0,0,0,0,0,0,0,0,390,10,0,0,0,0,0,0,0,0,0
550,-0.000102533,0,0,0,0,0,0,0,0,0,390,10,0,0,0,0,0,0,0,0,0
