update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.00905014,22,18,21,17,17,23,18,19,21,18,27,16,19,22,20,13,26,25,21,17
10,0.13902,0,2,5,1,4,18,23,20,24,39,55,6,53,43,68,10,5,19,0,5
20,0.150908,0,0,0,0,1,11,30,23,20,34,52,16,36,88,72,15,2,0,0,0
30,0.102867,0,0,0,0,1,11,45,33,23,27,52,32,34,48,78,16,0,0,0,0
40,0.0948428,0,0,0,0,1,5,47,41,30,36,32,23,43,60,72,10,0,0,0,0
50,0.108641,0,0,0,0,0,10,47,35,25,33,28,17,49,81,67,8,0,0,0,0
60,0.137629,0,0,0,0,0,17,32,21,19,43,39,19,33,103,70,4,0,0,0,0
70,0.150988,0,0,0,0,0,8,23,30,28,28,49,25,27,92,90,0,0,0,0,0
80,0.183458,0,0,0,0,0,4,11,34,35,29,32,19,28,96,112,0,0,0,0,0
90,0.188501,0,0,0,0,0,2,12,41,32,19,41,20,21,91,121,0,0,0,0,0
100,0.140743,0,0,0,0,0,0,15,53,42,12,68,12,27,75,96,0,0,0,0,0
110,0.112037,0,0,0,0,0,0,30,46,41,13,73,10,35,90,57,5,0,0,0,0
120,0.0883235,0,0,0,0,0,2,38,52,46,13,60,21,24,81,63,0,0,0,0,0
130,0.123088,0,0,0,0,0,0,38,40,24,18,44,50,40,82,64,0,0,0,0,0
140,0.104752,0,0,0,0,0,3,35,42,36,19,43,41,54,74,51,2,0,0,0,0
150,0.113203,0,0,0,0,0,3,36,36,26,26,33,56,52,106,23,3,0,0,0,0
160,0.144087,0,0,0,0,0,2,25,46,6,30,36,52,48,121,28,6,0,0,0,0
170,0.162409,0,0,0,0,0,0,24,36,13,24,31,40,68,120,44,0,0,0,0,0
180,0.159556,0,0,0,0,0,0,24,22,19,29,47,51,55,105,47,1,0,0,0,0
190,0.197323,0,0,0,0,0,0,9,27,9,28,53,22,66,135,51,0,0,0,0,0
200,0.185146,0,0,0,0,0,0,14,39,3,16,51,37,64,125,48,3,0,0,0,0
