Role,Seed,VTR,mean_IntVal,Hist_-1_-0.9,Hist_-0.9_-0.8,Hist_-0.8_-0.7,Hist_-0.7_-0.6,Hist_-0.6_-0.5,Hist_-0.5_-0.4,Hist_-0.4_-0.3,Hist_-0.3_-0.2,Hist_-0.2_-0.1,Hist_-0.1_0,Hist_0_0.1,Hist_0.1_0.2,Hist_0.2_0.3,Hist_0.3_0.4,Hist_0.4_0.5,Hist_0.5_0.6,Hist_0.6_0.7,Hist_0.7_0.8,Hist_0.8_0.9,Hist_0.9_1
S,20.0,0.05,1.13054e-05,0,0,0,0,0,0,0,0,0,398,2,0,0,0,0,0,0,0,0,0
H,20.0,0.06,0.160746,0,0,0,0,0,0,0,0,11,79,51,53,130,76,0,0,0,0,0,0
S,17.0,0.17,-0.00019907,0,0,0,0,0,0,0,0,0,387,13,0,0,0,0,0,0,0,0,0
S,6.0,0.2,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0
S,6.0,0.16,-0.00014119,0,0,0,0,0,0,0,0,0,372,28,0,0,0,0,0,0,0,0,0
S,12.0,0.05,0.000180583,0,0,0,0,0,0,0,0,0,378,22,0,0,0,0,0,0,0,0,0
H,3.0,0.09,0.00430856,0,0,0,0,0,0,1,25,100,108,75,40,18,20,13,0,0,0,0,0
S,20.0,0.19,0.000297055,0,0,0,0,0,0,0,0,0,349,51,0,0,0,0,0,0,0,0,0
H,11.0,0.02,0.165993,0,0,0,0,0,0,0,1,39,100,26,1,86,121,24,2,0,0,0,0
H,5.0,0.04,0.236175,0,0,0,0,0,0,0,0,0,25,33,85,123,105,29,0,0,0,0,0
H,2.0,0.07,-0.21349,0,0,0,0,0,0,94,143,114,23,25,1,0,0,0,0,0,0,0,0
H,12.0,0.16,-0.0442155,0,0,0,0,0,0,0,44,87,152,67,29,18,3,0,0,0,0,0,0
H,5.0,0.14,-0.204205,0,0,0,0,4,102,69,42,95,18,20,12,7,29,2,0,0,0,0,0
S,3.0,0.11,1.82918e-05,0,0,0,0,0,0,0,0,0,396,4,0,0,0,0,0,0,0,0,0
S,16.0,0.18,3.87335e-05,0,0,0,0,0,0,0,0,0,353,47,0,0,0,0,0,0,0,0,0
S,5.0,0.03,-0.000148549,0,0,0,0,0,0,0,0,0,381,19,0,0,0,0,0,0,0,0,0
S,10.0,0.07,0.00013903,0,0,0,0,0,0,0,0,0,378,22,0,0,0,0,0,0,0,0,0
H,3.0,0.12,-0.173719,0,0,0,0,0,26,58,109,100,31,51,24,1,0,0,0,0,0,0,0
H,11.0,0.01,0.0988838,0,0,0,0,0,0,0,6,62,153,287,279,130,80,3,0,0,0,0,0
S,20.0,0.13,-0.000373023,0,0,0,0,0,0,0,0,0,372,28,0,0,0,0,0,0,0,0,0
H,3.0,0.05,-0.109026,0,0,0,0,0,46,20,4,108,135,57,27,3,0,0,0,0,0,0,0
S,3.0,0.02,-1.3601e-05,0,0,0,0,0,0,0,0,0,394,6,0,0,0,0,0,0,0,0,0
H,10.0,0.16,-0.176768,0,0,0,0,0,14,61,67,159,81,18,0,0,0,0,0,0,0,0,0
S,19.0,0.13,0.000125371,0,0,0,0,0,0,0,0,0,385,15,0,0,0,0,0,0,0,0,0
