VTR,Evolution_Time,Hist_-1_-0.9,Hist_-0.9_-0.8,Hist_-0.8_-0.7,Hist_-0.7_-0.6,Hist_-0.6_-0.5,Hist_-0.5_-0.4,Hist_-0.4_-0.3,Hist_-0.3_-0.2,Hist_-0.2_-0.1,Hist_-0.1_0,Hist_0_0.1,Hist_0.1_0.2,Hist_0.2_0.3,Hist_0.3_0.4,Hist_0.4_0.5,Hist_0.5_0.6,Hist_0.6_0.7,Hist_0.7_0.8,Hist_0.8_0.9,Hist_0.9_1,Total_Count
0.09,0,20.25,19.55,19.50,20.50,20.00,18.95,22.35,18.75,20.55,20.05,20.45,20.20,19.60,20.75,18.45,20.10,19.40,20.05,18.90,21.65,399.99999999999994
0.09,10,1.40,1.85,1.95,1.35,1.90,1.90,1.75,1.45,1.40,343.20,27.05,1.30,2.25,2.20,1.40,1.80,1.95,1.75,1.15,1.00,399.99999999999994
0.09,20,.20,.55,.05,.15,.10,0.0,.10,.05,.15,371.60,26.20,0.0,.05,.25,.10,.20,.10,.10,.05,0.0,400.0000000000001
0.09,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.75,23.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.50,26.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.40,24.60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.20,25.80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.80,24.20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.05,22.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.45,25.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.15,24.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.70,26.30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.55,27.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.05,25.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.85,25.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.85,22.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.30,25.70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.80,23.20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.50,24.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.15,22.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.00,23.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.70,24.30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.95,25.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.35,23.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.85,21.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.50,20.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.10,23.90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.95,22.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.40,22.60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.90,20.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.95,21.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.30,20.70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.75,21.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.60,21.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.15,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.55,21.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.65,20.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.35,20.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.40,20.60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.95,18.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.20,19.80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.40,16.60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.15,19.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.40,19.60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.70,20.30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.85,20.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.09,460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.55,18.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
