update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0
10,-0.000107075,0,0,0,0,0,0,0,0,0,366,34,0,0,0,0,0,0,0,0,0
20,-8.09577e-06,0,0,0,0,0,0,0,0,0,362,38,0,0,0,0,0,0,0,0,0
30,-0.000115239,0,0,0,0,0,0,0,0,0,383,17,0,0,0,0,0,0,0,0,0
40,1.72711e-05,0,0,0,0,0,0,0,0,0,370,30,0,0,0,0,0,0,0,0,0
50,0.000204861,0,0,0,0,0,0,0,0,0,372,28,0,0,0,0,0,0,0,0,0
60,-0.000116625,0,0,0,0,0,0,0,0,0,364,36,0,0,0,0,0,0,0,0,0
70,-0.000144815,0,0,0,0,0,0,0,0,0,366,34,0,0,0,0,0,0,0,0,0
80,-0.000233545,0,0,0,0,0,0,0,0,0,375,25,0,0,0,0,0,0,0,0,0
90,-0.000315444,0,0,0,0,0,0,0,0,0,378,22,0,0,0,0,0,0,0,0,0
100,9.46489e-05,0,0,0,0,0,0,0,0,0,376,24,0,0,0,0,0,0,0,0,0
110,-9.97242e-05,0,0,0,0,0,0,0,0,0,370,30,0,0,0,0,0,0,0,0,0
120,3.06449e-05,0,0,0,0,0,0,0,0,0,367,33,0,0,0,0,0,0,0,0,0
130,-4.65247e-05,0,0,0,0,0,0,0,0,0,377,23,0,0,0,0,0,0,0,0,0
140,0.000255272,0,0,0,0,0,0,0,0,0,380,20,0,0,0,0,0,0,0,0,0
150,-0.000355232,0,0,0,0,0,0,0,0,0,381,19,0,0,0,0,0,0,0,0,0
160,0.000279154,0,0,0,0,0,0,0,0,0,368,32,0,0,0,0,0,0,0,0,0
170,0.000227736,0,0,0,0,0,0,0,0,0,369,31,0,0,0,0,0,0,0,0,0
180,0.000247369,0,0,0,0,0,0,0,0,0,371,29,0,0,0,0,0,0,0,0,0
190,7.50052e-05,0,0,0,0,0,0,0,0,0,381,19,0,0,0,0,0,0,0,0,0
200,0.000301555,0,0,0,0,0,0,0,0,0,373,27,0,0,0,0,0,0,0,0,0
210,7.07148e-05,0,0,0,0,0,0,0,0,0,379,21,0,0,0,0,0,0,0,0,0
220,0.000155982,0,0,0,0,0,0,0,0,0,374,26,0,0,0,0,0,0,0,0,0
230,-0.000274531,0,0,0,0,0,0,0,0,0,386,14,0,0,0,0,0,0,0,0,0
240,0.00021713,0,0,0,0,0,0,0,0,0,385,15,0,0,0,0,0,0,0,0,0
250,-8.14338e-05,0,0,0,0,0,0,0,0,0,386,14,0,0,0,0,0,0,0,0,0
260,0.000156714,0,0,0,0,0,0,0,0,0,383,17,0,0,0,0,0,0,0,0,0
270,0.000151104,0,0,0,0,0,0,0,0,0,385,15,0,0,0,0,0,0,0,0,0
280,1.18649e-05,0,0,0,0,0,0,0,0,0,385,15,0,0,0,0,0,0,0,0,0
290,0.000100155,0,0,0,0,0,0,0,0,0,384,16,0,0,0,0,0,0,0,0,0
300,2.64841e-05,0,0,0,0,0,0,0,0,0,384,16,0,0,0,0,0,0,0,0,0
310,-5.3969e-05,0,0,0,0,0,0,0,0,0,388,12,0,0,0,0,0,0,0,0,0
320,5.80727e-05,0,0,0,0,0,0,0,0,0,381,19,0,0,0,0,0,0,0,0,0
330,0.000350772,0,0,0,0,0,0,0,0,0,373,27,0,0,0,0,0,0,0,0,0
340,1.77187e-05,0,0,0,0,0,0,0,0,0,381,19,0,0,0,0,0,0,0,0,0
350,0.000104721,0,0,0,0,0,0,0,0,0,378,22,0,0,0,0,0,0,0,0,0
360,0.000361819,0,0,0,0,0,0,0,0,0,376,24,0,0,0,0,0,0,0,0,0
370,0.000147294,0,0,0,0,0,0,0,0,0,378,22,0,0,0,0,0,0,0,0,0
380,0.000156602,0,0,0,0,0,0,0,0,0,376,24,0,0,0,0,0,0,0,0,0
390,-0.000175533,0,0,0,0,0,0,0,0,0,381,19,0,0,0,0,0,0,0,0,0
400,-0.000124634,0,0,0,0,0,0,0,0,0,380,20,0,0,0,0,0,0,0,0,0
410,6.34398e-05,0,0,0,0,0,0,0,0,0,388,12,0,0,0,0,0,0,0,0,0
420,0.000157485,0,0,0,0,0,0,0,0,0,378,22,0,0,0,0,0,0,0,0,0
430,6.2744e-05,0,0,0,0,0,0,0,0,0,372,28,0,0,0,0,0,0,0,0,0
440,-0.00024528,0,0,0,0,0,0,0,0,0,374,26,0,0,0,0,0,0,0,0,0
450,0.000156704,0,0,0,0,0,0,0,0,0,369,31,0,0,0,0,0,0,0,0,0
460,-0.000244756,0,0,0,0,0,0,0,0,0,380,20,0,0,0,0,0,0,0,0,0
470,0.000258471,0,0,0,0,0,0,0,0,0,373,27,0,0,0,0,0,0,0,0,0
480,2.13675e-05,0,0,0,0,0,0,0,0,0,385,15,0,0,0,0,0,0,0,0,0
