update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0
10,-0.00051638,0,0,0,0,0,0,0,0,0,204,196,0,0,0,0,0,0,0,0,0
20,-1.38752e-05,0,0,0,0,0,0,0,0,0,192,208,0,0,0,0,0,0,0,0,0
30,0.00803752,0,0,0,0,0,0,0,0,4,171,221,4,0,0,0,0,0,0,0,0
40,0.013273,0,0,0,0,0,0,0,0,2,170,222,6,0,0,0,0,0,0,0,0
50,0.00720092,0,0,0,0,0,0,0,0,5,176,199,20,0,0,0,0,0,0,0,0
60,0.0142082,0,0,0,0,0,0,0,0,9,154,198,39,0,0,0,0,0,0,0,0
70,0.0165619,0,0,0,0,0,0,0,0,11,161,190,36,2,0,0,0,0,0,0,0
80,0.00603021,0,0,0,0,0,0,0,3,33,130,192,42,0,0,0,0,0,0,0,0
90,-0.00141445,0,0,0,0,0,0,0,5,39,147,176,29,4,0,0,0,0,0,0,0
100,0.0183068,0,0,0,0,0,0,0,4,20,128,206,26,16,0,0,0,0,0,0,0
110,0.0100331,0,0,0,0,0,0,0,1,22,153,196,20,8,0,0,0,0,0,0,0
120,0.0154337,0,0,0,0,0,0,0,0,29,156,164,38,13,0,0,0,0,0,0,0
130,0.0157334,0,0,0,0,0,0,0,0,42,124,168,56,10,0,0,0,0,0,0,0
140,0.00798517,0,0,0,0,0,0,0,0,69,106,157,52,16,0,0,0,0,0,0,0
150,0.000892206,0,0,0,0,0,0,0,1,70,123,142,59,5,0,0,0,0,0,0,0
160,0.0122119,0,0,0,0,0,0,0,7,72,105,123,83,10,0,0,0,0,0,0,0
170,0.00816794,0,0,0,0,0,0,0,2,63,130,131,72,2,0,0,0,0,0,0,0
180,0.0252832,0,0,0,0,0,0,0,1,42,107,165,84,1,0,0,0,0,0,0,0
190,0.0147365,0,0,0,0,0,0,0,0,37,149,127,79,8,0,0,0,0,0,0,0
200,0.0044734,0,0,0,0,0,0,0,0,53,152,132,61,2,0,0,0,0,0,0,0
210,0.0129852,0,0,0,0,0,0,0,4,36,159,120,63,18,0,0,0,0,0,0,0
220,0.0179929,0,0,0,0,0,0,0,3,34,148,131,71,13,0,0,0,0,0,0,0
230,0.0277255,0,0,0,0,0,0,0,2,33,111,163,74,17,0,0,0,0,0,0,0
240,0.0182446,0,0,0,0,0,0,0,1,38,131,148,74,8,0,0,0,0,0,0,0
250,0.0137656,0,0,0,0,0,0,0,2,42,130,167,52,7,0,0,0,0,0,0,0
260,0.0154724,0,0,0,0,0,0,0,5,38,141,147,48,21,0,0,0,0,0,0,0
270,0.0260212,0,0,0,0,0,0,0,15,27,121,154,52,27,4,0,0,0,0,0,0
280,0.0253023,0,0,0,0,0,0,0,9,47,110,140,48,43,3,0,0,0,0,0,0
290,0.0184288,0,0,0,0,0,0,0,18,48,102,143,51,31,7,0,0,0,0,0,0
300,0.035935,0,0,0,0,0,0,0,10,40,101,145,60,37,7,0,0,0,0,0,0
310,0.056548,0,0,0,0,0,0,1,2,29,77,177,61,48,5,0,0,0,0,0,0
320,0.0400481,0,0,0,0,0,0,6,9,47,60,165,71,38,4,0,0,0,0,0,0
330,0.0284316,0,0,0,0,0,0,5,22,29,93,131,81,36,3,0,0,0,0,0,0
340,0.000480032,0,0,0,0,0,0,13,32,37,86,142,66,23,1,0,0,0,0,0,0
350,-0.00750298,0,0,0,0,0,0,7,45,41,92,132,54,27,2,0,0,0,0,0,0
360,0.016261,0,0,0,0,0,0,4,26,31,120,122,62,35,0,0,0,0,0,0,0
370,0.00745911,0,0,0,0,0,0,3,1,39,163,127,42,25,0,0,0,0,0,0,0
380,0.010432,0,0,0,0,0,0,1,3,36,142,147,53,18,0,0,0,0,0,0,0
390,0.00539808,0,0,0,0,0,0,0,4,60,131,143,34,28,0,0,0,0,0,0,0
400,0.00456807,0,0,0,0,0,0,0,7,51,147,133,40,19,3,0,0,0,0,0,0
410,0.0132729,0,0,0,0,0,0,0,7,48,146,118,44,37,0,0,0,0,0,0,0
420,0.015674,0,0,0,0,0,0,0,4,61,108,143,54,29,1,0,0,0,0,0,0
430,0.0199679,0,0,0,0,0,0,0,1,42,138,145,46,28,0,0,0,0,0,0,0
440,0.0132347,0,0,0,0,0,0,0,3,37,146,170,24,19,1,0,0,0,0,0,0
450,0.0277358,0,0,0,0,0,0,0,2,55,85,193,30,30,5,0,0,0,0,0,0
460,0.0332098,0,0,0,0,0,0,0,1,58,89,171,37,35,9,0,0,0,0,0,0
470,0.031431,0,0,0,0,0,0,0,3,65,94,150,43,41,4,0,0,0,0,0,0
480,0.021436,0,0,0,0,0,0,0,2,59,114,142,46,32,5,0,0,0,0,0,0
490,0.013493,0,0,0,0,0,0,0,2,69,113,128,68,19,1,0,0,0,0,0,0
500,0.0207639,0,0,0,0,0,0,0,4,49,125,118,81,23,0,0,0,0,0,0,0
