update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,-0.0382075,25,23,24,18,23,20,15,21,23,16,18,17,22,23,24,19,14,19,16,20
10,-0.136784,0,3,16,5,18,27,40,68,73,34,28,20,30,17,10,3,3,2,2,1
20,-0.0625374,0,0,0,1,8,21,46,68,63,46,22,30,50,37,8,0,0,0,0,0
30,-0.0416232,0,0,0,0,7,27,51,58,41,38,31,38,68,38,3,0,0,0,0,0
40,-0.0060396,0,0,0,0,0,26,43,58,37,50,20,35,67,53,11,0,0,0,0,0
50,-0.0296361,0,0,0,0,1,40,47,49,53,55,6,29,31,73,16,0,0,0,0,0
60,-0.0445771,0,0,0,0,3,36,44,45,78,48,13,26,23,73,11,0,0,0,0,0
70,-0.0384745,0,0,0,0,2,43,53,38,64,41,13,24,33,77,12,0,0,0,0,0
80,-0.0403319,0,0,0,0,1,26,53,34,90,51,17,20,42,47,18,1,0,0,0,0
90,-0.0373286,0,0,0,0,1,12,51,27,113,69,21,10,29,44,21,2,0,0,0,0
100,-0.0397684,0,0,0,0,0,24,51,22,102,82,16,9,16,48,23,7,0,0,0,0
110,-0.0438976,0,0,0,0,0,24,64,35,103,42,10,25,7,53,35,2,0,0,0,0
120,-0.00994957,0,0,0,0,3,22,39,37,97,44,21,19,11,81,25,1,0,0,0,0
130,-0.0242369,0,0,0,0,3,25,27,25,123,49,36,17,6,62,26,1,0,0,0,0
140,-0.00463045,0,0,0,0,2,20,19,22,136,38,33,35,6,64,19,6,0,0,0,0
150,0.0209016,0,0,0,0,0,3,20,20,119,64,22,57,11,66,14,4,0,0,0,0
160,0.0697461,0,0,0,0,0,0,6,34,94,47,29,60,29,93,6,2,0,0,0,0
170,0.0400158,0,0,0,0,0,0,9,56,81,44,39,59,28,82,1,1,0,0,0,0
180,0.0282522,0,0,0,0,0,0,14,69,86,43,19,45,35,84,5,0,0,0,0,0
190,0.0524773,0,0,0,0,0,1,24,64,67,36,18,40,34,103,13,0,0,0,0,0
200,0.073276,0,0,0,0,0,1,17,66,68,24,18,39,41,101,25,0,0,0,0,0
210,0.0683798,0,0,0,0,0,0,6,76,82,31,13,26,51,81,34,0,0,0,0,0
220,0.0733395,0,0,0,0,0,0,5,52,99,36,21,23,51,70,43,0,0,0,0,0
230,0.0559145,0,0,0,0,0,0,11,32,111,50,36,29,35,55,39,2,0,0,0,0
240,0.108389,0,0,0,0,0,0,3,39,75,44,36,37,41,58,64,3,0,0,0,0
250,0.10369,0,0,0,0,0,0,1,35,80,24,40,50,78,64,28,0,0,0,0,0
260,0.126666,0,0,0,0,0,0,4,17,101,13,24,43,77,89,32,0,0,0,0,0
