update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.0148562,18,26,19,11,17,21,20,20,20,18,27,22,19,19,22,18,23,23,16,21
10,-0.0871923,2,4,2,3,17,41,36,60,32,44,45,49,25,7,16,6,5,2,2,2
20,-0.0656794,0,0,0,0,6,29,49,67,39,50,55,41,21,15,22,5,1,0,0,0
30,-0.0767041,0,0,0,0,6,47,35,81,24,38,50,51,31,7,30,0,0,0,0,0
40,-0.0243196,0,0,0,0,7,29,12,82,42,45,58,47,19,13,46,0,0,0,0,0
50,-0.00616333,0,0,0,0,2,10,17,81,42,80,44,51,14,18,37,4,0,0,0,0
60,-0.0131748,0,0,0,0,0,11,23,88,45,60,38,56,29,23,25,2,0,0,0,0
70,-0.0334514,0,0,0,0,0,20,32,95,35,52,38,63,14,11,33,7,0,0,0,0
80,-0.0307373,0,0,0,0,0,25,34,75,42,50,33,69,21,22,27,2,0,0,0,0
90,-0.00869662,0,0,0,0,0,16,36,79,32,39,46,60,31,29,30,2,0,0,0,0
100,0.0413608,0,0,0,0,0,6,42,43,40,50,37,57,30,61,34,0,0,0,0,0
110,0.045402,0,0,0,0,0,12,21,69,24,66,34,51,27,46,50,0,0,0,0,0
120,0.0461535,0,0,0,0,0,16,45,46,41,44,29,41,17,44,76,1,0,0,0,0
130,0.032957,0,0,0,0,0,29,29,63,39,48,24,30,17,49,70,2,0,0,0,0
140,0.0659326,0,0,0,0,0,14,34,53,61,40,5,27,14,67,83,2,0,0,0,0
150,0.0760898,0,0,0,0,0,11,28,53,68,36,13,25,8,72,86,0,0,0,0,0
160,0.0550652,0,0,0,0,0,16,47,53,64,29,4,23,7,71,85,1,0,0,0,0
170,0.0257203,0,0,0,0,0,16,61,62,45,42,4,22,14,45,87,2,0,0,0,0
180,0.0236284,0,0,0,0,0,20,75,50,65,20,1,8,11,42,104,4,0,0,0,0
190,0.0515889,0,0,0,0,0,7,57,58,69,27,2,6,11,70,86,7,0,0,0,0
200,0.0433891,0,0,0,0,0,6,49,48,92,35,6,4,5,82,66,7,0,0,0,0
210,0.0565137,0,0,0,0,0,5,29,43,105,48,3,9,12,70,70,6,0,0,0,0
220,-0.0103644,0,0,0,0,0,7,60,33,138,38,3,1,10,42,62,6,0,0,0,0
230,-0.0397903,0,0,0,0,0,12,50,31,160,47,6,0,4,19,63,8,0,0,0,0
240,-0.0296865,0,0,0,0,0,15,66,28,120,54,7,0,3,29,77,1,0,0,0,0
250,-0.155804,0,0,0,0,1,38,70,47,157,38,8,0,0,11,29,1,0,0,0,0
260,-0.151969,0,0,0,0,0,10,78,84,149,31,14,0,0,8,23,3,0,0,0,0
270,-0.159545,0,0,0,0,0,6,51,107,142,57,19,0,0,5,13,0,0,0,0,0
280,-0.138341,0,0,0,0,0,0,64,81,138,74,17,1,0,8,17,0,0,0,0,0
290,-0.153194,0,0,0,0,0,8,72,82,147,54,11,0,0,13,12,1,0,0,0,0
300,-0.151207,0,0,0,0,0,12,88,69,131,52,11,2,1,29,3,2,0,0,0,0
310,-0.169029,0,0,0,0,0,14,65,102,129,54,13,0,0,23,0,0,0,0,0,0
320,-0.145912,0,0,0,0,0,9,30,96,152,75,20,0,0,18,0,0,0,0,0,0
330,-0.160117,0,0,0,0,0,6,53,97,156,55,12,0,0,21,0,0,0,0,0,0
340,-0.172131,0,0,0,0,0,29,77,79,115,56,12,0,3,25,4,0,0,0,0,0
350,-0.175368,0,0,0,0,1,33,39,99,144,50,13,0,0,17,4,0,0,0,0,0
360,-0.178822,0,0,0,0,2,36,52,101,117,58,12,0,1,17,4,0,0,0,0,0
370,-0.183644,0,0,0,0,2,41,40,117,95,53,42,0,0,9,1,0,0,0,0,0
380,-0.193027,0,0,0,0,0,66,42,90,90,65,34,0,4,9,0,0,0,0,0,0
390,-0.185127,0,0,0,0,0,44,48,87,113,64,41,0,1,2,0,0,0,0,0,0
400,-0.183454,0,0,0,0,1,15,90,86,109,42,48,7,1,1,0,0,0,0,0,0
410,-0.18364,0,0,0,0,0,20,83,79,121,49,39,8,0,1,0,0,0,0,0,0
420,-0.201869,0,0,0,0,3,37,69,88,127,37,29,10,0,0,0,0,0,0,0,0
430,-0.209731,0,0,0,0,2,26,65,106,150,38,8,5,0,0,0,0,0,0,0,0
440,-0.203901,0,0,0,0,0,10,56,141,141,35,17,0,0,0,0,0,0,0,0,0
450,-0.198314,0,0,0,0,0,4,69,143,120,36,27,1,0,0,0,0,0,0,0,0
460,-0.196688,0,0,0,0,0,18,59,128,113,46,33,3,0,0,0,0,0,0,0,0
470,-0.207498,0,0,0,0,1,17,71,120,124,51,12,4,0,0,0,0,0,0,0,0
480,-0.229163,0,0,0,0,0,18,69,156,129,24,3,1,0,0,0,0,0,0,0,0
490,-0.233364,0,0,0,0,1,8,86,163,123,18,1,0,0,0,0,0,0,0,0,0
500,-0.23901,0,0,0,0,0,16,94,142,120,28,0,0,0,0,0,0,0,0,0,0
510,-0.243977,0,0,0,0,0,23,105,143,95,34,0,0,0,0,0,0,0,0,0,0
520,-0.252608,0,0,0,0,0,33,104,143,94,17,9,0,0,0,0,0,0,0,0,0
530,-0.269072,0,0,0,0,0,44,146,91,101,11,7,0,0,0,0,0,0,0,0,0
540,-0.288119,0,0,0,0,0,51,153,108,82,5,1,0,0,0,0,0,0,0,0,0
550,-0.287733,0,0,0,0,0,58,136,117,81,8,0,0,0,0,0,0,0,0,0,0
560,-0.31118,0,0,0,0,1,84,142,110,59,4,0,0,0,0,0,0,0,0,0,0
570,-0.31416,0,0,0,0,6,88,132,131,36,6,1,0,0,0,0,0,0,0,0,0
580,-0.324325,0,0,0,0,1,105,125,133,32,0,4,0,0,0,0,0,0,0,0,0
590,-0.325943,0,0,0,0,4,99,138,129,21,0,9,0,0,0,0,0,0,0,0,0
600,-0.32168,0,0,0,0,12,95,131,116,29,1,16,0,0,0,0,0,0,0,0,0
610,-0.330343,0,0,0,0,4,117,140,99,24,4,12,0,0,0,0,0,0,0,0,0
620,-0.323529,0,0,0,0,5,104,147,95,35,0,13,1,0,0,0,0,0,0,0,0
630,-0.309403,0,0,0,0,2,66,171,114,33,1,10,3,0,0,0,0,0,0,0,0
640,-0.325944,0,0,0,0,1,97,171,89,33,0,5,4,0,0,0,0,0,0,0,0
650,-0.326293,0,0,0,0,1,101,160,89,37,0,12,0,0,0,0,0,0,0,0,0
660,-0.330488,0,0,0,0,1,104,171,80,37,1,6,0,0,0,0,0,0,0,0,0
670,-0.323565,0,0,0,0,5,113,145,70,48,5,14,0,0,0,0,0,0,0,0,0
680,-0.349101,0,0,0,0,7,139,152,63,27,4,7,1,0,0,0,0,0,0,0,0
690,-0.334827,0,0,0,0,4,115,178,55,23,19,6,0,0,0,0,0,0,0,0,0
700,-0.305673,0,0,0,0,6,95,174,46,32,28,19,0,0,0,0,0,0,0,0,0
710,-0.30532,0,0,0,0,2,91,180,60,21,22,24,0,0,0,0,0,0,0,0,0
720,-0.306938,0,0,0,0,3,93,158,78,31,9,28,0,0,0,0,0,0,0,0,0
730,-0.303794,0,0,0,0,3,105,130,95,30,4,30,3,0,0,0,0,0,0,0,0
740,-0.286466,0,0,0,0,1,84,109,137,35,4,28,2,0,0,0,0,0,0,0,0
750,-0.275804,0,0,0,0,1,68,122,140,24,12,24,9,0,0,0,0,0,0,0,0
