update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,-0.492763,41,38,41,35,38,39,46,40,42,40,0,0,0,0,0,0,0,0,0,0
10,-0.111643,6,3,3,14,16,14,10,14,14,266,40,0,0,0,0,0,0,0,0,0
20,-0.0447448,0,0,2,0,20,7,3,4,1,294,69,0,0,0,0,0,0,0,0,0
30,-0.0039762,0,0,0,0,3,0,0,0,0,324,73,0,0,0,0,0,0,0,0,0
40,0.000770601,0,0,0,0,0,0,0,0,0,328,72,0,0,0,0,0,0,0,0,0
50,0.000122723,0,0,0,0,0,0,0,0,0,342,58,0,0,0,0,0,0,0,0,0
60,-0.00114375,0,0,0,0,0,0,0,0,0,325,75,0,0,0,0,0,0,0,0,0
70,-0.000392877,0,0,0,0,0,0,0,0,0,325,75,0,0,0,0,0,0,0,0,0
80,1.56037e-05,0,0,0,0,0,0,0,0,0,322,78,0,0,0,0,0,0,0,0,0
90,-0.000322178,0,0,0,0,0,0,0,0,0,340,60,0,0,0,0,0,0,0,0,0
100,0.000546226,0,0,0,0,0,0,0,0,0,324,76,0,0,0,0,0,0,0,0,0
110,-0.000823455,0,0,0,0,0,0,0,0,0,342,58,0,0,0,0,0,0,0,0,0
120,-0.00105911,0,0,0,0,0,0,0,0,0,335,65,0,0,0,0,0,0,0,0,0
130,0.000969604,0,0,0,0,0,0,0,0,0,323,77,0,0,0,0,0,0,0,0,0
140,0.000777552,0,0,0,0,0,0,0,0,0,321,79,0,0,0,0,0,0,0,0,0
150,0.000996308,0,0,0,0,0,0,0,0,0,327,73,0,0,0,0,0,0,0,0,0
160,0.000423792,0,0,0,0,0,0,0,0,0,346,54,0,0,0,0,0,0,0,0,0
170,-0.00154384,0,0,0,0,0,0,0,0,0,368,32,0,0,0,0,0,0,0,0,0
180,-6.78648e-05,0,0,0,0,0,0,0,0,0,356,44,0,0,0,0,0,0,0,0,0
190,-0.000947408,0,0,0,0,0,0,0,0,0,357,43,0,0,0,0,0,0,0,0,0
200,-0.000253401,0,0,0,0,0,0,0,0,0,348,52,0,0,0,0,0,0,0,0,0
210,-0.00027195,0,0,0,0,0,0,0,0,0,350,50,0,0,0,0,0,0,0,0,0
220,5.77558e-05,0,0,0,0,0,0,0,0,0,355,45,0,0,0,0,0,0,0,0,0
230,-0.000280457,0,0,0,0,0,0,0,0,0,363,37,0,0,0,0,0,0,0,0,0
240,-0.000434511,0,0,0,0,0,0,0,0,0,366,34,0,0,0,0,0,0,0,0,0
250,-1.31585e-05,0,0,0,0,0,0,0,0,0,368,32,0,0,0,0,0,0,0,0,0
260,0.000709006,0,0,0,0,0,0,0,0,0,350,50,0,0,0,0,0,0,0,0,0
270,0.0007234,0,0,0,0,0,0,0,0,0,353,47,0,0,0,0,0,0,0,0,0
280,0.000164363,0,0,0,0,0,0,0,0,0,362,38,0,0,0,0,0,0,0,0,0
290,0.000441999,0,0,0,0,0,0,0,0,0,369,31,0,0,0,0,0,0,0,0,0
300,0.000744025,0,0,0,0,0,0,0,0,0,366,34,0,0,0,0,0,0,0,0,0
310,0.000509927,0,0,0,0,0,0,0,0,0,363,37,0,0,0,0,0,0,0,0,0
320,0.000928629,0,0,0,0,0,0,0,0,0,349,51,0,0,0,0,0,0,0,0,0
330,0.000472689,0,0,0,0,0,0,0,0,0,359,41,0,0,0,0,0,0,0,0,0
