update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.490646,0,0,0,0,0,0,0,0,0,0,38,51,43,35,33,46,33,45,40,36
10,0.452416,0,0,0,0,0,0,0,0,0,84,8,2,64,36,34,50,7,18,29,68
20,0.443607,0,0,0,0,0,0,0,0,0,83,13,0,59,53,44,27,0,33,9,79
30,0.409645,0,0,0,0,0,0,0,0,0,92,9,1,85,57,33,29,0,0,1,93
40,0.41405,0,0,0,0,0,0,0,0,0,77,7,0,77,84,23,40,14,0,0,78
50,0.384358,0,0,0,0,0,0,0,0,0,83,19,0,59,111,0,36,28,0,2,62
60,0.417605,0,0,0,0,0,0,0,0,0,82,8,0,80,80,3,22,39,0,8,78
70,0.405699,0,0,0,0,0,0,0,0,0,70,10,0,100,83,1,21,38,2,2,73
80,0.395466,0,0,0,0,0,0,0,0,0,84,8,2,94,85,0,5,40,0,10,72
90,0.419222,0,0,0,0,0,0,0,0,0,97,7,3,88,59,4,10,22,2,21,87
100,0.395606,0,0,0,0,0,0,0,0,0,98,17,0,90,52,6,8,35,0,19,75
110,0.448162,0,0,0,0,0,0,0,0,0,89,17,0,61,54,12,21,14,2,49,81
120,0.457543,0,0,0,0,0,0,0,0,0,110,30,0,25,36,16,23,0,0,95,65
130,0.503741,0,0,0,0,0,0,0,0,0,82,21,0,21,64,14,23,8,3,87,77
140,0.506678,0,0,0,0,0,0,0,0,0,101,14,0,6,36,26,55,0,0,64,98
150,0.51719,0,0,0,0,0,0,0,0,0,93,17,0,2,25,48,46,0,18,70,81
160,0.562019,0,0,0,0,0,0,0,0,0,88,12,0,0,17,41,38,0,51,47,106
170,0.526231,0,0,0,0,0,0,0,0,0,108,8,0,0,7,40,65,2,38,16,116
180,0.515577,0,0,0,0,0,0,0,0,0,99,11,0,1,18,35,81,4,29,15,107
190,0.540311,0,0,0,0,0,0,0,0,0,83,11,0,0,1,44,98,12,48,10,93
200,0.560733,0,0,0,0,0,0,0,0,0,105,7,0,0,0,28,62,21,22,20,135
210,0.506111,0,0,0,0,0,0,0,0,0,110,14,0,0,2,16,104,21,12,18,103
220,0.567421,0,0,0,0,0,0,0,0,0,73,10,0,0,4,21,124,32,10,19,107
230,0.502748,0,0,0,0,0,0,0,0,0,108,15,0,0,3,22,84,47,2,13,106
240,0.512782,0,0,0,0,0,0,0,0,0,114,16,0,0,8,22,72,13,0,40,115
250,0.494727,0,0,0,0,0,0,0,0,0,94,19,0,0,29,31,87,6,0,71,63
260,0.50196,0,0,0,0,0,0,0,0,0,100,16,0,0,17,26,89,6,0,96,50
270,0.53375,0,0,0,0,0,0,0,0,0,88,9,0,1,30,32,69,13,1,83,74
280,0.556004,0,0,0,0,0,0,0,0,0,78,9,0,2,31,28,58,35,4,79,76
290,0.51867,0,0,0,0,0,0,0,0,0,90,9,0,0,51,14,56,43,0,51,86
300,0.509124,0,0,0,0,0,0,0,0,0,94,11,0,0,42,36,36,41,1,66,73
310,0.486005,0,0,0,0,0,0,0,0,0,88,22,0,0,31,63,37,29,7,61,62
320,0.551447,0,0,0,0,0,0,0,0,0,88,8,0,0,34,20,55,23,10,77,85
330,0.56351,0,0,0,0,0,0,0,0,0,84,16,0,7,29,12,41,10,15,104,82
340,0.498517,0,0,0,0,0,0,0,0,0,104,9,0,11,43,12,32,12,26,126,25
350,0.509997,0,0,0,0,0,0,0,0,0,87,16,0,19,42,9,11,23,78,88,27
360,0.536183,0,0,0,0,0,0,0,0,0,78,12,0,24,38,24,5,27,37,108,47
370,0.512813,0,0,0,0,0,0,0,0,0,96,12,0,15,50,16,3,29,26,92,61
380,0.568542,0,0,0,0,0,0,0,0,0,90,10,0,7,38,23,3,13,11,103,102
390,0.536271,0,0,0,0,0,0,0,0,0,104,8,0,0,44,26,0,7,13,145,53
400,0.514637,0,0,0,0,0,0,0,0,0,103,16,0,0,34,16,0,29,50,140,12
410,0.505552,0,0,0,0,0,0,0,0,0,89,15,0,4,68,11,0,12,68,115,18
420,0.519565,0,0,0,0,0,0,0,0,0,84,6,0,12,75,31,0,0,31,111,50
430,0.481755,0,0,0,0,0,0,0,0,0,103,15,0,1,81,21,0,2,17,104,56
440,0.494485,0,0,0,0,0,0,0,0,0,89,14,0,32,66,24,0,2,20,73,80
450,0.503094,0,0,0,0,0,0,0,0,0,92,14,0,37,52,23,0,2,13,69,98
460,0.487753,0,0,0,0,0,0,0,0,0,70,14,2,49,86,15,0,0,12,92,60
470,0.449618,0,0,0,0,0,0,0,0,0,101,16,2,12,101,19,0,0,13,70,66
480,0.544181,0,0,0,0,0,0,0,0,0,92,10,0,1,75,33,0,0,8,38,143
490,0.487409,0,0,0,0,0,0,0,0,0,105,6,0,2,103,30,0,0,4,40,110
500,0.490463,0,0,0,0,0,0,0,0,0,83,13,0,1,96,52,10,0,4,59,82
510,0.433547,0,0,0,0,0,0,0,0,0,82,16,0,10,100,66,24,0,8,26,68
520,0.397981,0,0,0,0,0,0,0,0,0,89,8,0,3,83,97,46,6,24,24,20
530,0.420431,0,0,0,0,0,0,0,0,0,83,19,0,5,80,84,36,1,17,48,27
540,0.4819,0,0,0,0,0,0,0,0,0,90,13,0,0,77,41,26,0,25,91,37
550,0.48878,0,0,0,0,0,0,0,0,0,78,14,0,0,85,44,34,0,9,75,61
560,0.509664,0,0,0,0,0,0,0,0,0,97,14,0,0,42,58,10,6,20,63,90
570,0.551515,0,0,0,0,0,0,0,0,0,72,9,0,7,58,53,6,0,23,89,83
580,0.484022,0,0,0,0,0,0,0,0,0,95,14,0,10,56,65,6,0,10,65,79
590,0.58149,0,0,0,0,0,0,0,0,0,86,13,0,5,28,31,1,0,19,130,87
600,0.581692,0,0,0,0,0,0,0,0,0,102,13,0,3,21,21,0,0,14,110,116
610,0.641176,0,0,0,0,0,0,0,0,0,68,7,0,24,11,23,0,0,30,136,101
620,0.570752,0,0,0,0,0,0,0,0,0,99,9,1,16,25,10,0,0,18,130,92
630,0.585285,0,0,0,0,0,0,0,0,0,89,13,0,26,10,7,0,7,36,140,72
640,0.583469,0,0,0,0,0,0,0,0,0,101,7,2,30,5,3,0,0,12,164,76
650,0.607944,0,0,0,0,0,0,0,0,0,95,9,0,10,9,6,0,0,24,194,53
660,0.659203,0,0,0,0,0,0,0,0,0,91,3,0,0,2,1,0,0,49,165,89
670,0.690637,0,0,0,0,0,0,0,0,0,72,1,0,0,0,0,0,0,97,153,77
680,0.648981,0,0,0,0,0,0,0,0,0,86,4,0,0,0,0,0,1,110,135,64
690,0.661183,0,0,0,0,0,0,0,0,0,86,1,0,0,0,0,0,1,78,169,65
700,0.68952,0,0,0,0,0,0,0,0,0,72,1,0,0,0,0,0,0,87,197,43
710,0.697995,0,0,0,0,0,0,0,0,0,69,4,0,0,0,0,0,3,90,140,94
720,0.653178,0,0,0,0,0,0,0,0,0,92,1,0,0,0,0,0,11,85,105,106
730,0.661702,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,73,146,89
740,0.66286,0,0,0,0,0,0,0,0,0,83,3,0,0,0,0,0,0,94,143,77
750,0.681986,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,2,55,148,109
760,0.638266,0,0,0,0,0,0,0,0,0,108,3,0,0,0,0,0,6,51,86,146
770,0.707731,0,0,0,0,0,0,0,0,0,81,3,0,0,0,0,0,3,36,100,177
780,0.693992,0,0,0,0,0,0,0,0,0,84,3,0,0,0,0,0,1,42,123,147
790,0.702001,0,0,0,0,0,0,0,0,0,83,2,0,0,0,0,0,1,32,137,145
800,0.681316,0,0,0,0,0,0,0,0,0,85,7,0,0,0,0,0,1,42,135,130
810,0.680102,0,0,0,0,0,0,0,0,0,84,2,0,0,0,0,0,7,32,183,92
820,0.655456,0,0,0,0,0,0,0,0,0,89,1,0,0,0,0,0,0,70,174,66
830,0.664787,0,0,0,0,0,0,0,0,0,79,6,0,0,0,0,0,7,70,168,70
840,0.673714,0,0,0,0,0,0,0,0,0,80,6,0,0,0,0,0,7,57,162,88
850,0.674657,0,0,0,0,0,0,0,0,0,85,2,0,0,0,0,0,4,37,181,91
860,0.680847,0,0,0,0,0,0,0,0,0,87,3,0,0,0,0,0,0,35,154,121
870,0.669325,0,0,0,0,0,0,0,0,0,93,2,0,0,0,0,0,0,34,161,110
880,0.686182,0,0,0,0,0,0,0,0,0,87,3,0,0,0,0,0,0,13,191,106
890,0.701055,0,0,0,0,0,0,0,0,0,85,3,0,0,0,0,0,0,16,132,164
900,0.701837,0,0,0,0,0,0,0,0,0,89,2,0,0,0,0,0,0,10,104,195
910,0.744542,0,0,0,0,0,0,0,0,0,67,1,0,0,0,0,0,0,21,153,158
920,0.725209,0,0,0,0,0,0,0,0,0,75,1,0,0,0,0,0,0,24,142,158
930,0.708634,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,13,177,128
940,0.662579,0,0,0,0,0,0,0,0,0,94,4,0,0,0,0,0,0,43,145,114
950,0.709154,0,0,0,0,0,0,0,0,0,82,2,0,0,0,0,0,0,30,110,176
960,0.729404,0,0,0,0,0,0,0,0,0,80,2,0,0,0,0,0,0,11,99,208
970,0.737157,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,18,122,185
980,0.71764,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,6,105,202
990,0.683423,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,35,156,119
1000,0.721137,0,0,0,0,0,0,0,0,0,72,1,0,0,0,0,0,0,26,158,143
1010,0.698326,0,0,0,0,0,0,0,0,0,80,1,0,0,0,0,0,3,48,136,132
1020,0.689875,0,0,0,0,0,0,0,0,0,84,3,0,0,0,0,0,7,34,131,141
1030,0.73698,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,4,5,13,164,147
1040,0.689874,0,0,0,0,0,0,0,0,0,91,1,0,0,0,0,5,5,20,105,173
1050,0.69653,0,0,0,0,0,0,0,0,0,84,1,0,0,0,0,2,5,26,139,143
1060,0.737764,0,0,0,0,0,0,0,0,0,70,2,0,0,0,0,0,0,15,154,159
1070,0.746592,0,0,0,0,0,0,0,0,0,65,2,0,0,0,0,0,0,29,124,180
1080,0.686223,0,0,0,0,0,0,0,0,0,83,2,0,0,0,0,0,0,68,119,128
1090,0.733931,0,0,0,0,0,0,0,0,0,69,5,0,0,0,0,0,6,31,95,194
1100,0.705229,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,17,100,183
1110,0.700505,0,0,0,0,0,0,0,0,0,86,3,0,0,0,0,0,25,23,80,183
1120,0.68069,0,0,0,0,0,0,0,0,0,87,6,0,0,0,0,0,25,31,84,167
1130,0.716294,0,0,0,0,0,0,0,0,0,78,1,0,0,0,0,1,14,55,53,198
1140,0.734218,0,0,0,0,0,0,0,0,0,75,4,0,0,0,0,0,1,34,53,233
1150,0.721538,0,0,0,0,0,0,0,0,0,85,1,0,0,0,0,0,1,26,59,228
1160,0.749582,0,0,0,0,0,0,0,0,0,79,2,0,0,0,0,0,0,8,49,262
1170,0.724545,0,0,0,0,0,0,0,0,0,88,2,0,0,0,0,0,0,2,67,241
1180,0.744109,0,0,0,0,0,0,0,0,0,78,3,0,0,0,0,0,0,10,55,254
1190,0.741738,0,0,0,0,0,0,0,0,0,76,1,0,0,0,0,0,0,6,93,224
1200,0.720298,0,0,0,0,0,0,0,0,0,87,1,0,0,0,0,0,0,1,88,223
1210,0.707712,0,0,0,0,0,0,0,0,0,91,3,0,0,0,0,0,0,4,77,225
1220,0.732956,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,3,102,214
1230,0.758425,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,23,73,234
1240,0.710128,0,0,0,0,0,0,0,0,0,89,2,0,0,0,0,0,0,26,66,217
1250,0.724065,0,0,0,0,0,0,0,0,0,81,3,0,0,0,0,0,0,30,47,239
1260,0.708886,0,0,0,0,0,0,0,0,0,88,4,0,0,0,0,0,6,30,31,241
1270,0.732881,0,0,0,0,0,0,0,0,0,78,8,0,0,0,0,0,0,0,74,240
1280,0.755919,0,0,0,0,0,0,0,0,0,77,3,0,0,0,0,0,0,0,58,262
1290,0.732889,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,7,61,245
1300,0.764923,0,0,0,0,0,0,0,0,0,70,3,0,0,0,0,0,0,6,70,251
1310,0.731152,0,0,0,0,0,0,0,0,0,83,2,0,0,0,0,0,0,14,71,230
1320,0.741479,0,0,0,0,0,0,0,0,0,78,5,0,0,0,0,0,0,2,85,230
1330,0.71037,0,0,0,0,0,0,0,0,0,92,2,0,0,0,0,0,0,2,87,217
1340,0.725224,0,0,0,0,0,0,0,0,0,82,3,0,0,0,0,0,0,4,97,214
1350,0.733448,0,0,0,0,0,0,0,0,0,79,4,0,0,0,0,0,0,11,77,229
1360,0.731394,0,0,0,0,0,0,0,0,0,83,2,0,0,0,0,0,0,4,82,229
1370,0.70354,0,0,0,0,0,0,0,0,0,91,6,0,0,0,0,0,0,5,91,207
1380,0.782259,0,0,0,0,0,0,0,0,0,67,5,0,0,0,0,0,0,0,58,270
1390,0.784306,0,0,0,0,0,0,0,0,0,68,1,0,0,0,0,0,0,8,47,276
1400,0.766231,0,0,0,0,0,0,0,0,0,69,4,0,0,0,0,0,0,13,36,278
1410,0.768858,0,0,0,0,0,0,0,0,0,77,1,0,0,0,0,0,0,0,24,298
1420,0.739512,0,0,0,0,0,0,0,0,0,84,3,0,0,0,0,0,0,0,32,281
1430,0.766994,0,0,0,0,0,0,0,0,0,73,2,0,0,0,0,0,0,0,50,275
