update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,-0.0165953,15,26,26,19,21,20,26,19,17,19,22,18,13,22,16,13,25,22,19,22
10,0.111645,1,2,3,3,1,12,27,16,24,21,84,58,38,49,29,5,14,6,5,2
20,0.0811935,0,0,0,0,3,24,13,23,45,24,69,48,60,56,30,4,1,0,0,0
30,0.101988,0,0,0,0,0,6,11,21,52,32,79,55,49,60,32,0,3,0,0,0
40,0.131263,0,0,0,0,0,2,8,11,40,31,70,77,53,95,13,0,0,0,0,0
50,0.140338,0,0,0,0,0,3,5,16,29,24,71,90,66,81,15,0,0,0,0,0
60,0.13513,0,0,0,0,0,2,4,25,24,22,87,85,52,86,13,0,0,0,0,0
70,0.130321,0,0,0,0,0,2,4,25,40,25,67,79,41,104,13,0,0,0,0,0
80,0.126577,0,0,0,0,0,7,4,42,35,10,75,47,56,98,26,0,0,0,0,0
90,0.117296,0,0,0,0,0,4,8,45,28,16,83,39,69,87,21,0,0,0,0,0
100,0.094911,0,0,0,0,0,16,4,56,43,12,52,37,71,85,24,0,0,0,0,0
110,0.111239,0,0,0,0,0,24,2,44,36,15,40,45,85,68,40,1,0,0,0,0
120,0.128645,0,0,0,0,0,17,6,50,30,10,39,23,92,106,26,1,0,0,0,0
130,0.146482,0,0,0,0,0,16,4,34,33,26,38,14,92,114,26,3,0,0,0,0
140,0.150544,0,0,0,0,0,15,7,36,26,32,21,17,95,119,31,1,0,0,0,0
150,0.168723,0,0,0,0,0,15,6,38,17,17,20,22,103,123,39,0,0,0,0,0
160,0.191389,0,0,0,0,0,6,15,27,17,10,18,33,96,149,29,0,0,0,0,0
170,0.197143,0,0,0,0,0,10,17,24,9,8,15,45,108,119,45,0,0,0,0,0
180,0.198892,0,0,0,0,0,10,15,35,6,5,5,46,107,127,44,0,0,0,0,0
190,0.187729,0,0,0,0,0,11,10,42,13,2,1,49,118,116,37,1,0,0,0,0
200,0.120924,0,0,0,0,4,27,9,59,17,3,2,37,108,109,24,1,0,0,0,0
210,0.0861948,0,0,0,0,3,29,14,77,13,0,5,49,89,102,19,0,0,0,0,0
220,0.0863604,0,0,0,0,0,24,14,85,13,0,10,46,93,100,15,0,0,0,0,0
230,0.109612,0,0,0,0,2,30,18,41,14,0,16,52,110,104,13,0,0,0,0,0
240,0.131903,0,0,0,0,0,20,15,45,7,0,19,69,115,95,15,0,0,0,0,0
250,0.0993666,0,0,0,0,1,14,21,54,17,4,17,83,98,85,6,0,0,0,0,0
260,0.107997,0,0,0,0,3,3,19,62,19,5,19,79,89,100,2,0,0,0,0,0
270,0.112878,0,0,0,0,0,0,7,72,21,3,32,72,97,95,1,0,0,0,0,0
280,0.106268,0,0,0,0,0,0,7,65,31,9,28,78,110,65,7,0,0,0,0,0
290,0.128937,0,0,0,0,0,0,3,47,39,8,36,58,119,82,8,0,0,0,0,0
300,0.128091,0,0,0,0,0,0,9,61,21,8,25,58,135,68,15,0,0,0,0,0
310,0.0989153,0,0,0,0,0,0,26,57,33,11,19,58,110,57,29,0,0,0,0,0
320,0.0911885,0,0,0,0,0,0,25,62,27,3,25,83,117,32,26,0,0,0,0,0
330,0.110071,0,0,0,0,0,0,36,46,23,8,20,82,101,43,41,0,0,0,0,0
340,0.0830833,0,0,0,0,0,0,39,55,24,7,23,75,97,63,17,0,0,0,0,0
350,0.0712758,0,0,0,0,0,1,28,68,30,16,29,67,72,76,13,0,0,0,0,0
360,0.119905,0,0,0,0,0,5,24,48,31,5,26,66,68,96,30,1,0,0,0,0
370,0.134315,0,0,0,0,1,2,23,62,14,1,23,77,57,98,38,4,0,0,0,0
380,0.111668,0,0,0,0,2,2,29,71,10,0,16,73,84,82,28,3,0,0,0,0
390,0.112615,0,0,0,0,2,4,42,38,12,3,30,70,92,78,29,0,0,0,0,0
400,0.109801,0,0,0,0,0,10,41,41,17,1,32,60,80,80,36,2,0,0,0,0
410,0.138671,0,0,0,0,0,13,36,11,19,1,45,66,92,83,34,0,0,0,0,0
420,0.130167,0,0,0,0,3,7,34,18,15,6,36,109,56,90,26,0,0,0,0,0
430,0.169546,0,0,0,0,2,11,15,6,1,16,57,99,60,110,22,1,0,0,0,0
440,0.146144,0,0,0,0,2,19,18,5,6,14,53,98,76,83,26,0,0,0,0,0
450,0.158291,0,0,0,0,2,9,10,1,6,22,63,118,72,93,4,0,0,0,0,0
460,0.15506,0,0,0,0,0,11,13,0,4,14,73,128,69,78,10,0,0,0,0,0
470,0.160077,0,0,0,0,2,7,26,0,8,9,42,103,89,101,13,0,0,0,0,0
480,0.165239,0,0,0,0,0,14,36,1,9,1,44,63,76,140,16,0,0,0,0,0
490,0.136844,0,0,0,0,1,33,31,3,9,7,26,74,66,132,18,0,0,0,0,0
500,0.15824,0,0,0,0,0,22,31,4,10,9,36,68,50,130,40,0,0,0,0,0
510,0.195158,0,0,0,0,0,6,30,3,20,2,22,86,52,111,68,0,0,0,0,0
520,0.218956,0,0,0,0,0,9,17,4,14,8,14,76,73,119,66,0,0,0,0,0
530,0.224414,0,0,0,0,0,10,19,1,0,8,32,66,85,120,59,0,0,0,0,0
540,0.209399,0,0,0,0,0,17,30,0,0,6,38,57,46,127,78,1,0,0,0,0
550,0.148851,0,0,0,0,0,23,52,2,0,9,30,57,59,113,55,0,0,0,0,0
560,0.175092,0,0,0,0,0,19,48,6,0,3,22,53,65,108,76,0,0,0,0,0
570,0.164581,0,0,0,0,0,33,44,1,0,0,25,56,55,114,68,4,0,0,0,0
580,0.167021,0,0,0,0,4,19,51,3,0,0,32,47,50,116,75,3,0,0,0,0
590,0.17684,0,0,0,0,1,23,47,3,0,0,31,48,52,110,80,5,0,0,0,0
600,0.191153,0,0,0,0,0,8,33,8,0,0,62,58,66,84,78,3,0,0,0,0
610,0.211964,0,0,0,0,0,6,18,9,0,2,70,66,60,87,80,2,0,0,0,0
