update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.512313,0,0,0,0,0,0,0,0,0,0,44,39,28,38,40,48,40,31,49,43
10,0.0317517,0,0,0,0,0,0,0,0,0,341,35,0,3,8,4,0,2,0,5,2
20,0.010615,0,0,0,0,0,0,0,0,0,362,29,0,0,4,3,0,0,0,2,0
30,0.00105029,0,0,0,0,0,0,0,0,0,355,44,0,0,1,0,0,0,0,0,0
40,0.00044355,0,0,0,0,0,0,0,0,0,354,46,0,0,0,0,0,0,0,0,0
50,-0.000188388,0,0,0,0,0,0,0,0,0,356,44,0,0,0,0,0,0,0,0,0
60,-0.00032744,0,0,0,0,0,0,0,0,0,368,32,0,0,0,0,0,0,0,0,0
70,0.000532945,0,0,0,0,0,0,0,0,0,356,44,0,0,0,0,0,0,0,0,0
80,-0.000158865,0,0,0,0,0,0,0,0,0,362,38,0,0,0,0,0,0,0,0,0
90,6.94682e-05,0,0,0,0,0,0,0,0,0,366,34,0,0,0,0,0,0,0,0,0
100,-0.000146968,0,0,0,0,0,0,0,0,0,364,36,0,0,0,0,0,0,0,0,0
110,0.00016267,0,0,0,0,0,0,0,0,0,359,41,0,0,0,0,0,0,0,0,0
120,1.27376e-05,0,0,0,0,0,0,0,0,0,364,36,0,0,0,0,0,0,0,0,0
130,-4.46793e-05,0,0,0,0,0,0,0,0,0,374,26,0,0,0,0,0,0,0,0,0
140,-0.000172032,0,0,0,0,0,0,0,0,0,380,20,0,0,0,0,0,0,0,0,0
150,0.000382418,0,0,0,0,0,0,0,0,0,362,38,0,0,0,0,0,0,0,0,0
160,0.000153206,0,0,0,0,0,0,0,0,0,369,31,0,0,0,0,0,0,0,0,0
170,0.000137189,0,0,0,0,0,0,0,0,0,365,35,0,0,0,0,0,0,0,0,0
180,-8.9482e-05,0,0,0,0,0,0,0,0,0,366,34,0,0,0,0,0,0,0,0,0
190,-9.80413e-05,0,0,0,0,0,0,0,0,0,368,32,0,0,0,0,0,0,0,0,0
200,-0.000554398,0,0,0,0,0,0,0,0,0,374,26,0,0,0,0,0,0,0,0,0
210,0.000204981,0,0,0,0,0,0,0,0,0,355,45,0,0,0,0,0,0,0,0,0
220,7.28749e-05,0,0,0,0,0,0,0,0,0,356,44,0,0,0,0,0,0,0,0,0
230,-3.18974e-05,0,0,0,0,0,0,0,0,0,362,38,0,0,0,0,0,0,0,0,0
240,0.000418352,0,0,0,0,0,0,0,0,0,363,37,0,0,0,0,0,0,0,0,0
250,-4.50096e-05,0,0,0,0,0,0,0,0,0,367,33,0,0,0,0,0,0,0,0,0
260,-0.000132602,0,0,0,0,0,0,0,0,0,373,27,0,0,0,0,0,0,0,0,0
270,0.000179547,0,0,0,0,0,0,0,0,0,366,34,0,0,0,0,0,0,0,0,0
280,0.00025833,0,0,0,0,0,0,0,0,0,358,42,0,0,0,0,0,0,0,0,0
