update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,-0.513142,44,40,35,44,42,46,37,39,37,36,0,0,0,0,0,0,0,0,0,0
10,-0.0928999,10,4,6,6,10,7,13,5,9,318,12,0,0,0,0,0,0,0,0,0
20,-0.0108519,0,4,0,0,1,0,0,0,1,386,8,0,0,0,0,0,0,0,0,0
30,-0.0134314,1,5,0,0,0,0,0,0,0,379,15,0,0,0,0,0,0,0,0,0
40,-0.00646232,1,2,0,0,0,0,0,0,0,378,19,0,0,0,0,0,0,0,0,0
50,-0.00681569,3,0,0,0,0,0,0,0,0,387,10,0,0,0,0,0,0,0,0,0
60,7.95284e-05,0,0,0,0,0,0,0,0,0,383,17,0,0,0,0,0,0,0,0,0
70,3.33301e-05,0,0,0,0,0,0,0,0,0,389,11,0,0,0,0,0,0,0,0,0
80,8.36359e-05,0,0,0,0,0,0,0,0,0,388,12,0,0,0,0,0,0,0,0,0
90,-3.07553e-05,0,0,0,0,0,0,0,0,0,394,6,0,0,0,0,0,0,0,0,0
100,-1.5577e-05,0,0,0,0,0,0,0,0,0,385,15,0,0,0,0,0,0,0,0,0
110,-0.0002018,0,0,0,0,0,0,0,0,0,394,6,0,0,0,0,0,0,0,0,0
120,3.59035e-06,0,0,0,0,0,0,0,0,0,391,9,0,0,0,0,0,0,0,0,0
130,4.63844e-05,0,0,0,0,0,0,0,0,0,395,5,0,0,0,0,0,0,0,0,0
140,7.64348e-05,0,0,0,0,0,0,0,0,0,393,7,0,0,0,0,0,0,0,0,0
150,0.000100154,0,0,0,0,0,0,0,0,0,396,4,0,0,0,0,0,0,0,0,0
160,-0.000104846,0,0,0,0,0,0,0,0,0,398,2,0,0,0,0,0,0,0,0,0
170,7.08207e-05,0,0,0,0,0,0,0,0,0,396,4,0,0,0,0,0,0,0,0,0
180,-0.000147655,0,0,0,0,0,0,0,0,0,396,4,0,0,0,0,0,0,0,0,0
190,7.79808e-05,0,0,0,0,0,0,0,0,0,395,5,0,0,0,0,0,0,0,0,0
200,0.00016933,0,0,0,0,0,0,0,0,0,393,7,0,0,0,0,0,0,0,0,0
210,0.000210355,0,0,0,0,0,0,0,0,0,391,9,0,0,0,0,0,0,0,0,0
220,-0.00021959,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0
230,-7.08262e-05,0,0,0,0,0,0,0,0,0,391,9,0,0,0,0,0,0,0,0,0
240,-4.98007e-05,0,0,0,0,0,0,0,0,0,395,5,0,0,0,0,0,0,0,0,0
250,-0.000147747,0,0,0,0,0,0,0,0,0,396,4,0,0,0,0,0,0,0,0,0
