update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.0148562,18,26,19,11,17,21,20,20,20,18,27,22,19,19,22,18,23,23,16,21
10,-0.0843244,1,8,2,2,6,32,48,58,47,41,47,37,25,18,17,6,1,3,0,1
20,-0.101678,0,0,0,0,6,29,77,61,39,39,55,50,27,7,10,0,0,0,0,0
30,-0.15408,0,0,0,0,4,53,82,75,53,17,32,39,27,12,4,2,0,0,0,0
40,-0.188649,0,0,0,0,1,55,125,74,23,28,39,17,19,12,7,0,0,0,0,0
50,-0.172451,0,0,0,0,2,60,97,88,16,39,34,13,28,16,7,0,0,0,0,0
60,-0.186682,0,0,0,0,0,51,85,126,12,39,38,22,13,10,3,1,0,0,0,0
70,-0.208171,0,0,0,0,0,46,112,148,9,6,24,20,25,3,7,0,0,0,0,0
80,-0.227449,0,0,0,0,2,47,98,172,13,9,12,14,29,0,4,0,0,0,0,0
90,-0.246962,0,0,0,0,1,49,122,154,19,8,18,13,14,0,2,0,0,0,0,0
100,-0.247601,0,0,0,0,2,65,116,133,19,22,13,18,6,0,3,3,0,0,0,0
110,-0.240834,0,0,0,0,1,51,111,133,24,34,22,20,4,0,0,0,0,0,0,0
120,-0.225702,0,0,0,0,3,38,98,149,29,30,33,13,7,0,0,0,0,0,0,0
130,-0.228056,0,0,0,0,0,46,91,142,56,15,17,25,8,0,0,0,0,0,0,0
140,-0.215996,0,0,0,0,0,54,75,150,43,13,26,27,12,0,0,0,0,0,0,0
150,-0.208275,0,0,0,0,0,42,85,133,62,3,34,36,5,0,0,0,0,0,0,0
160,-0.193453,0,0,0,0,0,52,76,111,64,0,55,40,2,0,0,0,0,0,0,0
170,-0.186919,0,0,0,0,0,47,65,130,64,0,50,42,2,0,0,0,0,0,0,0
180,-0.183843,0,0,0,0,1,34,83,110,71,6,57,38,0,0,0,0,0,0,0,0
190,-0.171553,0,0,0,0,0,29,58,118,95,1,66,33,0,0,0,0,0,0,0,0
200,-0.164084,0,0,0,0,0,30,74,98,79,9,58,43,9,0,0,0,0,0,0,0
210,-0.193719,0,0,0,0,0,39,76,110,89,4,46,30,6,0,0,0,0,0,0,0
220,-0.178964,0,0,0,0,0,44,72,111,66,4,47,50,6,0,0,0,0,0,0,0
230,-0.175016,0,0,0,0,1,39,65,97,93,6,48,48,3,0,0,0,0,0,0,0
240,-0.198041,0,0,0,0,2,66,67,81,80,13,64,25,2,0,0,0,0,0,0,0
250,-0.20372,0,0,0,0,4,67,81,60,91,9,56,21,11,0,0,0,0,0,0,0
260,-0.177096,0,0,0,0,11,61,66,55,77,6,82,35,7,0,0,0,0,0,0,0
270,-0.188561,0,0,0,0,2,70,76,58,68,11,81,33,1,0,0,0,0,0,0,0
280,-0.214053,0,0,0,0,1,95,77,43,70,27,55,32,0,0,0,0,0,0,0,0
290,-0.23961,0,0,0,0,6,79,109,54,60,23,47,22,0,0,0,0,0,0,0,0
300,-0.223363,0,0,0,0,11,66,117,33,65,23,57,27,1,0,0,0,0,0,0,0
310,-0.250484,0,0,0,0,8,75,124,51,57,26,43,16,0,0,0,0,0,0,0,0
320,-0.242062,0,0,0,0,3,74,132,51,41,34,45,20,0,0,0,0,0,0,0,0
330,-0.267834,0,0,0,0,2,84,146,48,38,32,37,11,2,0,0,0,0,0,0,0
340,-0.274741,0,0,0,0,2,119,117,42,49,28,23,19,1,0,0,0,0,0,0,0
350,-0.250789,0,0,0,0,6,114,108,40,32,21,40,36,3,0,0,0,0,0,0,0
360,-0.243048,0,0,0,0,4,119,97,29,59,13,36,40,3,0,0,0,0,0,0,0
370,-0.240747,0,0,0,0,1,106,109,26,62,36,19,37,4,0,0,0,0,0,0,0
380,-0.237316,0,0,0,0,6,101,104,24,68,26,33,37,1,0,0,0,0,0,0,0
390,-0.232978,0,0,0,0,7,107,97,22,56,33,29,45,4,0,0,0,0,0,0,0
400,-0.267047,0,0,0,0,8,133,97,25,45,39,24,28,1,0,0,0,0,0,0,0
410,-0.265058,0,0,0,0,4,137,93,37,33,35,29,26,6,0,0,0,0,0,0,0
420,-0.262792,0,0,0,0,14,139,74,31,36,48,25,29,4,0,0,0,0,0,0,0
430,-0.264509,0,0,0,0,10,140,104,19,25,30,24,44,4,0,0,0,0,0,0,0
440,-0.242573,0,0,0,0,12,144,84,24,18,21,29,51,17,0,0,0,0,0,0,0
450,-0.251153,0,0,0,0,11,147,81,39,17,21,19,47,18,0,0,0,0,0,0,0
460,-0.251564,0,0,0,0,11,145,87,34,11,13,53,38,8,0,0,0,0,0,0,0
470,-0.234933,0,0,0,0,6,125,104,29,5,20,70,41,0,0,0,0,0,0,0,0
480,-0.233262,0,0,0,0,4,99,137,36,0,8,83,28,5,0,0,0,0,0,0,0
490,-0.187996,0,0,0,0,1,71,128,38,1,22,89,48,2,0,0,0,0,0,0,0
500,-0.220165,0,0,0,0,1,97,128,37,3,13,78,42,1,0,0,0,0,0,0,0
510,-0.239096,0,0,0,0,6,78,162,32,0,18,63,39,2,0,0,0,0,0,0,0
520,-0.240697,0,0,0,0,0,92,152,33,0,20,75,27,1,0,0,0,0,0,0,0
530,-0.249182,0,0,0,0,3,79,168,34,0,28,68,20,0,0,0,0,0,0,0,0
540,-0.252897,0,0,0,0,3,100,123,54,0,37,75,8,0,0,0,0,0,0,0,0
550,-0.259767,0,0,0,0,6,120,109,43,10,30,72,10,0,0,0,0,0,0,0,0
560,-0.198591,0,0,0,0,4,84,83,61,7,36,111,14,0,0,0,0,0,0,0,0
570,-0.20547,0,0,0,0,4,68,108,51,21,48,85,13,2,0,0,0,0,0,0,0
580,-0.2195,0,0,0,0,4,69,97,70,46,25,75,11,3,0,0,0,0,0,0,0
590,-0.223552,0,0,0,0,4,75,102,69,27,40,72,5,6,0,0,0,0,0,0,0
600,-0.205589,0,0,0,0,3,68,83,86,26,51,57,17,9,0,0,0,0,0,0,0
610,-0.239798,0,0,0,0,2,82,99,85,26,40,53,13,0,0,0,0,0,0,0,0
620,-0.236899,0,0,0,0,0,80,99,91,32,34,31,33,0,0,0,0,0,0,0,0
630,-0.209984,0,0,0,0,1,53,85,115,49,13,42,42,0,0,0,0,0,0,0,0
640,-0.204045,0,0,0,0,3,66,86,88,45,15,56,40,1,0,0,0,0,0,0,0
650,-0.238389,0,0,0,0,4,72,118,64,64,18,35,25,0,0,0,0,0,0,0,0
660,-0.249355,0,0,0,0,3,88,111,69,54,18,34,18,5,0,0,0,0,0,0,0
670,-0.265425,0,0,0,0,10,96,107,81,39,15,16,34,2,0,0,0,0,0,0,0
680,-0.275591,0,0,0,0,9,103,102,96,17,37,9,24,3,0,0,0,0,0,0,0
690,-0.278119,0,0,0,0,2,84,128,105,24,25,16,15,1,0,0,0,0,0,0,0
700,-0.283767,0,0,0,0,3,99,126,85,33,16,20,11,7,0,0,0,0,0,0,0
710,-0.27777,0,0,0,0,3,79,132,91,54,8,11,20,2,0,0,0,0,0,0,0
720,-0.262784,0,0,0,0,2,73,145,85,32,14,9,37,3,0,0,0,0,0,0,0
730,-0.266063,0,0,0,0,1,63,144,87,47,21,20,14,3,0,0,0,0,0,0,0
740,-0.270352,0,0,0,0,0,68,150,78,55,5,29,15,0,0,0,0,0,0,0,0
750,-0.280621,0,0,0,0,4,78,140,74,60,10,27,7,0,0,0,0,0,0,0,0
