update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.00130776,16,22,23,15,24,19,22,13,28,25,17,11,13,31,19,22,26,19,14,21
10,-0.128164,1,1,4,15,31,29,63,28,83,36,22,8,11,38,8,9,8,2,2,1
20,-0.112708,0,0,2,5,8,20,63,54,77,74,25,16,12,33,6,1,4,0,0,0
30,-0.109477,0,0,0,0,5,17,80,50,73,56,59,16,13,23,4,3,1,0,0,0
40,-0.0723071,0,0,0,0,1,11,67,43,74,65,68,13,20,29,9,0,0,0,0,0
50,-0.0896568,0,0,0,0,2,15,69,38,59,87,80,10,12,21,7,0,0,0,0,0
60,-0.0766885,0,0,0,0,0,26,53,41,43,97,84,13,15,10,18,0,0,0,0,0
70,-0.122698,0,0,0,0,1,25,78,31,50,115,80,5,1,2,12,0,0,0,0,0
80,-0.125825,0,0,0,0,2,22,81,37,73,88,70,5,1,9,12,0,0,0,0,0
90,-0.118259,0,0,0,0,2,28,62,46,79,57,95,14,1,6,10,0,0,0,0,0
100,-0.0678847,0,0,0,0,0,12,43,43,74,52,122,38,0,2,14,0,0,0,0,0
110,-0.0803988,0,0,0,0,3,20,32,59,58,56,128,30,0,0,14,0,0,0,0,0
120,-0.0490225,0,0,0,0,2,17,38,44,60,48,108,59,1,0,21,2,0,0,0,0
130,-0.056828,0,0,0,0,0,16,50,44,58,40,110,59,0,1,21,1,0,0,0,0
140,-0.0666791,0,0,0,0,0,23,40,56,61,48,99,48,4,0,21,0,0,0,0,0
150,-0.0879025,0,0,0,0,0,20,59,50,55,61,87,53,4,0,11,0,0,0,0,0
160,-0.0605328,0,0,0,0,0,13,36,48,53,93,83,56,14,0,4,0,0,0,0,0
170,-0.036464,0,0,0,0,0,15,20,55,40,72,107,63,27,0,1,0,0,0,0,0
180,-0.0109367,0,0,0,0,0,14,12,47,35,75,124,54,33,0,3,3,0,0,0,0
190,-0.0154754,0,0,0,0,0,19,31,27,32,54,129,70,36,1,0,1,0,0,0,0
200,-0.0261692,0,0,0,0,0,21,42,16,37,83,107,33,59,0,0,2,0,0,0,0
210,-0.0554731,0,0,0,0,2,27,25,24,62,79,123,25,29,3,0,1,0,0,0,0
220,-0.038669,0,0,0,0,2,17,15,33,55,81,125,48,21,3,0,0,0,0,0,0
230,-0.0271458,0,0,0,0,4,20,8,37,59,72,113,30,49,8,0,0,0,0,0,0
240,-0.0342281,0,0,0,0,1,27,20,57,33,62,91,55,38,16,0,0,0,0,0,0
250,-0.0503768,0,0,0,0,3,25,36,66,32,56,61,56,47,18,0,0,0,0,0,0
260,-0.0405996,0,0,0,0,1,22,25,62,34,84,62,42,50,18,0,0,0,0,0,0
270,-0.026671,0,0,0,0,6,20,20,36,36,118,58,31,54,21,0,0,0,0,0,0
280,-0.0253381,0,0,0,0,4,40,10,29,22,114,63,57,41,20,0,0,0,0,0,0
290,-0.00793353,0,0,0,0,6,43,12,12,18,90,87,46,72,14,0,0,0,0,0,0
300,-0.0396514,0,0,0,0,1,46,50,18,9,76,75,28,81,16,0,0,0,0,0,0
310,-0.0769744,0,0,0,0,2,65,55,21,12,73,54,34,70,13,1,0,0,0,0,0
320,-0.0477439,0,0,0,0,4,58,49,26,6,79,28,39,91,20,0,0,0,0,0,0
330,-0.0123006,0,0,0,0,2,40,51,11,6,83,58,26,102,21,0,0,0,0,0,0
340,-0.02525,0,0,0,0,1,28,57,28,8,88,56,27,92,14,1,0,0,0,0,0
350,-0.0438628,0,0,0,0,2,42,51,23,20,89,56,16,70,31,0,0,0,0,0,0
360,-0.0484185,0,0,0,0,0,36,47,31,30,92,53,21,69,20,1,0,0,0,0,0
370,-0.074959,0,0,0,0,4,27,67,24,20,109,66,14,51,18,0,0,0,0,0,0
380,-0.063694,0,0,0,0,2,22,48,30,31,114,86,12,42,13,0,0,0,0,0,0
390,-0.0490949,0,0,0,0,0,27,42,24,36,117,71,12,60,11,0,0,0,0,0,0
400,-0.0728613,0,0,0,0,0,22,56,18,42,127,79,13,38,5,0,0,0,0,0,0
410,-0.0858354,0,0,0,0,2,27,51,23,35,140,67,28,27,0,0,0,0,0,0,0
420,-0.0910101,0,0,0,0,1,38,55,28,43,92,70,35,38,0,0,0,0,0,0,0
430,-0.116626,0,0,0,0,1,48,67,43,35,63,66,34,43,0,0,0,0,0,0,0
440,-0.110125,0,0,0,0,2,39,56,51,50,57,77,28,40,0,0,0,0,0,0,0
450,-0.114638,0,0,0,0,0,39,68,37,62,31,92,58,13,0,0,0,0,0,0,0
460,-0.121993,0,0,0,0,1,42,58,48,67,37,81,42,23,1,0,0,0,0,0,0
470,-0.119912,0,0,0,0,3,35,49,61,54,57,93,24,24,0,0,0,0,0,0,0
480,-0.110322,0,0,0,0,3,37,55,62,42,58,70,42,31,0,0,0,0,0,0,0
490,-0.0974476,0,0,0,0,0,17,76,54,34,73,74,49,22,1,0,0,0,0,0,0
500,-0.0975769,0,0,0,0,0,16,67,66,36,67,78,52,18,0,0,0,0,0,0,0
510,-0.0572422,0,0,0,0,0,7,60,60,37,44,85,85,22,0,0,0,0,0,0,0
520,-0.0635755,0,0,0,0,0,8,69,64,23,35,110,63,27,1,0,0,0,0,0,0
530,-0.0748706,0,0,0,0,1,4,65,81,11,39,134,50,13,2,0,0,0,0,0,0
540,-0.0572668,0,0,0,0,0,3,67,72,9,37,125,57,30,0,0,0,0,0,0,0
550,-0.063679,0,0,0,0,0,4,79,51,10,42,133,63,18,0,0,0,0,0,0,0
560,-0.0338309,0,0,0,0,0,6,56,54,11,41,124,82,26,0,0,0,0,0,0,0
570,-0.0335268,0,0,0,0,0,10,47,64,13,23,134,79,30,0,0,0,0,0,0,0
580,-0.0274402,0,0,0,0,0,3,51,73,10,29,100,84,50,0,0,0,0,0,0,0
590,-0.018978,0,0,0,0,0,4,47,64,13,22,114,97,37,2,0,0,0,0,0,0
600,-0.0423215,0,0,0,0,0,0,50,80,30,31,74,94,37,4,0,0,0,0,0,0
