update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.0148562,18,26,19,11,17,21,20,20,20,18,27,22,19,19,22,18,23,23,16,21
10,-0.0908666,1,5,1,0,23,48,26,53,30,50,52,34,47,10,13,7,0,0,0,0
20,-0.0528322,0,0,0,0,20,30,19,46,39,60,60,66,41,10,6,3,0,0,0,0
30,-0.0721271,0,0,0,0,6,27,16,78,53,64,57,53,27,18,1,0,0,0,0,0
40,-0.0844984,0,0,0,0,3,41,14,65,59,66,72,54,11,13,2,0,0,0,0,0
50,-0.10301,0,0,0,0,1,32,25,79,75,59,65,38,12,12,2,0,0,0,0,0
60,-0.113577,0,0,0,0,3,30,37,68,70,75,71,29,10,7,0,0,0,0,0,0
70,-0.105061,0,0,0,0,1,38,21,74,72,66,67,31,20,10,0,0,0,0,0,0
80,-0.096383,0,0,0,0,0,24,43,61,57,84,80,19,20,12,0,0,0,0,0,0
90,-0.0951555,0,0,0,0,2,37,38,60,44,71,92,21,20,14,1,0,0,0,0,0
100,-0.0983996,0,0,0,0,0,34,35,81,35,63,96,32,14,9,1,0,0,0,0,0
110,-0.0986708,0,0,0,0,0,25,63,66,46,48,99,18,21,9,5,0,0,0,0,0
120,-0.0689537,0,0,0,0,0,22,44,57,40,62,109,28,26,6,6,0,0,0,0,0
130,-0.033688,0,0,0,0,0,15,32,45,48,76,106,17,41,13,7,0,0,0,0,0
140,-0.0360314,0,0,0,0,0,12,21,44,53,101,109,12,24,16,8,0,0,0,0,0
150,-0.0497116,0,0,0,0,0,23,19,40,61,111,92,13,10,20,7,4,0,0,0,0
160,-0.0226378,0,0,0,0,0,22,14,43,53,87,103,25,9,28,13,3,0,0,0,0
170,0.0095027,0,0,0,0,0,22,23,37,30,87,82,29,19,52,18,1,0,0,0,0
180,0.030262,0,0,0,0,1,14,22,35,39,105,61,8,20,63,32,0,0,0,0,0
190,0.0777011,0,0,0,0,0,14,15,27,37,92,53,3,25,102,32,0,0,0,0,0
200,0.101319,0,0,0,0,0,14,24,28,41,61,41,3,19,117,50,2,0,0,0,0
210,0.121485,0,0,0,0,0,7,32,16,25,76,51,0,38,92,60,3,0,0,0,0
220,0.165348,0,0,0,0,0,1,23,8,30,61,53,1,51,91,81,0,0,0,0,0
230,0.186507,0,0,0,0,0,0,21,9,32,57,40,2,44,99,94,2,0,0,0,0
240,0.170184,0,0,0,0,0,0,20,16,19,44,92,3,30,64,110,2,0,0,0,0
250,0.193801,0,0,0,0,0,1,15,9,10,47,89,9,41,82,90,7,0,0,0,0
260,0.146789,0,0,0,0,0,3,16,8,31,57,88,17,34,65,77,4,0,0,0,0
270,0.12761,0,0,0,0,0,1,20,11,25,53,112,14,28,68,65,3,0,0,0,0
280,0.102894,0,0,0,0,0,0,14,18,24,72,119,15,30,65,42,1,0,0,0,0
290,0.141339,0,0,0,0,0,0,4,12,31,53,98,28,50,77,46,1,0,0,0,0
300,0.131894,0,0,0,0,0,0,5,15,31,50,105,19,59,84,31,1,0,0,0,0
310,0.115648,0,0,0,0,0,0,5,13,30,53,118,30,53,87,11,0,0,0,0,0
320,0.0999668,0,0,0,0,0,0,10,6,42,63,113,34,43,74,15,0,0,0,0,0
330,0.131774,0,0,0,0,0,0,8,3,36,67,80,42,48,93,23,0,0,0,0,0
340,0.129793,0,0,0,0,0,0,4,7,31,69,103,28,35,103,20,0,0,0,0,0
350,0.150621,0,0,0,0,0,0,9,16,33,50,73,40,22,123,34,0,0,0,0,0
360,0.166179,0,0,0,0,0,0,11,18,33,42,58,30,29,130,48,1,0,0,0,0
370,0.179732,0,0,0,0,0,0,23,13,13,30,57,52,35,132,45,0,0,0,0,0
380,0.157481,0,0,0,0,0,0,19,5,30,42,72,51,29,89,63,0,0,0,0,0
390,0.176193,0,0,0,0,0,0,16,2,17,49,83,30,58,79,63,3,0,0,0,0
400,0.207026,0,0,0,0,0,1,14,0,13,38,64,34,80,73,81,2,0,0,0,0
410,0.191069,0,0,0,0,0,3,7,0,14,39,80,39,88,49,78,3,0,0,0,0
420,0.196795,0,0,0,0,0,0,6,0,13,46,65,55,85,54,74,2,0,0,0,0
430,0.200072,0,0,0,0,0,1,7,1,21,63,33,27,99,70,78,0,0,0,0,0
440,0.214979,0,0,0,0,0,0,5,0,14,59,33,33,110,76,66,4,0,0,0,0
450,0.218872,0,0,0,0,0,0,0,0,28,61,18,38,101,71,76,7,0,0,0,0
460,0.215749,0,0,0,0,0,0,0,0,26,59,15,49,107,70,72,2,0,0,0,0
470,0.24011,0,0,0,0,0,0,0,0,21,38,16,54,113,79,77,2,0,0,0,0
480,0.220726,0,0,0,0,0,0,0,0,44,41,18,52,78,76,85,6,0,0,0,0
490,0.261117,0,0,0,0,0,0,0,0,11,33,26,57,85,95,91,2,0,0,0,0
500,0.2397,0,0,0,0,0,0,0,0,14,40,27,75,72,77,91,4,0,0,0,0
510,0.23814,0,0,0,0,0,0,0,0,8,36,37,80,85,66,83,5,0,0,0,0
520,0.207158,0,0,0,0,0,0,0,0,19,44,51,66,94,51,71,4,0,0,0,0
530,0.177748,0,0,0,0,0,0,0,4,31,31,63,83,84,57,44,3,0,0,0,0
540,0.181317,0,0,0,0,0,0,0,6,17,40,56,93,85,58,45,0,0,0,0,0
550,0.177145,0,0,0,0,0,0,0,6,14,43,63,102,79,45,48,0,0,0,0,0
560,0.150888,0,0,0,0,0,0,0,0,16,61,59,125,80,30,29,0,0,0,0,0
570,0.129813,0,0,0,0,0,0,0,1,29,57,66,116,100,14,17,0,0,0,0,0
580,0.139208,0,0,0,0,0,0,0,0,12,50,106,103,87,15,23,4,0,0,0,0
590,0.1246,0,0,0,0,0,0,0,1,24,52,116,90,66,15,31,5,0,0,0,0
600,0.111571,0,0,0,0,0,0,0,0,31,68,109,99,43,15,34,1,0,0,0,0
610,0.0888377,0,0,0,0,0,0,0,0,30,86,118,102,27,5,32,0,0,0,0,0
620,0.0925503,0,0,0,0,0,0,0,0,23,83,128,104,25,8,29,0,0,0,0,0
630,0.110803,0,0,0,0,0,0,0,0,15,59,120,136,26,19,22,3,0,0,0,0
640,0.102611,0,0,0,0,0,0,0,0,13,70,125,132,25,17,16,2,0,0,0,0
650,0.124148,0,0,0,0,0,0,0,0,11,63,109,125,41,19,32,0,0,0,0,0
660,0.11006,0,0,0,0,0,0,0,0,19,55,139,94,51,23,18,1,0,0,0,0
