update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,-0.509733,47,38,36,49,44,31,35,38,41,41,0,0,0,0,0,0,0,0,0,0
10,-0.0883473,9,7,4,16,4,2,8,5,2,327,16,0,0,0,0,0,0,0,0,0
20,-0.0137715,1,3,0,3,0,0,0,0,0,375,18,0,0,0,0,0,0,0,0,0
30,-0.00227417,1,0,0,0,0,0,0,0,0,377,22,0,0,0,0,0,0,0,0,0
40,-0.000523522,0,0,0,0,0,0,0,0,0,373,27,0,0,0,0,0,0,0,0,0
50,0.000165274,0,0,0,0,0,0,0,0,0,376,24,0,0,0,0,0,0,0,0,0
60,4.10167e-05,0,0,0,0,0,0,0,0,0,372,28,0,0,0,0,0,0,0,0,0
70,-0.000129332,0,0,0,0,0,0,0,0,0,372,28,0,0,0,0,0,0,0,0,0
80,-9.20001e-05,0,0,0,0,0,0,0,0,0,372,28,0,0,0,0,0,0,0,0,0
90,9.53379e-05,0,0,0,0,0,0,0,0,0,373,27,0,0,0,0,0,0,0,0,0
100,-0.000184911,0,0,0,0,0,0,0,0,0,371,29,0,0,0,0,0,0,0,0,0
110,-0.000111974,0,0,0,0,0,0,0,0,0,375,25,0,0,0,0,0,0,0,0,0
120,-0.000249206,0,0,0,0,0,0,0,0,0,375,25,0,0,0,0,0,0,0,0,0
130,0.000402184,0,0,0,0,0,0,0,0,0,365,35,0,0,0,0,0,0,0,0,0
140,0.000356812,0,0,0,0,0,0,0,0,0,373,27,0,0,0,0,0,0,0,0,0
150,0.000203516,0,0,0,0,0,0,0,0,0,371,29,0,0,0,0,0,0,0,0,0
160,-3.95415e-05,0,0,0,0,0,0,0,0,0,379,21,0,0,0,0,0,0,0,0,0
170,-0.000124245,0,0,0,0,0,0,0,0,0,386,14,0,0,0,0,0,0,0,0,0
180,0.000255266,0,0,0,0,0,0,0,0,0,384,16,0,0,0,0,0,0,0,0,0
190,-0.000135918,0,0,0,0,0,0,0,0,0,387,13,0,0,0,0,0,0,0,0,0
200,-5.22836e-05,0,0,0,0,0,0,0,0,0,394,6,0,0,0,0,0,0,0,0,0
210,-4.8183e-06,0,0,0,0,0,0,0,0,0,397,3,0,0,0,0,0,0,0,0,0
220,-2.89132e-05,0,0,0,0,0,0,0,0,0,397,3,0,0,0,0,0,0,0,0,0
230,3.09217e-05,0,0,0,0,0,0,0,0,0,393,7,0,0,0,0,0,0,0,0,0
240,1.67389e-05,0,0,0,0,0,0,0,0,0,396,4,0,0,0,0,0,0,0,0,0
250,-3.60899e-05,0,0,0,0,0,0,0,0,0,397,3,0,0,0,0,0,0,0,0,0
260,-5.47728e-05,0,0,0,0,0,0,0,0,0,395,5,0,0,0,0,0,0,0,0,0
270,8.93264e-06,0,0,0,0,0,0,0,0,0,398,2,0,0,0,0,0,0,0,0,0
280,0.000148581,0,0,0,0,0,0,0,0,0,393,7,0,0,0,0,0,0,0,0,0
290,-4.48091e-05,0,0,0,0,0,0,0,0,0,398,2,0,0,0,0,0,0,0,0,0
300,-0.000101907,0,0,0,0,0,0,0,0,0,397,3,0,0,0,0,0,0,0,0,0
310,3.67377e-06,0,0,0,0,0,0,0,0,0,398,2,0,0,0,0,0,0,0,0,0
320,-6.6917e-05,0,0,0,0,0,0,0,0,0,397,3,0,0,0,0,0,0,0,0,0
330,-2.68816e-05,0,0,0,0,0,0,0,0,0,396,4,0,0,0,0,0,0,0,0,0
340,8.36919e-05,0,0,0,0,0,0,0,0,0,391,9,0,0,0,0,0,0,0,0,0
350,-0.000121117,0,0,0,0,0,0,0,0,0,396,4,0,0,0,0,0,0,0,0,0
360,9.73362e-05,0,0,0,0,0,0,0,0,0,396,4,0,0,0,0,0,0,0,0,0
370,4.54051e-05,0,0,0,0,0,0,0,0,0,395,5,0,0,0,0,0,0,0,0,0
380,3.2884e-05,0,0,0,0,0,0,0,0,0,396,4,0,0,0,0,0,0,0,0,0
390,7.29835e-05,0,0,0,0,0,0,0,0,0,395,5,0,0,0,0,0,0,0,0,0
400,7.73609e-05,0,0,0,0,0,0,0,0,0,396,4,0,0,0,0,0,0,0,0,0
410,3.17379e-05,0,0,0,0,0,0,0,0,0,396,4,0,0,0,0,0,0,0,0,0
420,-4.12832e-05,0,0,0,0,0,0,0,0,0,399,1,0,0,0,0,0,0,0,0,0
430,-6.42846e-06,0,0,0,0,0,0,0,0,0,397,3,0,0,0,0,0,0,0,0,0
440,-0.000236022,0,0,0,0,0,0,0,0,0,397,3,0,0,0,0,0,0,0,0,0
450,2.29253e-05,0,0,0,0,0,0,0,0,0,397,3,0,0,0,0,0,0,0,0,0
460,8.10275e-05,0,0,0,0,0,0,0,0,0,393,7,0,0,0,0,0,0,0,0,0
470,-3.81665e-05,0,0,0,0,0,0,0,0,0,398,2,0,0,0,0,0,0,0,0,0
480,-7.29732e-05,0,0,0,0,0,0,0,0,0,399,1,0,0,0,0,0,0,0,0,0
490,-1.32138e-05,0,0,0,0,0,0,0,0,0,398,2,0,0,0,0,0,0,0,0,0
500,5.00025e-06,0,0,0,0,0,0,0,0,0,399,1,0,0,0,0,0,0,0,0,0
510,3.94664e-07,0,0,0,0,0,0,0,0,0,398,2,0,0,0,0,0,0,0,0,0
520,4.97061e-05,0,0,0,0,0,0,0,0,0,399,1,0,0,0,0,0,0,0,0,0
530,-2.18422e-05,0,0,0,0,0,0,0,0,0,399,1,0,0,0,0,0,0,0,0,0
540,-8.06177e-05,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0
550,4.77122e-05,0,0,0,0,0,0,0,0,0,398,2,0,0,0,0,0,0,0,0,0
560,-4.78216e-06,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0
570,3.92902e-05,0,0,0,0,0,0,0,0,0,398,2,0,0,0,0,0,0,0,0,0
580,-6.49648e-05,0,0,0,0,0,0,0,0,0,399,1,0,0,0,0,0,0,0,0,0
590,-7.09595e-05,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0
600,5.77906e-06,0,0,0,0,0,0,0,0,0,398,2,0,0,0,0,0,0,0,0,0
610,-3.90224e-05,0,0,0,0,0,0,0,0,0,399,1,0,0,0,0,0,0,0,0,0
620,-1.32167e-05,0,0,0,0,0,0,0,0,0,399,1,0,0,0,0,0,0,0,0,0
630,5.54229e-05,0,0,0,0,0,0,0,0,0,398,2,0,0,0,0,0,0,0,0,0
640,-5.02666e-05,0,0,0,0,0,0,0,0,0,399,1,0,0,0,0,0,0,0,0,0
650,-8.82001e-05,0,0,0,0,0,0,0,0,0,396,4,0,0,0,0,0,0,0,0,0
660,5.5855e-05,0,0,0,0,0,0,0,0,0,393,7,0,0,0,0,0,0,0,0,0
670,-7.86309e-05,0,0,0,0,0,0,0,0,0,396,4,0,0,0,0,0,0,0,0,0
680,-0.000142554,0,0,0,0,0,0,0,0,0,397,3,0,0,0,0,0,0,0,0,0
690,6.81435e-05,0,0,0,0,0,0,0,0,0,392,8,0,0,0,0,0,0,0,0,0
700,-3.41447e-05,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0
710,7.74551e-06,0,0,0,0,0,0,0,0,0,397,3,0,0,0,0,0,0,0,0,0
720,4.46953e-05,0,0,0,0,0,0,0,0,0,394,6,0,0,0,0,0,0,0,0,0
730,1.81534e-05,0,0,0,0,0,0,0,0,0,394,6,0,0,0,0,0,0,0,0,0
740,4.56635e-05,0,0,0,0,0,0,0,0,0,393,7,0,0,0,0,0,0,0,0,0
750,-3.0481e-05,0,0,0,0,0,0,0,0,0,392,8,0,0,0,0,0,0,0,0,0
760,1.01873e-05,0,0,0,0,0,0,0,0,0,397,3,0,0,0,0,0,0,0,0,0
770,-0.000215193,0,0,0,0,0,0,0,0,0,395,5,0,0,0,0,0,0,0,0,0
780,8.20005e-05,0,0,0,0,0,0,0,0,0,397,3,0,0,0,0,0,0,0,0,0
790,-0.000103041,0,0,0,0,0,0,0,0,0,399,1,0,0,0,0,0,0,0,0,0
800,7.32628e-05,0,0,0,0,0,0,0,0,0,394,6,0,0,0,0,0,0,0,0,0
810,-0.00015254,0,0,0,0,0,0,0,0,0,396,4,0,0,0,0,0,0,0,0,0
820,-9.40968e-05,0,0,0,0,0,0,0,0,0,393,7,0,0,0,0,0,0,0,0,0
830,-0.000126823,0,0,0,0,0,0,0,0,0,392,8,0,0,0,0,0,0,0,0,0
840,0.000143909,0,0,0,0,0,0,0,0,0,388,12,0,0,0,0,0,0,0,0,0
850,0.000299014,0,0,0,0,0,0,0,0,0,385,15,0,0,0,0,0,0,0,0,0
860,1.89766e-05,0,0,0,0,0,0,0,0,0,391,9,0,0,0,0,0,0,0,0,0
870,-5.59348e-06,0,0,0,0,0,0,0,0,0,389,11,0,0,0,0,0,0,0,0,0
880,-9.5589e-05,0,0,0,0,0,0,0,0,0,389,11,0,0,0,0,0,0,0,0,0
